Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-07-06,Atlanta Braves,Grant Holmes,3.48,1.24,101.0,116.0,.212,363.0,3.84,1.24,682.1,697.0,2554.0,Baltimore Orioles,Trevor Rogers,1.69,0.86,26.2,22.0,.160,94.0,5.06,1.44,751.8,706.0,2949.0
2025-07-06,Washington Nationals,Shinnosuke Ogasawara,,,,,,,,,,,,Boston Red Sox,Garrett Crochet,2.34,1.04,115.1,144.0,.208,423.0,4.23,1.37,691.1,606.0,2635.0
2025-07-06,Philadelphia Phillies,Zack Wheeler,2.27,0.91,107.0,136.0,.188,384.0,3.96,1.33,687.0,684.0,2648.0,Cincinnati Reds,Chase Burns,13.5,2.44,5.1,8.0,.393,28.0,3.9,1.23,781.1,705.0,2940.0
2025-07-06,Toronto Blue Jays,Kevin Gausman,4.18,1.11,99.0,93.0,.222,365.0,4.23,1.29,696.2,700.0,2627.0,Los Angeles Angels,Tyler Anderson,4.12,1.34,91.2,77.0,.246,357.0,4.53,1.45,690.8,621.0,2647.0
2025-07-06,Cleveland Guardians,Gavin Williams,3.86,1.46,86.1,82.0,.238,323.0,3.96,1.36,680.9,644.0,2585.0,Detroit Tigers,Tarik Skubal,2.15,0.83,109.0,138.0,.196,393.0,3.7,1.26,690.1,622.0,2599.0
2025-07-06,New York Mets,Chris Devenski,3.38,0.94,5.1,5.0,.222,18.0,3.51,1.3,793.9,773.0,2980.0,New York Yankees,Max Fried,2.13,0.94,114.0,106.0,.201,418.0,4.13,1.27,671.2,696.0,2515.0
2025-07-06,Miami Marlins,Edward Cabrera,3.41,1.28,71.1,75.0,.231,264.0,4.86,1.36,704.9,615.0,2724.0,Milwaukee Brewers,Brandon Woodruff,,,,,,,,,,,
2025-07-06,Minnesota Twins,Joe Ryan,2.75,0.87,98.1,108.0,.188,351.0,4.35,1.3,680.9,649.0,2634.0,Tampa Bay Rays,Drew Rasmussen,2.78,1.0,87.1,74.0,.212,312.0,3.9,1.22,708.0,666.0,2665.0
2025-07-06,Colorado Rockies,Chase Dollander,6.65,1.51,65.0,50.0,.270,256.0,5.43,1.56,715.0,533.0,2862.0,Chicago White Sox,Shane Smith,3.86,1.31,79.1,74.0,.231,299.0,4.09,1.4,692.9,570.0,2657.0
2025-07-06,Arizona Diamondbacks,Anthony DeSclafani,4.82,1.18,9.1,9.0,.250,36.0,4.72,1.33,785.0,759.0,3026.0,Kansas City Royals,Michael Lorenzen,4.95,1.37,92.2,78.0,.270,367.0,3.32,1.21,706.8,651.0,2647.0
2025-07-06,Los Angeles Dodgers,Emmet Sheehan,2.25,0.75,4.0,6.0,.200,15.0,4.33,1.32,800.0,788.0,3025.0,Houston Astros,Ryan Gusto,4.9,1.49,64.1,71.0,.279,262.0,3.39,1.13,723.1,793.0,2668.0
2025-07-06,Seattle Mariners,George Kirby,4.85,1.17,42.2,41.0,.253,162.0,3.75,1.26,765.9,693.0,2892.0,Pittsburgh Pirates,Paul Skenes,2.03,0.92,111.0,115.0,.182,396.0,3.9,1.23,685.1,552.0,2565.0
2025-07-06,Chicago Cubs,Matthew Boyd,2.65,1.08,98.2,87.0,.235,361.0,3.98,1.26,697.0,578.0,2641.0,St. Louis Cardinals,Erick Fedde,4.56,1.42,92.2,57.0,.258,353.0,3.96,1.24,706.0,597.0,2695.0
2025-07-06,San Diego Padres,TBD,,,,,,,,,,,,Texas Rangers,Jack Leiter,4.29,1.3,71.1,58.0,.227,269.0,3.11,1.15,719.1,645.0,2666.0
2025-07-06,Athletics,Jacob Lopez,3.88,1.34,46.1,56.0,.244,180.0,5.41,1.48,759.9,662.0,2983.0,San Francisco Giants,Hayden Birdsong,4.3,1.4,60.2,62.0,.244,234.0,3.38,1.23,734.0,710.0,2750.0
