Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,40,27.9,5.05,58,2244,1975,293,506,115,12,79,286,50,11,208,434,.256,.332,.447,.779,114,882,40,29,8,23,7,409
Athletics,44,26.6,4.22,59,2239,2024,249,516,96,7,74,240,28,8,187,468,.255,.320,.419,.739,107,848,59,11,3,11,5,404
Atlanta Braves,42,28.5,4.12,57,2166,1936,235,480,81,6,61,226,34,11,196,482,.248,.321,.390,.711,98,756,36,17,6,11,4,422
Baltimore Orioles,46,27.5,3.84,57,2106,1901,219,449,83,7,62,205,43,13,161,505,.236,.302,.385,.687,99,732,43,26,2,16,3,373
Boston Red Sox,39,27.5,4.67,60,2325,2086,280,525,108,8,72,268,54,13,199,550,.252,.322,.415,.737,105,865,27,24,5,11,12,440
Chicago Cubs,42,28.6,5.76,58,2275,2016,334,526,111,14,79,326,74,12,219,458,.261,.335,.447,.782,123,902,29,15,6,19,7,412
Chicago White Sox,45,27.2,3.43,58,2116,1892,199,418,87,2,46,193,46,10,189,490,.221,.294,.342,.636,81,647,31,12,6,14,1,392
Cincinnati Reds,41,27.6,4.58,59,2225,1986,270,489,101,7,61,258,55,19,204,526,.246,.321,.396,.717,92,787,35,20,3,12,5,392
Cleveland Guardians,37,27.7,4.05,57,2096,1861,231,437,81,6,60,218,41,14,183,454,.235,.307,.382,.689,95,710,33,22,8,22,9,365
Colorado Rockies,43,27.7,3.12,58,2109,1913,181,413,86,15,48,179,27,13,160,569,.216,.281,.352,.633,70,673,38,18,7,11,5,366
Detroit Tigers,38,26.8,5.00,59,2235,1992,295,498,91,8,68,282,21,5,195,530,.250,.323,.406,.729,107,809,35,26,4,16,5,395
Houston Astros,37,28.7,4.10,58,2150,1930,238,493,80,6,59,227,28,13,169,438,.255,.322,.395,.717,102,762,48,28,8,15,6,405
Kansas City Royals,37,28.5,3.29,59,2166,1969,194,485,99,12,34,191,47,21,141,415,.246,.301,.361,.661,86,710,26,21,13,21,9,414
Los Angeles Angels,45,28.2,4.09,57,2080,1892,233,429,81,6,83,225,24,9,144,561,.227,.288,.408,.695,94,771,32,23,5,14,6,330
Los Angeles Dodgers,44,31.2,5.86,58,2256,1987,340,536,101,9,94,327,38,11,225,473,.270,.347,.472,.818,131,937,46,20,3,20,12,390
Miami Marlins,41,26.1,4.11,56,2121,1906,230,472,90,8,51,220,46,19,175,466,.248,.314,.384,.697,90,731,33,15,12,13,5,396
Milwaukee Brewers,41,27.0,4.56,59,2235,1977,269,473,83,5,53,247,80,17,206,484,.239,.317,.367,.683,92,725,28,24,14,13,8,410
Minnesota Twins,39,28.6,4.07,57,2117,1909,232,457,91,7,56,222,31,11,157,467,.239,.308,.382,.690,93,730,37,37,1,12,4,383
New York Mets,41,28.8,4.40,58,2193,1919,255,475,98,13,64,246,44,8,211,444,.248,.330,.412,.742,112,791,52,36,3,22,12,418
New York Yankees,34,28.2,5.47,57,2222,1934,312,500,106,10,94,300,39,12,233,501,.259,.343,.469,.812,128,908,36,27,1,24,16,422
Philadelphia Phillies,33,30.4,4.81,58,2237,1983,279,511,91,9,63,265,53,11,213,458,.258,.334,.408,.742,105,809,36,21,5,15,6,427
Pittsburgh Pirates,42,29.5,3.22,59,2206,1964,190,447,74,10,41,184,56,13,204,514,.228,.306,.338,.644,80,664,55,22,5,9,10,431
San Diego Padres,38,30.4,4.21,56,2074,1857,236,462,81,7,52,216,42,11,174,386,.249,.315,.384,.699,95,713,37,13,13,16,6,370
Seattle Mariners,45,28.9,4.58,57,2210,1942,261,461,70,3,78,252,53,18,217,509,.237,.322,.397,.719,112,771,33,31,9,11,4,418
San Francisco Giants,30,28.8,4.21,58,2155,1915,244,446,86,9,56,233,30,13,200,493,.233,.310,.375,.684,95,718,37,18,9,12,4,384
St. Louis Cardinals,34,27.1,4.69,58,2208,1968,272,510,109,4,52,258,35,11,189,451,.259,.330,.398,.728,103,783,44,27,6,18,9,410
Tampa Bay Rays,36,27.5,4.41,58,2155,1944,256,483,92,3,60,246,82,16,175,484,.248,.313,.391,.705,102,761,39,16,1,17,1,373
Texas Rangers,39,29.5,3.32,59,2089,1902,196,422,67,6,59,191,52,14,150,478,.222,.284,.356,.640,85,678,30,20,2,14,3,355
Toronto Blue Jays,40,28.2,4.14,58,2205,1947,240,491,98,2,57,230,35,9,204,407,.252,.326,.392,.719,102,764,44,20,13,19,11,432
Washington Nationals,34,26.1,4.55,58,2161,1936,264,474,98,10,60,251,54,19,171,450,.245,.314,.399,.713,103,772,35,31,10,13,2,360
League Average,39,28.2,4.33,58,2179,1945,251,476,91,8,63,240,45,13,189,478,.245,.316,.396,.712,100,770,38,22,6,15,7,397
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1159,28.2,4.33,1738,65376,58363,7527,14284,2735,231,1876,7212,1342,385,5659,14345,.245,.316,.396,.712,100,23109,1134,670,191,464,197,11898
