gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
104,910,885,438,175,14,134,898,325,9,878,24,.248,3546,.314,.418,.732,15,57,.792,86,14686,3925,1483,423,707,7,18,.294,1.03,5,26.46,Athletics
103,871,876,350,142,15,68,902,319,13,789,30,.232,3407,.301,.342,.643,26,84,.764,78,14787,3791,1165,338,708,8,23,.293,0.99,4,50.10,Pittsburgh Pirates
102,911,981,407,153,12,86,717,326,14,830,27,.245,3382,.314,.374,.688,18,70,.795,65,14483,3793,1265,382,701,28,29,.285,0.93,1,39.33,San Diego Padres
102,831,937,470,145,5,139,905,347,17,866,59,.248,3497,.324,.411,.735,25,91,.784,67,15528,3945,1438,452,740,18,24,.294,0.89,0,25.16,Seattle Mariners
103,785,995,431,158,18,98,874,357,9,789,43,.233,3392,.311,.376,.687,17,46,.730,70,15172,3844,1277,411,685,19,32,.282,0.79,1,34.61,San Francisco Giants
103,803,1051,461,182,4,100,794,319,12,881,48,.252,3490,.321,.393,.714,15,57,.792,72,15057,3897,1371,440,712,12,27,.298,0.76,1,34.90,St. Louis Cardinals
103,872,895,483,158,9,113,851,314,9,895,31,.258,3475,.322,.406,.728,34,136,.800,71,14877,3860,1410,453,663,10,28,.308,0.97,2,30.75,Tampa Bay Rays
103,784,1033,415,150,9,110,855,301,11,788,40,.230,3425,.298,.375,.673,22,95,.812,56,14686,3802,1286,398,664,7,28,.273,0.76,1,31.14,Texas Rangers
102,929,995,474,180,5,106,675,345,20,898,39,.261,3446,.332,.408,.740,16,52,.765,78,14656,3888,1406,451,739,23,28,.294,0.93,7,32.51,Toronto Blue Jays
102,819,948,434,162,12,120,847,302,5,824,59,.241,3415,.312,.401,.713,19,53,.736,67,14811,3800,1370,415,684,2,21,.285,0.86,1,28.46,Minnesota Twins
102,882,925,469,161,13,115,809,349,11,880,38,.254,3463,.327,.408,.735,19,89,.824,63,15111,3885,1412,446,729,10,23,.299,0.95,2,30.11,Philadelphia Phillies
