gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team,caughtStealingPercentage
123,1073,1054,544,216,16,166,1052,382,9,1061,32,.253,4201,.318,.430,.748,20,65,.765,98,17429,4659,1807,527,834,11,28,.297,1.02,5,25.31,Athletics,
122,1057,1035,432,168,17,86,1054,388,15,942,38,.232,4053,.304,.346,.650,27,91,.771,93,17671,4518,1402,418,848,9,26,.291,1.02,4,47.13,Pittsburgh Pirates,
121,1106,1154,509,190,16,103,840,399,15,1022,38,.252,4053,.323,.383,.706,22,81,.786,77,17429,4561,1553,477,867,35,34,.292,0.96,2,39.35,San Diego Padres,
121,982,1107,551,156,7,171,1076,410,19,999,64,.243,4116,.319,.409,.728,29,128,.815,76,18327,4639,1682,528,856,21,27,.286,0.89,1,24.07,Seattle Mariners,
121,922,1183,491,179,23,113,1027,410,9,931,49,.232,4006,.309,.373,.682,17,52,.754,79,17853,4523,1495,470,817,22,35,.282,0.78,1,35.45,San Francisco Giants,
122,952,1227,526,208,4,115,945,371,13,1022,57,.249,4099,.318,.386,.704,17,71,.807,87,17703,4577,1583,502,832,16,31,.295,0.78,3,35.64,St. Louis Cardinals,.193
122,1031,1057,546,185,13,136,1040,357,9,1034,35,.251,4116,.314,.402,.716,40,155,.795,78,17683,4556,1653,515,782,12,34,.302,0.98,2,30.26,Tampa Bay Rays,
122,938,1224,495,183,12,126,1011,363,18,944,46,.232,4077,.299,.375,.674,27,106,.797,66,17545,4528,1529,473,802,8,32,.275,0.77,2,32.36,Texas Rangers,
121,1094,1184,589,221,9,139,810,402,21,1113,49,.269,4142,.338,.427,.765,18,56,.757,94,17484,4659,1769,565,886,28,31,.302,0.92,7,29.80,Toronto Blue Jays,.243
120,976,1114,501,187,14,140,992,352,7,960,71,.239,4014,.310,.397,.707,22,59,.728,82,17345,4466,1595,479,800,3,25,.282,0.88,1,28.67,Minnesota Twins,
120,1019,1090,556,198,16,143,972,396,14,1029,43,.253,4070,.324,.415,.739,21,98,.824,73,17670,4551,1688,533,834,13,27,.297,0.93,2,28.46,Philadelphia Phillies,
120,994,1086,515,177,14,135,1044,436,12,985,37,.242,4072,.319,.392,.711,14,59,.808,74,18118,4583,1595,498,879,12,25,.291,0.92,1,30.16,Atlanta Braves,
121,927,1186,462,184,9,118,1015,385,8,911,32,.228,3991,.299,.368,.667,19,74,.796,77,17331,4461,1467,445,804,18,30,.275,0.78,5,33.82,Chicago White Sox,
120,1069,1098,521,201,21,117,946,366,11,1033,30,.252,4097,.316,.397,.713,32,98,.754,70,17127,4542,1627,501,830,19,30,.299,0.97,0,35.02,Miami Marlins,
121,927,1140,612,196,18,191,1051,460,37,1019,43,.249,4093,.328,.446,.774,25,88,.779,78,18325,4646,1824,587,853,6,38,.287,0.81,6,21.43,New York Yankees,
120,1053,1072,620,188,13,127,946,411,12,1052,55,.259,4062,.332,.405,.737,43,133,.756,62,17939,4593,1647,578,833,22,39,.305,0.98,4,31.98,Milwaukee Brewers,.244
121,923,1043,535,168,13,173,1174,368,19,943,68,.233,4045,.306,.409,.715,25,59,.702,71,17770,4523,1656,518,778,9,29,.282,0.88,4,23.38,Los Angeles Angels,
121,1030,1149,595,212,27,171,957,418,13,1025,62,.251,4089,.326,.441,.767,29,81,.736,85,17824,4643,1804,582,830,24,48,.284,0.90,2,23.91,Arizona Diamondbacks,
120,976,1065,509,196,14,145,1038,324,10,959,57,.240,4002,.303,.404,.707,29,81,.736,82,17271,4419,1618,482,737,3,33,.285,0.92,0,27.60,Baltimore Orioles,
122,1014,1064,614,250,20,149,1087,397,20,1065,58,.254,4192,.325,.430,.755,29,103,.780,69,18218,4686,1802,588,838,9,30,.307,0.95,0,28.13,Boston Red Sox,
119,945,1231,604,196,22,169,924,401,10,1030,33,.252,4085,.321,.435,.756,23,128,.848,49,17668,4566,1777,588,824,8,37,.284,0.77,2,24.17,Chicago Cubs,
122,989,1085,554,196,14,122,1049,398,12,1012,45,.247,4095,.318,.391,.709,26,87,.770,78,17767,4578,1602,521,816,8,32,.301,0.91,0,33.57,Cincinnati Reds,
119,901,1205,474,180,12,128,973,376,22,891,45,.228,3909,.300,.378,.678,28,91,.765,63,17248,4391,1479,456,762,20,41,.268,0.75,0,30.54,Cleveland Guardians,
120,928,1049,447,195,29,123,1131,309,5,957,35,.237,4030,.296,.392,.688,31,63,.670,92,16756,4409,1579,436,745,14,21,.298,0.88,0,32.76,Colorado Rockies,.330
122,879,1162,584,187,25,157,1079,370,8,1025,51,.250,4102,.317,.422,.739,13,51,.797,68,17868,4570,1733,564,788,5,38,.299,0.76,4,26.13,Detroit Tigers,
121,1012,1136,525,189,11,135,942,352,9,1057,55,.258,4101,.322,.408,.730,23,60,.723,97,17114,4554,1673,502,842,13,33,.302,0.89,0,30.38,Houston Astros,
121,1010,1284,456,214,19,108,831,309,16,995,53,.245,4061,.304,.387,.691,35,95,.731,69,16987,4484,1571,449,812,25,34,.281,0.79,2,37.60,Kansas City Royals,
121,933,1154,626,195,16,180,1027,450,25,1048,43,.255,4117,.332,.441,.773,20,72,.783,81,18212,4657,1815,605,835,7,38,.294,0.81,2,22.87,Los Angeles Dodgers,.217
120,1148,1008,515,197,19,115,939,347,10,986,47,.244,4037,.309,.388,.697,38,100,.725,72,17116,4476,1566,496,764,16,28,.289,1.14,1,35.10,Washington Nationals,
120,1042,1081,532,190,16,154,962,417,25,966,66,.241,4001,.320,.412,.732,10,93,.903,95,17797,4536,1650,517,844,11,39,.278,0.96,2,25.98,New York Mets,.097
