gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
152,1311,1315,700,277,16,211,1311,479,14,1332,42,.255,5218,.321,.436,.757,27,77,.740,.260,113,21735,5795,2274,679,1046,17,34,.301,1.00,5,24.73,Athletics
153,1317,1285,545,225,21,108,1342,505,19,1166,51,.230,5066,.305,.347,.652,34,111,.766,.234,116,22201,5670,1757,524,1068,13,31,.290,1.02,4,46.91,Pittsburgh Pirates
152,1365,1449,651,244,18,140,1075,484,16,1282,57,.252,5082,.322,.390,.712,28,100,.781,.219,101,22056,5714,1982,614,1065,46,43,.292,0.94,2,36.30,San Diego Padres
152,1218,1406,722,219,9,223,1341,515,26,1266,81,.245,5172,.321,.420,.741,36,150,.806,.194,98,22920,5829,2172,691,1054,23,36,.286,0.87,2,23.19,Seattle Mariners
152,1170,1473,662,225,26,162,1289,511,12,1192,62,.236,5053,.311,.387,.698,21,65,.756,.244,101,22372,5698,1955,632,1003,22,49,.282,0.79,1,31.19,San Francisco Giants
153,1202,1497,653,243,8,142,1240,451,15,1255,84,.244,5135,.314,.378,.692,24,85,.780,.220,107,22225,5733,1940,620,1031,20,39,.294,0.80,4,36.16,St. Louis Cardinals
152,1318,1276,675,229,16,172,1305,437,10,1289,44,.251,5131,.313,.403,.716,46,185,.801,.199,101,21995,5671,2066,643,971,16,41,.302,1.03,2,29.83,Tampa Bay Rays
153,1219,1506,653,235,15,167,1242,470,18,1221,59,.238,5139,.307,.387,.694,30,131,.814,.186,89,22268,5720,1987,629,1019,10,39,.280,0.81,3,30.77,Texas Rangers
152,1350,1492,758,278,10,180,1033,489,25,1394,63,.269,5191,.336,.430,.766,23,74,.763,.237,126,21957,5829,2232,732,1068,33,45,.302,0.90,8,28.84,Toronto Blue Jays
152,1231,1430,653,234,19,182,1262,473,9,1228,87,.240,5109,.314,.400,.714,29,104,.782,.218,98,22252,5712,2046,619,1036,8,34,.283,0.86,1,28.07,Minnesota Twins
153,1281,1381,743,255,24,197,1245,504,17,1350,60,.259,5203,.330,.431,.761,28,119,.810,.190,91,22622,5824,2244,718,1065,15,39,.303,0.93,3,26.41,Philadelphia Phillies
153,1283,1401,677,232,17,173,1298,531,14,1275,48,.245,5208,.319,.396,.715,24,76,.760,.240,93,23092,5837,2060,655,1092,15,34,.292,0.92,1,30.10,Atlanta Braves
153,1163,1502,609,231,10,154,1287,472,8,1184,44,.233,5083,.302,.373,.675,21,82,.796,.204,103,22026,5657,1897,588,1003,20,33,.280,0.77,5,33.01,Chicago White Sox
152,1387,1390,669,255,26,145,1172,461,12,1301,49,.251,5190,.315,.394,.709,40,120,.750,.250,89,21595,5760,2043,638,1049,19,41,.295,1.00,0,35.79,Miami Marlins
152,1143,1417,794,243,19,258,1359,589,40,1287,50,.250,5147,.330,.455,.785,33,129,.796,.204,97,23202,5854,2342,766,1057,7,52,.287,0.81,9,19.95,New York Yankees
152,1341,1369,780,248,17,162,1185,528,14,1348,66,.261,5171,.334,.409,.743,52,155,.749,.251,90,22978,5841,2116,724,1068,25,47,.306,0.98,4,31.92,Milwaukee Brewers
