Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.3,5.16,31,31,.500,4.76,62,62,62,0,5,0,20,552.2,526,320,292,78,208,10,529,29,6,13,2384,88,4.28,1.328,8.6,1.3,3.4,8.6,2.54,414
Athletics,28,28.8,6.12,24,40,.375,5.79,64,64,64,0,3,0,14,567.1,619,392,365,97,255,9,506,34,3,12,2576,71,5.05,1.541,9.8,1.5,4.0,8.0,1.98,490
Atlanta Braves,23,29.6,4.00,27,34,.443,3.82,61,61,61,0,3,0,10,539.0,473,244,229,70,205,10,533,25,4,17,2260,107,4.07,1.258,7.9,1.2,3.4,8.9,2.60,408
Baltimore Orioles,28,31.2,5.26,25,36,.410,5.10,61,61,61,0,1,0,14,534.1,562,321,303,90,204,3,487,19,3,24,2335,75,4.70,1.434,9.5,1.5,3.4,8.2,2.39,415
Boston Red Sox,23,29.7,4.53,30,34,.469,4.00,64,64,64,0,4,0,13,575.1,557,290,256,62,209,8,531,28,2,14,2465,104,3.87,1.331,8.7,1.0,3.3,8.3,2.54,464
Chicago Cubs,25,30.9,4.03,39,23,.629,3.71,62,62,62,0,6,0,15,555.2,506,250,229,68,179,5,484,20,0,13,2315,105,4.00,1.233,8.2,1.1,2.9,7.8,2.70,407
Chicago White Sox,23,27.6,4.35,20,43,.317,4.16,63,63,63,0,4,0,5,542.2,512,274,251,67,233,10,458,40,2,15,2367,99,4.50,1.373,8.5,1.1,3.9,7.6,1.97,469
Cincinnati Reds,21,29.3,4.08,30,33,.476,3.80,63,63,63,0,3,0,17,557.0,481,257,235,71,189,5,501,24,2,21,2328,117,4.08,1.203,7.8,1.1,3.1,8.1,2.65,406
Cleveland Guardians,23,27.5,4.23,33,28,.541,3.99,61,61,61,0,8,0,18,536.2,514,258,238,67,225,6,523,17,1,20,2304,102,4.10,1.377,8.6,1.1,3.8,8.8,2.32,440
Colorado Rockies,23,28.1,6.08,12,50,.194,5.39,62,62,62,0,0,0,10,537.1,625,377,322,75,210,8,406,18,2,28,2406,86,4.65,1.554,10.5,1.3,3.5,6.8,1.93,424
Detroit Tigers,21,28.0,3.53,41,23,.641,3.19,64,64,63,1,6,1,20,569.1,482,226,202,58,185,6,542,28,1,13,2352,125,3.62,1.172,7.6,0.9,2.9,8.6,2.93,425
Houston Astros,23,29.2,3.69,34,28,.548,3.56,62,62,59,3,6,0,17,545.1,440,229,216,59,192,2,592,21,1,15,2250,114,3.49,1.159,7.3,1.0,3.2,9.8,3.08,389
Kansas City Royals,19,30.0,3.48,33,30,.524,3.23,63,63,63,0,7,0,21,562.2,492,219,202,60,178,9,512,19,2,25,2322,128,3.69,1.191,7.9,1.0,2.8,8.2,2.88,426
Los Angeles Angels,27,29.9,5.11,28,33,.459,4.88,61,61,61,0,2,0,15,535.1,559,312,290,80,256,17,451,21,5,28,2372,85,4.89,1.522,9.4,1.3,4.3,7.6,1.76,458
Los Angeles Dodgers,29,29.4,4.49,38,25,.603,4.13,63,63,63,0,3,0,19,564.0,510,283,259,83,225,13,570,26,1,29,2392,95,4.30,1.303,8.1,1.3,3.6,9.1,2.53,428
Miami Marlins,21,27.6,5.38,23,37,.383,5.04,60,60,60,0,4,0,11,534.0,542,323,299,72,221,8,476,22,4,19,2341,87,4.41,1.429,9.1,1.2,3.7,8.0,2.15,426
Milwaukee Brewers,26,28.5,4.17,34,29,.540,3.91,63,63,63,0,5,0,15,557.1,504,263,242,66,230,12,512,21,5,15,2379,105,4.13,1.317,8.1,1.1,3.7,8.3,2.23,451
Minnesota Twins,21,28.7,3.63,34,28,.548,3.47,62,62,62,0,5,0,13,545.0,486,225,210,60,158,4,557,29,6,12,2271,118,3.49,1.182,8.0,1.0,2.6,9.2,3.53,419
