gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
112,112,821,1178,600,212,12,161,897,395,19,996,60,.260,3838,.335,.447,.782,20,92,.821,69,17176,4.99,992.0,49,63,25,42,47,17,550,1.40,4349,2976,112,0,6,10759,.630,60,7,21,4,1715,0.70,.438,17.31,112,2.27,8.14,3.58,9.04,5.44,1.46,2,12,42,Athletics
110,110,933,1063,437,204,18,103,837,318,12,857,43,.235,3647,.302,.386,.688,19,73,.793,68,15712,3.79,973.0,47,63,24,41,51,17,410,1.21,4052,2919,110,1,13,10190,.650,43,1,30,4,1406,0.88,.427,16.15,109,2.63,7.74,2.94,7.93,4.04,0.95,1,13,30,Pittsburgh Pirates
110,110,825,1085,414,149,12,107,927,358,15,816,44,.226,3606,.302,.363,.665,18,75,.806,69,15730,3.52,971.0,61,49,37,50,76,13,380,1.21,4057,2913,110,2,15,10044,.640,44,3,30,7,1310,0.76,.555,16.20,108,2.59,8.59,3.32,7.56,3.84,0.99,2,16,31,San Diego Padres
111,111,943,1047,479,165,12,124,938,338,21,915,52,.241,3792,.310,.389,.699,22,78,.780,78,16268,3.84,1004.2,59,52,26,45,58,19,429,1.25,4234,3014,111,0,8,10564,.650,52,3,35,2,1476,0.90,.532,16.19,111,2.78,8.40,3.03,8.20,4.29,1.11,1,19,32,Seattle Mariners
110,110,991,905,441,189,17,95,939,354,11,890,40,.242,3681,.313,.380,.693,26,64,.711,67,15766,3.62,974.2,55,55,27,43,67,16,392,1.28,4120,2924,110,1,5,10147,.640,40,5,37,7,1398,1.10,.500,16.18,109,2.65,8.67,3.27,8.22,4.07,0.88,1,16,28,San Francisco Giants
111,111,1059,996,496,187,25,104,804,290,10,968,31,.256,3778,.312,.402,.714,19,79,.806,69,15582,4.15,980.2,55,56,26,40,63,14,452,1.28,4153,2942,111,2,11,10054,.650,31,2,37,5,1517,1.06,.495,15.89,109,2.77,7.38,2.66,8.88,4.55,0.95,5,20,29,St. Louis Cardinals
111,111,935,980,460,160,8,144,932,318,8,880,43,.238,3701,.304,.402,.706,27,106,.797,88,15613,3.90,984.2,54,57,24,44,61,20,427,1.22,4091,2954,111,1,8,10150,.650,43,4,16,7,1488,0.95,.486,15.86,110,2.93,8.52,2.91,8.04,4.20,1.32,2,6,21,Tampa Bay Rays
111,111,924,1032,390,145,12,101,906,323,18,828,30,.227,3652,.293,.356,.649,16,77,.828,78,15496,3.25,984.1,57,54,28,48,64,20,355,1.17,4044,2953,111,2,10,10044,.650,30,3,34,4,1300,0.90,.514,15.74,109,2.80,8.28,2.95,7.57,3.57,0.92,1,12,26,Texas Rangers
111,111,795,1071,506,167,11,154,994,338,20,901,55,.242,3725,.312,.417,.729,27,64,.703,66,16181,4.31,983.2,64,47,32,49,65,17,471,1.26,4156,2951,111,1,7,10390,.640,55,6,19,5,1552,0.74,.577,16.45,110,2.94,9.09,3.09,8.24,4.63,1.41,2,6,30,Toronto Blue Jays
109,109,799,1085,487,176,9,121,925,284,11,931,49,.253,3683,.311,.404,.715,31,89,.742,45,15694,4.27,957.0,51,58,20,35,73,15,454,1.27,4073,2871,109,1,7,10259,.650,49,7,29,8,1488,0.74,.468,16.40,108,3.26,8.70,2.67,8.76,4.58,1.14,0,15,42,Minnesota Twins
109,109,897,938,441,162,12,120,998,308,7,906,36,.245,3705,.307,.392,.699,26,69,.726,59,15803,3.80,970.1,62,47,28,45,48,17,410,1.25,4083,2911,109,2,9,10261,.650,36,3,26,8,1452,0.96,.569,16.29,107,3.24,9.26,2.86,8.40,4.09,1.11,0,11,23,Philadelphia Phillies
109,109,893,918,481,180,13,128,981,366,18,872,46,.241,3624,.316,.403,.719,26,93,.782,58,16056,4.23,963.2,46,63,16,32,39,16,453,1.28,4076,2891,109,1,5,10289,.640,46,6,29,11,1462,0.97,.422,16.66,108,2.68,9.16,3.42,8.14,4.49,1.20,0,13,27,Atlanta Braves
110,110,859,1106,483,202,19,116,814,404,17,910,60,.249,3648,.331,.411,.742,22,93,.809,86,15971,4.08,959.2,41,69,14,30,48,16,435,1.37,4155,2879,110,0,5,9963,.620,60,5,28,12,1498,0.78,.373,16.64,110,2.01,7.63,3.79,8.53,4.53,1.09,2,7,34,Chicago White Sox
108,108,926,1021,512,193,17,114,852,339,11,919,47,.250,3678,.318,.405,.723,19,134,.876,65,15899,4.43,961.1,53,55,27,45,60,18,473,1.31,4108,2884,108,0,8,10143,.640,47,5,35,3,1488,0.91,.491,16.54,108,2.51,7.98,3.17,8.60,4.79,1.07,4,6,34,Miami Marlins
110,110,920,967,478,159,16,124,974,377,8,843,36,.230,3673,.306,.383,.689,19,72,.791,63,16054,4.04,974.0,60,50,30,45,63,15,437,1.25,4121,2922,110,0,10,10178,.630,36,3,33,13,1406,0.95,.545,16.48,110,2.58,9.00,3.48,7.79,4.42,1.15,4,11,20,New York Yankees
109,109,853,1029,431,155,12,116,943,363,14,848,41,.234,3631,.308,.379,.687,23,58,.716,68,16011,3.68,969.1,65,44,30,42,75,12,396,1.25,4079,2908,109,0,10,10178,.640,41,5,23,6,1375,0.83,.596,16.52,109,2.60,8.76,3.37,7.87,4.00,1.08,2,15,27,Milwaukee Brewers
110,110,949,1018,547,158,13,149,861,417,37,978,33,.260,3761,.336,.428,.764,16,83,.838,99,16371,4.61,976.0,53,57,26,51,62,25,500,1.43,4257,2928,110,0,5,10443,.640,33,7,45,4,1609,0.93,.482,16.77,110,2.06,7.94,3.85,9.02,5.04,1.37,1,12,33,Los Angeles Angels
110,110,942,995,545,227,17,140,908,346,16,960,49,.255,3770,.324,.435,.759,19,74,.796,76,16095,4.60,975.2,51,59,29,47,54,18,499,1.34,4201,2927,110,0,7,10203,.630,49,8,21,9,1641,0.95,.464,16.50,110,2.62,8.38,3.19,8.86,5.03,1.29,1,13,22,Arizona Diamondbacks
110,110,924,986,550,184,18,153,897,363,10,996,37,.265,3761,.333,.445,.778,17,80,.825,68,16214,4.86,966.1,50,60,26,40,76,14,522,1.41,4205,2899,110,1,4,10370,.640,37,4,44,9,1675,0.94,.455,16.78,109,2.47,8.35,3.38,9.28,5.12,1.42,2,13,29,Baltimore Orioles
111,111,974,984,478,140,4,113,922,366,13,922,49,.245,3760,.318,.375,.693,33,92,.736,81,16239,3.74,995.0,60,51,30,52,61,22,413,1.29,4225,2985,111,2,7,10415,.640,49,5,31,2,1409,0.99,.541,16.32,109,2.52,8.34,3.31,8.34,4.32,1.02,8,11,31,Boston Red Sox
