gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
155,155,1140,1603,778,273,19,215,1268,544,25,1325,78,.252,5267,.328,.433,.761,29,127,.814,.186,91,23671,4.68,1375.2,73,82,35,55,65,20,715,1.36,5960,4127,155,0,10,14835,.630,78,7,28,6,2281,0.71,.471,17.21,155,2.33,8.30,3.56,8.67,5.09,1.41,2,16,53,Athletics
155,155,1272,1470,630,277,20,147,1245,456,18,1215,72,.236,5142,.305,.384,.689,30,104,.776,.224,95,22229,3.85,1367.2,66,89,34,58,67,24,585,1.22,5731,4103,155,1,18,14388,.650,72,2,43,5,1973,0.87,.426,16.25,154,2.73,8.19,3.00,8.00,4.15,0.97,1,18,42,Pittsburgh Pirates
155,155,1157,1484,603,194,15,173,1356,497,21,1147,63,.226,5081,.300,.372,.672,25,103,.805,.195,94,22345,3.69,1368.0,84,71,47,63,99,16,561,1.20,5707,4104,155,2,16,14313,.640,63,5,37,8,1890,0.78,.542,16.33,153,2.73,8.92,3.27,7.55,3.97,1.14,3,21,42,San Diego Padres
155,155,1305,1425,670,237,16,184,1356,440,26,1285,72,.243,5298,.307,.398,.705,26,114,.814,.186,103,22637,3.89,1399.2,86,69,42,67,90,25,605,1.23,5885,4199,155,0,11,14763,.650,72,3,50,4,2106,0.92,.555,16.17,155,3.08,8.72,2.83,8.26,4.31,1.18,2,26,47,Seattle Mariners
155,155,1388,1305,659,276,21,136,1291,490,17,1297,68,.249,5216,.319,.388,.707,37,89,.706,.294,103,22588,3.87,1370.2,76,79,36,56,79,20,589,1.30,5840,4112,155,1,6,14549,.640,68,8,49,11,2023,1.06,.490,16.48,154,2.63,8.48,3.22,8.52,4.33,0.89,1,25,40,San Francisco Giants
155,155,1460,1386,715,265,32,157,1151,442,15,1370,44,.259,5292,.318,.410,.728,34,114,.770,.230,103,22024,4.25,1373.0,75,80,40,63,86,23,648,1.32,5858,4119,155,2,13,14134,.640,44,4,50,9,2170,1.05,.484,16.04,153,2.60,7.54,2.90,8.98,4.69,1.03,5,25,50,St. Louis Cardinals
155,155,1285,1343,644,213,12,195,1348,447,11,1214,65,.236,5148,.303,.395,.698,38,146,.793,.207,123,21918,3.85,1373.1,75,80,35,63,85,28,588,1.21,5706,4120,155,1,11,14281,.650,65,6,31,15,2036,0.96,.484,15.96,154,3.02,8.83,2.93,7.96,4.22,1.28,3,12,31,Tampa Bay Rays
155,155,1271,1462,576,218,14,165,1280,445,23,1178,47,.229,5140,.295,.373,.668,22,113,.837,.163,107,21842,3.45,1380.1,79,76,36,64,79,28,529,1.18,5684,4141,155,2,14,14154,.650,47,4,41,8,1919,0.87,.510,15.82,153,2.88,8.35,2.90,7.68,3.76,1.08,1,18,33,Texas Rangers
155,155,1171,1465,697,243,13,204,1367,493,25,1256,71,.241,5207,.313,.410,.723,34,106,.757,.243,91,22675,4.22,1375.0,89,66,40,63,91,23,645,1.27,5825,4125,155,2,8,14495,.640,71,8,31,8,2137,0.80,.574,16.49,153,2.77,8.95,3.23,8.22,4.56,1.34,2,13,39,Toronto Blue Jays
155,155,1157,1531,761,272,13,189,1302,448,18,1378,69,.260,5291,.323,.424,.747,37,132,.781,.219,78,22976,4.69,1365.0,66,89,27,51,90,24,711,1.34,5886,4095,155,1,8,14829,.650,69,10,44,12,2243,0.76,.426,16.83,154,2.91,8.58,2.95,9.09,5.02,1.25,1,20,57,Minnesota Twins
