date,away_team,home_team,away_score,home_score,away_odds,home_odds,status
2026-03-25,San Francisco Giants,New York Yankees,0,7,+110,-120,Completed
2026-03-26,Seattle Mariners,Cleveland Guardians,4,6,-185,+154,Completed
2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,8,2,-250,+229,Completed
2026-03-26,Philadelphia Phillies,Texas Rangers,5,3,-159,+140,Completed
2026-03-26,St. Louis Cardinals,Tampa Bay Rays,9,7,+114,-130,Completed
2026-03-26,Cincinnati Reds,Boston Red Sox,0,3,+135,-159,Completed
2026-03-26,San Diego Padres,Detroit Tigers,2,8,+110,-125,Completed
2026-03-26,Houston Astros,Los Angeles Angels,0,3,-175,+160,Completed
2026-03-26,Baltimore Orioles,Minnesota Twins,2,1,-133,+125,Completed
2026-03-26,Chicago Cubs,Washington Nationals,4,10,-208,+175,Completed
2026-03-26,Milwaukee Brewers,Chicago White Sox,14,2,-200,+165,Completed
2026-03-26,New York Mets,Pittsburgh Pirates,11,7,-115,+104,Completed
2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,5,4,-238,+200,Completed
2026-03-27,Seattle Mariners,Cleveland Guardians,5,1,-169,+145,Completed
2026-03-27,San Diego Padres,Detroit Tigers,2,5,-128,+118,Completed
2026-03-27,Houston Astros,Los Angeles Angels,2,6,-169,+145,Completed
2026-03-27,Atlanta Braves,Kansas City Royals,6,0,-141,+120,Completed
2026-03-27,Miami Marlins,Colorado Rockies,2,1,-189,+165,Completed
2026-03-27,Toronto Blue Jays,Athletics,3,2,-179,+150,Completed
2026-03-27,San Francisco Giants,New York Yankees,0,3,+114,-130,Completed
2026-03-28,San Diego Padres,Detroit Tigers,3,0,-105,+100,Completed
2026-03-28,Atlanta Braves,Kansas City Royals,6,2,-149,+125,Completed
2026-03-28,San Francisco Giants,New York Yankees,1,3,+114,-135,Completed
2026-03-28,Milwaukee Brewers,Chicago White Sox,6,1,-200,+165,Completed
2026-03-28,Houston Astros,Los Angeles Angels,11,9,-128,+118,Completed
2026-03-28,Cincinnati Reds,Boston Red Sox,6,5,+114,-135,Completed
2026-03-28,Miami Marlins,Colorado Rockies,4,3,-189,+165,Completed
2026-03-28,New York Mets,Pittsburgh Pirates,4,2,-169,+145,Completed
2026-03-28,Baltimore Orioles,Minnesota Twins,1,4,-167,+145,Completed
2026-03-28,Philadelphia Phillies,Texas Rangers,4,5,-149,+125,Completed
2026-03-28,Toronto Blue Jays,Athletics,8,7,-189,+165,Completed
2026-03-28,Chicago Cubs,Washington Nationals,10,2,-250,+204,Completed
2026-03-28,St. Louis Cardinals,Tampa Bay Rays,6,5,+100,-115,Completed
2026-03-28,Seattle Mariners,Cleveland Guardians,5,6,-179,+150,Completed
2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,3,2,-250,+204,Completed
2026-03-29,Seattle Mariners,Cleveland Guardians,8,0,-149,+125,Completed
2026-03-29,Chicago Cubs,Washington Nationals,3,6,-250,+210,Completed
2026-03-29,St. Louis Cardinals,Tampa Bay Rays,7,11,+104,-115,Completed
2026-03-29,Milwaukee Brewers,Chicago White Sox,9,7,-164,+140,Completed
2026-03-29,Houston Astros,Los Angeles Angels,9,7,-169,+150,Completed
2026-03-29,Cincinnati Reds,Boston Red Sox,3,2,+118,-135,Completed
2026-03-29,Miami Marlins,Colorado Rockies,4,3,-189,+160,Completed
2026-03-29,New York Mets,Pittsburgh Pirates,3,4,-179,+154,Completed
2026-03-29,Toronto Blue Jays,Athletics,5,2,-149,+135,Completed
2026-03-29,Atlanta Braves,Kansas City Royals,1,4,-149,+125,Completed
2026-03-29,Baltimore Orioles,Minnesota Twins,8,6,-154,+135,Completed
2026-03-29,Philadelphia Phillies,Texas Rangers,3,8,-159,+140,Completed
2026-03-30,Arizona Diamondbacks,Detroit Tigers,9,6,-115,+104,Completed
2026-03-30,Los Angeles Dodgers,Cleveland Guardians,2,4,-169,+165,Completed
2026-03-30,Seattle Mariners,New York Yankees,2,1,+100,-118,Completed
2026-03-30,San Diego Padres,San Francisco Giants,2,3,-118,+100,Completed
