away_team,home_team,date,away_score,home_score,away_spread,away_spread_odds,home_spread,home_spread_odds,away_moneyline,home_moneyline,total,over_odds,under_odds
Athletics,Braves,2026-04-01,1,5,+1.5,-116,-1.5,-103,+187,-225,7.5,-110,-109
Rangers,Orioles,2026-04-01,3,8,-1.5,+157,+1.5,-192,-104,-115,8.5,-104,-118
Pirates,Reds,2026-04-01,8,3,-1.5,+118,+1.5,-141,-143,+121,7.5,-104,-116
Nationals,Phillies,2026-04-01,5,6,+1.5,-101,-1.5,-120,+223,-274,8.0,-111,-110
Rockies,Blue Jays,2026-04-01,2,1,+1.5,+102,-1.5,-122,+235,-290,7.5,-107,-114
White Sox,Marlins,2026-04-01,0,10,+1.5,-189,-1.5,+156,+124,-147,7.5,-104,-116
Mets,Cardinals,2026-04-01,1,2,-1.5,+102,+1.5,-124,-170,+140,7.5,-115,-107
Rays,Brewers,2026-04-01,2,8,+1.5,-192,-1.5,+159,+120,-143,7.0,-110,-111
Red Sox,Astros,2026-04-01,4,6,-1.5,+127,+1.5,-152,-143,+121,7.0,-111,-110
Angels,Cubs,2026-04-01,2,6,+1.5,-183,-1.5,+153,+139,-165,6.0,-112,-110
Tigers,Diamondbacks,2026-04-01,0,1,-1.5,+113,+1.5,-136,-152,+128,7.5,-113,-107
Yankees,Mariners,2026-04-01,5,3,-1.5,+171,+1.5,-217,-101,-118,7.0,-102,-121
Giants,Padres,2026-04-01,1,7,+1.5,-171,-1.5,+142,+130,-155,8.0,-104,-117
Twins,Royals,2026-04-01,9,13,-1.5,+147,+1.5,-177,-113,-106,7.5,-115,-105
Guardians,Dodgers,2026-04-01,4,1,+1.5,+112,-1.5,-133,+238,-290,8.0,-109,-112
Twins,Royals,2026-04-02,5,1,+1.5,-147,-1.5,+123,+129,-153,9.5,-106,-114
Braves,Diamondbacks,2026-04-02,17,2,-1.5,+141,+1.5,-169,-114,-104,9.0,-114,-106
Mets,Giants,2026-04-02,2,7,-1.5,+140,+1.5,-167,-121,+102,8.0,-113,-107
Dodgers,Nationals,2026-04-03,13,6,-1.5,-168,+1.5,+139,-274,+224,9.5,-114,-106
Cardinals,Tigers,2026-04-03,0,4,+1.5,-142,-1.5,+117,+152,-182,8.0,-109,-113
Marlins,Yankees,2026-04-03,2,8,+1.5,-162,-1.5,+134,+137,-163,8.0,-108,-113
Padres,Red Sox,2026-04-03,2,5,+1.5,-203,-1.5,+165,+103,-123,8.5,-104,-119
Blue Jays,White Sox,2026-04-03,4,5,-1.5,-115,+1.5,-105,-200,+166,7.5,+102,-123
Reds,Rangers,2026-04-03,5,3,+1.5,-152,-1.5,+126,+143,-170,8.0,-111,-110
Rays,Twins,2026-04-03,4,10,-1.5,+156,+1.5,-194,-109,-110,7.5,-111,-111
Cubs,Guardians,2026-04-03,1,4,-1.5,+148,+1.5,-177,-116,-103,7.5,-108,-112
Phillies,Rockies,2026-04-03,10,1,-1.5,-125,+1.5,+103,-197,+162,10.0,-115,-106
Orioles,Pirates,2026-04-03,4,5,-1.5,+137,+1.5,-163,-120,+101,8.5,-116,-105
Mariners,Angels,2026-04-03,3,1,-1.5,+108,+1.5,-131,-157,+132,8.0,-104,-115
Astros,Athletics,2026-04-03,4,11,-1.5,+145,+1.5,-173,-108,-110,9.5,-115,-106
Braves,Diamondbacks,2026-04-03,2,0,-1.5,+147,+1.5,-177,-109,-109,9.0,-107,-114
Mets,Giants,2026-04-03,10,3,-1.5,+132,+1.5,-158,-130,+110,7.5,-117,-104
Cardinals,Tigers,2026-04-04,6,11,+1.5,-160,-1.5,+134,+142,-170,7.5,-105,-115
Blue Jays,White Sox,2026-04-04,3,6,-1.5,+108,+1.5,-130,-151,+128,8.5,-108,-113
Brewers,Royals,2026-04-04,5,2,-1.5,+143,+1.5,-173,-114,-105,8.5,-111,-110
