game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5057923,2026-04-07,CLE,KC,2,1,-125,104,-125,104,3.5,3.5,3.5,3.5,151,-199,151,-199
5057924,2026-04-07,TB,CHC,2,9,-120,100,-120,100,10.5,10.5,10.5,10.5,-103,-126,-103,-126
5057925,2026-04-07,MIA,CIN,3,6,-135,120,-135,120,9.5,9.5,9.5,9.5,161,-213,161,-213
5057926,2026-04-07,PIT,SD,7,1,-149,125,-149,125,4.5,4.5,4.5,4.5,-102,-128,-102,-128
5057927,2026-04-07,BOS,MIL,3,2,-159,135,-159,135,5.5,5.5,5.5,5.5,373,-577,373,-577
5057928,2026-04-07,WSH,STL,6,7,-115,-105,-115,-105,13.5,13.5,13.5,13.5,630,-1320,630,-1320
5057929,2026-04-07,NYY,OAK,5,3,-270,220,-270,220,8.5,8.5,8.5,8.5,356,-544,356,-544
5057930,2026-04-07,TOR,LAD,1,4,129,-154,129,-154,5.5,5.5,5.5,5.5,303,-443,303,-443
5057931,2026-04-07,NYM,ARI,4,3,-149,125,-149,125,7.5,7.5,7.5,7.5,238,-331,238,-331
5057932,2026-04-07,CHW,BAL,2,4,125,-149,125,-149,6.5,6.5,6.5,6.5,430,-710,430,-710
5057933,2026-04-07,MIN,DET,4,2,140,-164,140,-164,6.5,6.5,6.5,6.5,385,-640,385,-640
5057934,2026-04-07,TEX,SEA,3,2,104,-115,104,-115,5.5,5.5,5.5,5.5,245,-342,245,-342
5057935,2026-04-07,COL,HOU,5,1,140,-164,140,-164,7.5,7.5,7.5,7.5,123,-161,123,-161
5057936,2026-04-07,LAA,ATL,2,7,110,-130,110,-130,7.5,7.5,7.5,7.5,-157,120,-157,120
5057937,2026-04-07,SF,PHI,6,0,129,-154,129,-154,4.5,4.5,4.5,4.5,-146,112,-146,112
