id,game_pk,date,season,status,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_score,away_score,home_hits,away_hits,home_errors,away_errors
823358,823358,2026-07-12T00:00:00.000Z,2026,Final,134,158,PIT,MIL,14,5,15,8,0,1
824814,824814,2026-07-12T00:00:00.000Z,2026,Final,110,118,BAL,KC,8,2,12,9,2,1
822708,822708,2026-07-12T00:00:00.000Z,2026,Final,120,147,WSH,NYY,3,5,6,8,0,1
824491,824491,2026-07-12T00:00:00.000Z,2026,Final,113,112,CIN,CHC,4,8,9,9,0,0
823602,823602,2026-07-12T00:00:00.000Z,2026,Final,121,111,NYM,BOS,2,3,6,4,2,0
822951,822951,2026-07-12T00:00:00.000Z,2026,Final,139,136,TB,SEA,2,8,4,9,2,0
824250,824250,2026-07-12T00:00:00.000Z,2026,Final,116,143,DET,PHI,0,5,2,9,1,1
823842,823842,2026-07-12T00:00:00.000Z,2026,Final,146,114,MIA,CLE,2,5,8,11,1,0
823681,823681,2026-07-12T00:00:00.000Z,2026,Final,142,108,MIN,LAA,4,2,6,7,0,0
824574,824574,2026-07-12T00:00:00.000Z,2026,Final,145,133,CHW,UNK,9,1,9,6,2,1
823029,823029,2026-07-12T00:00:00.000Z,2026,Final,138,144,STL,ATL,3,4,4,7,2,0
822876,822876,2026-07-12T00:00:00.000Z,2026,Final,140,117,TEX,HOU,6,5,11,8,0,1
823199,823199,2026-07-12T00:00:00.000Z,2026,Final,137,115,SF,COL,3,1,8,4,0,1
823925,823925,2026-07-12T00:00:00.000Z,2026,Final,119,109,LAD,ARI,3,5,3,5,2,0
823274,823274,2026-07-12T00:00:00.000Z,2026,Final,135,141,SD,TOR,5,4,7,9,0,1
