id,game_pk,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
5058124,5058124,2026,2026-04-22T16:10:00.000Z,False,regular,STATUS_SCHEDULED,loanDepot park,False,15,26,miami-marlins,st-louis-cardinals,MIA,STL,Miami Marlins,St. Louis Cardinals,Marlins,Cardinals,Marlins,Cardinals,Miami,St. Louis,National,National,East,Central,0,0,,,,,,
5058125,5058125,2026,2026-04-22T17:10:00.000Z,False,regular,STATUS_SCHEDULED,Tropicana Field,False,27,7,tampa-bay-rays,cincinnati-reds,TB,CIN,Tampa Bay Rays,Cincinnati Reds,Rays,Reds,Rays,Reds,Tampa Bay,Cincinnati,American,National,East,Central,0,0,,,,,,
5058126,5058126,2026,2026-04-22T17:10:00.000Z,False,regular,STATUS_SCHEDULED,Progressive Field,False,8,11,cleveland-guardians,houston-astros,CLE,HOU,Cleveland Guardians,Houston Astros,Guardians,Astros,Guardians,Astros,Cleveland,Houston,American,American,Central,West,0,0,,,,,,
5058127,5058127,2026,2026-04-22T18:10:00.000Z,False,regular,STATUS_SCHEDULED,Kauffman Stadium,False,12,3,kansas-city-royals,baltimore-orioles,KC,BAL,Kansas City Royals,Baltimore Orioles,Royals,Orioles,Royals,Orioles,Kansas City,Baltimore,American,American,Central,East,0,0,,,,,,
5058128,5058128,2026,2026-04-22T19:07:00.000Z,False,regular,STATUS_SCHEDULED,Angel Stadium,False,13,29,los-angeles-angels,toronto-blue-jays,LAA,TOR,Los Angeles Angels,Toronto Blue Jays,Angels,Blue Jays,Angels,Blue Jays,Los Angeles,Toronto,American,American,West,East,0,0,,,,,,
5058129,5058129,2026,2026-04-22T20:10:00.000Z,False,regular,STATUS_SCHEDULED,T-Mobile Park,False,25,20,seattle-mariners,oakland-athletics,SEA,OAK,Seattle Mariners,Oakland Athletics,Mariners,Athletics,Mariners,Athletics,Seattle,Oakland,American,American,West,West,0,0,,,,,,
5058130,5058130,2026,2026-04-22T22:40:00.000Z,False,regular,STATUS_SCHEDULED,Comerica Park,False,10,16,detroit-tigers,milwaukee-brewers,DET,MIL,Detroit Tigers,Milwaukee Brewers,Tigers,Brewers,Tigers,Brewers,Detroit,Milwaukee,American,National,Central,Central,0,0,,,,,,
5058131,5058131,2026,2026-04-22T22:45:00.000Z,False,regular,STATUS_SCHEDULED,Nationals Park,False,30,2,washington-nationals,atlanta-braves,WSH,ATL,Washington Nationals,Atlanta Braves,Nationals,Braves,Nationals,Braves,Washington,Atlanta,National,National,East,East,0,0,,,,,,
5058132,5058132,2026,2026-04-22T22:45:00.000Z,False,regular,STATUS_SCHEDULED,Fenway Park,False,4,19,boston-red-sox,new-york-yankees,BOS,NYY,Boston Red Sox,New York Yankees,Red Sox,Yankees,Red Sox,Yankees,Boston,New York,American,American,East,East,0,0,,,,,,
5058133,5058133,2026,2026-04-22T23:10:00.000Z,False,regular,STATUS_SCHEDULED,Citi Field,False,18,17,new-york-mets,minnesota-twins,NYM,MIN,New York Mets,Minnesota Twins,Mets,Twins,Mets,Twins,New York,Minnesota,National,American,East,Central,0,0,,,,,,
5058134,5058134,2026,2026-04-22T23:40:00.000Z,False,regular,STATUS_SCHEDULED,Wrigley Field,False,5,21,chicago-cubs,philadelphia-phillies,CHC,PHI,Chicago Cubs,Philadelphia Phillies,Cubs,Phillies,Cubs,Phillies,Chicago,Philadelphia,National,National,Central,East,0,0,,,,,,
5058135,5058135,2026,2026-04-23T00:05:00.000Z,False,regular,STATUS_SCHEDULED,Globe Life Field,False,28,22,texas-rangers,pittsburgh-pirates,TEX,PIT,Texas Rangers,Pittsburgh Pirates,Rangers,Pirates,Rangers,Pirates,Texas,Pittsburgh,American,National,West,Central,0,0,,,,,,
5058136,5058136,2026,2026-04-23T00:40:00.000Z,False,regular,STATUS_SCHEDULED,Coors Field,False,9,23,colorado-rockies,san-diego-padres,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,Rockies,Padres,Colorado,San Diego,National,National,West,West,0,0,,,,,,
5058137,5058137,2026,2026-04-23T01:40:00.000Z,False,regular,STATUS_SCHEDULED,Chase Field,False,1,6,arizona-diamondbacks,chicago-white-sox,ARI,CHW,Arizona Diamondbacks,Chicago White Sox,Diamondbacks,White Sox,Diamondbacks,White Sox,Arizona,Chicago,National,American,West,Central,0,0,,,,,,
5058138,5058138,2026,2026-04-23T01:45:00.000Z,False,regular,STATUS_SCHEDULED,Oracle Park,False,24,14,san-francisco-giants,los-angeles-dodgers,SF,LAD,San Francisco Giants,Los Angeles Dodgers,Giants,Dodgers,Giants,Dodgers,San Francisco,Los Angeles,National,National,West,West,0,0,,,,,,
