game_pk,home_bp_ip,home_bp_hits,home_bp_earned_runs,home_bp_walks,home_bp_strikeouts,home_bp_homeruns,home_bp_era,home_bp_whip,away_bp_ip,away_bp_hits,away_bp_earned_runs,away_bp_walks,away_bp_strikeouts,away_bp_homeruns,away_bp_era,away_bp_whip
5057899,3.0,1,1,1,4,0,3.0,0.67,3.1,0,0,1,1,0,0.0,0.3
5057895,3.0,4,1,0,6,0,3.0,1.33,6.0,4,2,3,3,1,3.0,1.17
5057896,4.0,6,7,2,4,2,15.75,2.0,4.0,2,0,2,3,0,0.0,1.0
5057897,2.1,2,4,2,5,0,15.43,1.71,8.0,4,2,8,8,0,2.25,1.5
5057898,5.0,6,4,1,5,2,7.2,1.4,6.1,6,2,1,6,0,2.84,1.11
5057900,4.0,6,4,5,3,0,9.0,2.75,3.2,6,3,2,3,0,7.36,2.18
5057901,3.1,3,2,3,1,1,5.4,1.8,4.0,2,0,1,3,0,0.0,0.75
5057902,3.0,2,0,1,3,0,0.0,1.0,6.0,5,1,1,6,0,1.5,1.0
5057903,4.0,5,1,3,3,0,2.25,2.0,3.0,1,0,2,6,0,0.0,1.0
5057904,3.0,2,0,0,5,0,0.0,0.67,3.0,0,0,0,4,0,0.0,0.0
5057905,5.2,8,6,6,5,2,9.53,2.47,5.0,11,8,6,2,2,14.4,3.4
5057906,2.0,6,4,1,2,0,18.0,3.5,3.1,2,0,0,1,0,0.0,0.6
5057907,8.1,4,4,3,11,1,4.32,0.84,7.0,5,2,2,5,0,2.57,1.0
5057908,5.1,5,1,1,4,0,1.69,1.12,4.0,4,1,1,4,0,2.25,1.25
6127497,4.0,5,4,3,6,2,9.0,2.0,3.0,6,5,3,0,1,15.0,3.0
5057909,4.2,3,1,2,4,0,1.93,1.07,4.0,1,1,4,4,0,2.25,1.25
