game_pk,home_batting_r_per_g_rolling_5,away_batting_r_per_g_rolling_5,home_batting_r_per_g_rolling_10,away_batting_r_per_g_rolling_10
5057771,,,,
5057772,,,,
5057773,,,,
5057774,,,,
5057775,,,,
5057776,,,,
5057777,,,,
5057778,,,,
5057779,,,,
5057780,,,,
5057781,,,,
5057782,,,,
5057783,0.0,7.0,0.0,7.0
5057784,,,,
5057785,,,,
5057786,,,,
5057787,0.0,3.0,0.0,3.0
5057788,4.0,6.0,4.0,6.0
5057789,2.0,8.0,2.0,8.0
5057790,8.0,2.0,8.0,2.0
5057791,9.0,7.0,9.0,7.0
5057792,4.0,10.0,4.0,10.0
5057793,3.0,2.0,3.0,2.0
5057794,2.0,1.0,2.0,1.0
5057795,5.0,3.0,5.0,3.0
5057796,0.0,3.0,0.0,3.0
5057797,2.0,1.0,2.0,1.0
5057798,11.0,7.0,11.0,7.0
5057799,1.0,4.5,1.0,4.5
5057800,14.0,2.0,14.0,2.0
5057801,6.0,0.0,6.0,0.0
5057802,0.0,5.0,0.0,5.0
5057803,2.0,6.5,2.0,6.5
5057804,6.5,3.0,6.5,3.0
5057805,4.5,3.5,4.5,3.5
5057806,6.0,1.0,6.0,1.0
5057807,1.5,2.5,1.5,2.5
5057808,4.5,4.0,4.5,4.0
5057809,5.5,4.5,5.5,4.5
5057810,3.0,4.0,3.0,4.0
5057811,3.0,2.0,3.0,2.0
5057812,7.5,4.5,7.5,4.5
5057813,4.333333333333333,6.0,4.333333333333333,6.0
5057814,10.0,1.5,10.0,1.5
5057815,7.5,6.0,7.5,6.0
5057816,7.0,6.0,7.0,6.0
5057817,4.666666666666667,4.333333333333333,4.666666666666667,4.333333333333333
5057818,2.0,3.6666666666666665,2.0,3.6666666666666665
5057819,3.6666666666666665,5.333333333333333,3.6666666666666665,5.333333333333333
5057820,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
5057821,3.0,4.333333333333333,3.0,4.333333333333333
5057822,4.0,6.0,4.0,6.0
5057823,5.333333333333333,2.3333333333333335,5.333333333333333,2.3333333333333335
5057824,4.333333333333333,3.6666666666666665,4.333333333333333,3.6666666666666665
5057825,5.666666666666667,6.25,5.666666666666667,6.25
5057826,9.666666666666666,7.666666666666667,9.666666666666666,7.666666666666667
5057827,7.333333333333333,6.0,7.333333333333333,6.0
5057828,5.5,3.3333333333333335,5.5,3.3333333333333335
5057829,5.5,4.333333333333333,5.5,4.333333333333333
5057830,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.3333333333333333
5057831,5.333333333333333,3.25,5.333333333333333,3.25
5057832,2.6666666666666665,4.333333333333333,2.6666666666666665,4.333333333333333
5057833,3.25,5.25,3.25,5.25
5057834,3.5,4.75,3.5,4.75
5057835,2.75,3.25,2.75,3.25
5057836,3.5,7.75,3.5,7.75
5057837,5.25,5.25,5.25,5.25
5057838,4.25,2.75,4.25,2.75
5057839,6.0,5.4,6.0,5.4
5057840,7.75,6.5,7.75,6.5
5057841,6.0,5.5,6.0,5.5
5057842,6.0,2.75,6.0,2.75
5057843,4.25,4.75,4.25,4.75
5057844,4.8,3.5,4.8,3.5
5057845,2.25,1.0,2.25,1.0
5057846,4.5,3.4,4.5,3.4
5057847,3.8,3.2,3.8,3.2
5057848,3.6,5.8,3.6,5.8
5057849,2.8,4.2,2.8,4.2
5057850,3.4,6.6,3.4,6.6
5057851,5.2,4.4,5.2,4.4
5057852,4.6,4.2,4.6,4.2
5057853,5.4,4.4,5.4,4.4
5057854,7.4,5.6,7.4,5.6
5057855,7.8,2.6,6.5,2.6
5057856,4.8,5.2,4.8,4.833333333333333
5057857,4.8,4.8,4.8,4.8
5057858,4.0,3.8,4.0,3.8
5057859,2.4,2.6,2.4,2.6
5057860,2.25,3.0,2.25,3.0
5057861,4.4,2.4,4.4,3.0
5057862,4.4,4.2,4.4,4.2
5057864,4.6,3.6,4.166666666666667,4.0
5057865,2.8,2.4,2.3333333333333335,3.8333333333333335
5057866,5.6,3.0,6.333333333333333,3.8333333333333335
5057867,3.2,4.0,4.0,4.833333333333333
5057868,3.4,6.2,4.0,5.5
5057869,2.8,3.4,2.8333333333333335,3.1666666666666665
6041984,3.8,4.8,3.5,4.5
5057870,5.8,3.4,5.333333333333333,2.8333333333333335
5057871,3.0,5.2,3.142857142857143,5.0
5057873,4.6,3.6,4.0,3.8333333333333335
5057874,4.4,4.8,4.833333333333333,4.333333333333333
5057872,5.0,4.6,4.333333333333333,5.0
5057876,4.4,3.6,4.428571428571429,3.857142857142857
5057877,4.2,5.8,3.857142857142857,5.857142857142857
5057878,3.0,8.6,2.8333333333333335,6.428571428571429
5057879,4.2,2.0,3.0,3.5714285714285716
5057880,3.0,2.8,4.0,4.142857142857143
5057881,4.6,4.0,3.7142857142857144,4.428571428571429
5057886,4.6,6.2,3.8333333333333335,7.5
5057882,5.0,5.4,4.857142857142857,4.285714285714286
5057883,6.4,4.6,6.285714285714286,5.142857142857143
5057884,3.8,7.2,4.0,6.125
5057885,2.8,3.4,3.142857142857143,3.0
5057887,4.4,5.8,4.571428571428571,5.0
5057888,5.4,3.2,5.0,3.142857142857143
5057889,6.2,4.4,5.142857142857143,4.857142857142857
6096942,4.6,6.0,3.5714285714285716,7.142857142857143
5057891,3.8,6.0,3.375,5.375
5057892,4.2,4.8,3.5714285714285716,4.714285714285714
5057893,4.6,3.4,3.0,4.375
5057894,2.8,3.2,4.0,3.75
5057899,2.6,3.4,3.25,4.428571428571429
5057895,4.8,4.2,4.625,4.0
5057896,6.2,6.0,6.125,5.75
5057897,5.6,6.4,5.125,5.25
5057898,2.8,3.4,3.0,3.0
5057900,5.4,4.6,4.125,6.5
5057901,5.2,3.6,4.625,5.125
5057902,4.4,3.6,4.0,4.25
5057903,3.8,3.0,4.375,3.0
5057904,3.8,4.6,3.25,4.375
5057905,3.4,7.6,3.5,6.666666666666667
5057906,4.0,4.4,2.6666666666666665,4.888888888888889
5057907,1.6,1.6,3.6666666666666665,3.3333333333333335
5057908,2.4,5.4,3.2222222222222223,4.888888888888889
6127497,2.6,3.0,2.888888888888889,4.0
5057909,5.2,2.6,4.875,4.375
5057910,3.8,2.6,5.0,4.111111111111111
5057911,3.0,5.8,3.2,4.222222222222222
5057912,7.0,3.0,5.444444444444445,2.888888888888889
5057913,6.4,4.6,5.0,3.5555555555555554
5057914,3.8,5.8,3.3333333333333335,6.666666666666667
5057915,4.8,3.2,6.111111111111111,4.444444444444445
5057916,2.6,7.2,3.7777777777777777,6.0
5057917,3.2,4.2,3.888888888888889,3.7777777777777777
5057918,5.2,4.6,4.222222222222222,4.666666666666667
5057919,3.0,2.6,4.0,3.7
5057920,1.8,8.0,3.3333333333333335,7.0
5057921,2.8,6.0,4.1,4.9
5057922,2.6,4.4,2.6,4.0
5057923,3.2,4.0,2.8,4.2
5057932,3.0,3.6,3.6,3.6
5057931,5.4,2.2,4.9,3.5
5057924,4.6,3.4,5.1,4.1
5057925,5.2,2.8,4.9,2.8
5057926,4.8,5.0,4.5,3.7
5057927,4.6,6.2,3.6,6.8
5057928,6.2,3.8,6.4,4.6
5057929,6.6,5.8,5.222222222222222,4.444444444444445
5057930,2.0,9.2,3.6,6.8
5057933,4.8,4.2,4.5,4.5
5057934,1.8,2.8,3.8,3.4
5057935,3.4,7.6,3.9,7.7
5057936,3.6,5.4,4.4,4.5
5057937,3.2,5.0,3.0,4.2
5057938,4.6,3.8,4.5,3.6
5057939,2.8,4.0,2.9,4.3
5057940,4.4,5.0,3.6,5.6
5057941,3.4,2.8,3.6,3.8
5057942,1.8,2.6,3.8,3.1
