Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-29,Baltimore Orioles,16,Toronto Blue Jays,4,Final
2025-07-29,Baltimore Orioles,3,Toronto Blue Jays,2,Final
2025-07-29,Cleveland Guardians,10,Colorado Rockies,4,Final
2025-07-29,Detroit Tigers,12,Arizona Diamondbacks,2,Final
2025-07-29,New York Yankees,7,Tampa Bay Rays,5,Final
2025-07-29,Cincinnati Reds,4,Los Angeles Dodgers,5,Final
2025-07-29,Minnesota Twins,5,Boston Red Sox,8,Final
2025-07-29,Kansas City Royals,9,Atlanta Braves,6,Final
2025-07-29,Chicago White Sox,3,Philadelphia Phillies,6,Final
2025-07-29,Milwaukee Brewers,9,Chicago Cubs,3,Final
2025-07-29,St. Louis Cardinals,0,Miami Marlins,5,Final
2025-07-29,Houston Astros,7,Washington Nationals,4,Final
2025-07-29,Los Angeles Angels,8,Texas Rangers,5,Final
2025-07-29,San Diego Padres,7,New York Mets,1,Final
2025-07-29,San Francisco Giants,1,Pittsburgh Pirates,3,Final
2025-07-29,Athletics,6,Seattle Mariners,1,Final
