fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CHC,TB,-1.5,1.5,0.42,0.605,+138,-153,0,2025-09-14T14:20:00-04:00,CHC -1.5,2025-09-14T16:01:42.006+00:00
TOR,BAL,-1.5,1.5,0.476,0.548,+110,-121,1,2025-09-14T13:37:00-04:00,TOR -1.5,2025-09-14T16:37:01.33+00:00
HOU,ATL,-1.5,1.5,0.448,0.582,+123,-139,0,2025-09-14T13:35:00-04:00,ATL +1.5,2025-09-14T16:34:09.691+00:00
NYM,TEX,-1.5,1.5,0.424,0.593,+136,-146,0,2025-09-14T13:40:00-04:00,NYM -1.5,2025-09-14T16:38:18.378+00:00
MIL,STL,-1.5,1.5,0.477,0.553,+110,-124,1,2025-09-14T14:10:00-04:00,MIL -1.5,2025-09-14T16:28:52.573+00:00
MIN,ARI,-1.5,1.5,0.371,0.658,+170,-192,1,2025-09-14T14:10:00-04:00,MIN -1.5,2025-09-14T16:35:21.824+00:00
LAD,SF,-1.5,1.5,0.433,0.583,+131,-140,0,2025-09-14T16:05:00-04:00,SF +1.5,2025-09-14T16:31:18.814+00:00
SD,COL,-1.5,1.5,0.605,0.405,-153,+147,0,2025-09-14T16:10:00-04:00,SD -1.5,2025-09-14T16:41:01.234+00:00
SEA,LAA,-1.5,1.5,0.483,0.523,+107,-110,1,2025-09-14T16:10:00-04:00,SEA -1.5,2025-09-14T16:39:39.829+00:00
BOS,NYY,-1.5,1.5,0.407,0.626,+146,-167,1,2025-09-14T19:10:00-04:00,BOS -1.5,2025-09-14T16:28:17.991+00:00
PHI,KAN,-1.5,1.5,0.414,0.611,+142,-157,1,2025-09-14T13:35:00-04:00,PHI -1.5,2025-09-14T16:35:27.332+00:00
CLE,CWS,-1.5,1.5,0.421,0.608,+138,-155,1,2025-09-14T13:40:00-04:00,CLE -1.5,2025-09-14T16:35:27.332+00:00
CIN,OAK,-1.5,1.5,0.405,0.624,+147,-166,0,2025-09-14T16:05:00-04:00,OAK +1.5,2025-09-14T16:39:27.773+00:00
DET,MIA,-1.5,1.5,0.441,0.588,+127,-143,0,2025-09-14T13:40:00-04:00,MIA +1.5,2025-09-14T16:38:01.979+00:00
