Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-05-30,Chicago Cubs,Colin Rea,3.96,1.38,52.1,43,.279,3.92,1.27,459.1,413,Cincinnati Reds,Andrew Abbott,1.51,1.03,47.2,53,.183,3.98,1.21,466.8,411
2025-05-30,Baltimore Orioles,Zach Eflin,4.46,1.09,40.1,24,.252,5.49,1.5,449.0,412,Chicago White Sox,Jared Shuster,6.14,1.77,14.2,11,.333,4.04,1.36,475.0,402
2025-05-30,Philadelphia Phillies,Taijuan Walker,3.53,1.36,43.1,39,.246,3.84,1.28,469.1,520,Milwaukee Brewers,DL Hall,1.69,0.94,5.1,5,.118,3.98,1.33,508.0,466
2025-05-30,Toronto Blue Jays,Chris Bassitt,3.8,1.36,66.1,69,.278,4.01,1.16,442.1,447,Athletics,Jeffrey Springs,4.72,1.38,61.0,49,.235,5.74,1.55,454.1,414
2025-05-30,Cleveland Guardians,Luis L. Ortiz,4.4,1.43,59.1,64,.242,4.08,1.4,434.1,418,Los Angeles Angels,José Soriano,3.41,1.51,68.2,49,.272,4.99,1.51,423.8,363
2025-05-30,New York Mets,David Peterson,2.69,1.26,63.2,59,.237,2.88,1.25,443.8,450,Colorado Rockies,Kyle Freeland,5.72,1.63,61.1,48,.332,5.5,1.58,433.0,323
2025-05-30,Miami Marlins,Cal Quantrill,5.84,1.52,49.1,38,.304,5.16,1.44,439.9,400,San Francisco Giants,Kyle Harrison,2.51,0.98,14.1,16,.160,3.18,1.21,486.9,478
2025-05-30,Atlanta Braves,Grant Holmes,3.78,1.17,64.1,64,.205,3.73,1.26,429.1,417,Boston Red Sox,Lucas Giolito,4.78,1.44,32.0,26,.290,3.89,1.33,497.1,461
2025-05-30,Texas Rangers,Jack Leiter,3.66,1.2,46.2,36,.195,3.1,1.16,455.9,411,St. Louis Cardinals,Matthew Liberatore,3.08,1.06,64.1,56,.237,3.92,1.27,438.1,351
2025-05-30,Kansas City Royals,Seth Lugo,3.45,1.15,60.0,45,.237,3.17,1.21,454.1,419,Detroit Tigers,Casey Mize,2.82,1.14,51.0,45,.236,3.29,1.17,463.0,456
2025-05-30,Houston Astros,Framber Valdez,3.12,1.06,78.0,73,.213,3.57,1.17,423.1,466,Tampa Bay Rays,Ryan Pepiot,3.21,1.16,70.0,56,.236,3.58,1.17,440.0,378
2025-05-30,Arizona Diamondbacks,Merrill Kelly,3.46,1.05,65.0,59,.209,4.91,1.37,434.2,418,Washington Nationals,Jake Irvin,3.89,1.17,69.1,47,.230,5.23,1.44,423.9,405
2025-05-30,San Diego Padres,Nick Pivetta,2.58,0.98,59.1,69,.188,3.73,1.23,422.9,406,Pittsburgh Pirates,Mitch Keller,3.55,1.26,66.0,55,.256,4.04,1.26,443.0,368
2025-05-30,Seattle Mariners,Bryan Woo,2.67,0.94,64.0,61,.219,3.99,1.38,435.0,379,Minnesota Twins,Zebby Matthews,7.71,2.0,7.0,14,.333,3.22,1.15,474.1,473
2025-05-30,Los Angeles Dodgers,Tony Gonsolin,4.62,1.42,25.1,28,.253,4.1,1.28,474.0,488,New York Yankees,Max Fried,1.29,0.93,70.0,67,.191,3.58,1.19,417.0,461
