Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.6,70.0,328.0,301.0,38.0,81.0,18.0,7.0,5.0,38.0,14.0,5.0,20.0,77.0,0.269,0.323,0.425,0.748,108.0,0.338,112.0,128.0,3.0,5.0,0.0,2.0,0.0,*7/89H,
2.0,Rafael Devers*,28.0,BOS,AL,2.3,71.0,326.0,265.0,46.0,73.0,18.0,0.0,14.0,57.0,1.0,1.0,55.0,74.0,0.275,0.405,0.502,0.907,153.0,0.392,156.0,133.0,4.0,4.0,0.0,2.0,7.0,*D,
3.0,Shohei Ohtani*,30.0,LAD,NL,3.1,68.0,317.0,273.0,68.0,78.0,11.0,5.0,23.0,39.0,11.0,4.0,41.0,79.0,0.286,0.379,0.615,0.994,179.0,0.418,175.0,168.0,3.0,1.0,0.0,2.0,8.0,*D,
4.0,Bo Bichette,27.0,TOR,AL,0.9,69.0,313.0,291.0,31.0,79.0,17.0,1.0,8.0,40.0,4.0,3.0,18.0,51.0,0.271,0.316,0.419,0.736,104.0,0.326,107.0,122.0,6.0,2.0,0.0,2.0,1.0,*6/DH,
5.0,Jackson Chourio,21.0,MIL,NL,0.7,70.0,312.0,300.0,42.0,77.0,18.0,2.0,12.0,41.0,13.0,5.0,10.0,64.0,0.257,0.282,0.45,0.732,104.0,0.327,105.0,135.0,9.0,1.0,0.0,1.0,0.0,*879/D,
6.0,Brent Rooker,30.0,ATH,AL,1.6,71.0,312.0,282.0,44.0,78.0,15.0,1.0,15.0,41.0,2.0,1.0,28.0,65.0,0.277,0.346,0.496,0.843,134.0,0.37,138.0,140.0,7.0,2.0,0.0,0.0,0.0,*D/97H,
7.0,Francisco Lindor#,31.0,NYM,NL,2.6,68.0,311.0,273.0,45.0,76.0,12.0,0.0,14.0,38.0,13.0,2.0,25.0,54.0,0.278,0.35,0.476,0.827,136.0,0.367,135.0,130.0,4.0,8.0,0.0,5.0,2.0,*6/H,
8.0,Juan Soto*,26.0,NYM,NL,3.0,69.0,311.0,249.0,51.0,63.0,14.0,0.0,13.0,36.0,8.0,0.0,57.0,51.0,0.253,0.389,0.466,0.855,146.0,0.391,153.0,116.0,13.0,1.0,0.0,4.0,5.0,*9/D,
9.0,Kyle Tucker*,28.0,CHC,NL,2.8,69.0,311.0,260.0,49.0,71.0,13.0,4.0,13.0,43.0,17.0,1.0,47.0,43.0,0.273,0.386,0.504,0.89,155.0,0.397,154.0,131.0,5.0,2.0,0.0,2.0,6.0,*9/DH,
10.0,Pete Alonso,30.0,NYM,NL,2.9,70.0,310.0,262.0,42.0,78.0,22.0,1.0,17.0,63.0,0.0,2.0,35.0,65.0,0.298,0.397,0.584,0.981,179.0,0.414,177.0,153.0,11.0,10.0,0.0,3.0,2.0,*3,
