Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,43,24,0.642,W 1,4.9,3.5,1.4,0.0,1.4,43-24,0.0,10-2,13-8,7-6,13-8,23-9,20-15,2-4,12-7,31-20,12-4,25-19,18-5,6-4,12-8,19-11
2.0,New York Mets,42,24,0.636,W 3,4.6,3.3,1.3,-0.2,1.1,43-23,-1.0,9-4,9-4,13-6,11-10,24-7,18-17,3-3,13-10,33-17,9-7,20-12,22-12,8-2,13-7,19-11
3.0,Chicago Cubs,40,25,0.615,L 1,5.6,4.0,1.6,-0.1,1.5,42-23,-2.0,8-7,8-4,15-11,9-3,20-11,20-14,3-3,9-4,30-16,10-9,17-17,23-8,6-4,14-6,19-11
4.0,New York Yankees,39,25,0.609,L 2,5.5,4.0,1.5,-0.1,1.4,41-23,-2.0,8-8,7-5,10-2,14-10,21-12,18-13,1-3,11-11,31-19,8-6,24-16,15-9,5-5,13-7,20-10
5.0,Los Angeles Dodgers,39,27,0.591,W 1,5.6,4.4,1.1,0.0,1.1,40-26,-1.0,15-10,6-7,7-3,11-7,23-11,16-16,5-3,10-9,30-16,9-11,15-14,24-13,5-5,10-10,15-15
6.0,San Diego Padres,37,27,0.578,W 1,4.0,3.8,0.3,-0.1,0.2,34-30,3.0,8-2,10-5,9-3,10-17,20-10,17-17,3-3,14-8,26-17,11-10,15-21,22-6,6-4,10-10,14-16
7.0,San Francisco Giants,38,28,0.576,W 5,4.1,3.4,0.7,-0.1,0.6,38-28,0.0,9-4,8-5,6-7,15-12,22-11,16-17,5-3,16-12,32-16,6-12,21-20,17-8,7-3,11-9,16-14
8.0,Philadelphia Phillies,37,28,0.569,L 5,4.6,4.3,0.2,-0.3,0.0,34-31,3.0,9-9,7-11,13-4,8-4,19-12,18-16,4-4,11-8,29-16,8-12,14-17,23-11,1-9,10-10,17-13
9.0,Houston Astros,36,29,0.554,L 1,4.0,3.7,0.4,0.1,0.5,35-30,1.0,6-4,10-8,10-6,10-11,22-12,14-17,3-0,10-7,31-27,5-2,27-23,9-6,6-4,13-7,19-11
10.0,St. Louis Cardinals,36,29,0.554,L 1,4.6,4.2,0.4,0.1,0.6,35-30,1.0,10-9,8-5,5-1,13-14,22-11,14-18,1-4,12-8,24-18,12-11,21-17,15-12,5-5,11-9,20-10
11.0,Toronto Blue Jays,35,30,0.538,L 1,4.2,4.3,0.0,0.0,0.0,32-33,3.0,10-12,4-5,11-8,10-5,22-13,13-17,4-2,9-8,27-24,8-6,15-21,20-9,8-2,13-7,19-11
