team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,68,48,.586,-,55,-,5-5
Boston Red Sox,Unknown,64,52,.552,4.0,81,+2.5,8-2
New York Yankees,Unknown,61,54,.530,6.5,88,-,4-6
Tampa Bay Rays,Unknown,57,59,.491,11.0,47,4.5,4-6
Baltimore Orioles,Unknown,52,63,.452,15.5,-80,9.0,5-5
Detroit Tigers,Unknown,66,50,.569,-,75,-,6-4
Cleveland Guardians,Unknown,59,55,.518,6.0,-23,1.5,7-3
Kansas City Royals,Unknown,57,58,.496,8.5,-14,4.0,6-4
Minnesota Twins,Unknown,54,60,.474,11.0,-29,6.5,4-6
Chicago White Sox,Unknown,42,72,.368,23.0,-70,18.5,4-6
Houston Astros,Unknown,64,51,.557,-,47,-,4-6
Seattle Mariners,Unknown,62,53,.539,2.0,29,+1.0,6-4
Texas Rangers,Unknown,60,56,.517,4.5,70,1.5,4-6
Los Angeles Angels,Unknown,55,60,.478,9.0,-68,6.0,5-5
Athletics,Unknown,50,66,.431,14.5,-112,11.5,6-4
Philadelphia Phillies,Unknown,65,49,.570,-,79,-,5-5
New York Mets,Unknown,63,52,.548,2.5,35,-,2-8
Miami Marlins,Unknown,56,57,.496,8.5,-48,6.0,6-4
Atlanta Braves,Unknown,47,66,.416,17.5,-30,15.0,3-7
Washington Nationals,Unknown,45,68,.398,19.5,-142,17.0,4-6
Milwaukee Brewers,Unknown,70,44,.614,-,127,-,9-1
Chicago Cubs,Unknown,66,48,.579,4.0,115,+3.5,5-5
Cincinnati Reds,Unknown,60,55,.522,10.5,42,3.0,5-5
St. Louis Cardinals,Unknown,58,58,.500,13.0,-16,5.5,4-6
Pittsburgh Pirates,Unknown,49,66,.426,21.5,-59,14.0,6-4
Los Angeles Dodgers,Unknown,66,49,.574,-,74,-,5-5
San Diego Padres,Unknown,64,51,.557,2.0,38,+1.0,8-2
San Francisco Giants,Unknown,58,57,.504,8.0,16,5.0,4-6
Arizona Diamondbacks,Unknown,54,61,.470,12.0,-11,9.0,3-7
Colorado Rockies,Unknown,30,84,.263,35.5,-316,32.5,3-7
