Date,Away Team,Away Starter,Home Team,Home Starter
2025-05-30,Cincinnati Reds,Andrew Abbott,Chicago Cubs,Colin Rea
2025-05-30,Chicago White Sox,Jared Shuster,Baltimore Orioles,Zach Eflin
2025-05-30,Milwaukee Brewers,DL Hall,Philadelphia Phillies,Taijuan Walker
2025-05-30,Athletics,Jeffrey Springs,Toronto Blue Jays,Chris Bassitt
2025-05-30,Los Angeles Angels,José Soriano,Cleveland Guardians,Luis L. Ortiz
2025-05-30,Colorado Rockies,Kyle Freeland,New York Mets,David Peterson
2025-05-30,San Francisco Giants,Kyle Harrison,Miami Marlins,Cal Quantrill
2025-05-30,Boston Red Sox,Lucas Giolito,Atlanta Braves,Grant Holmes
2025-05-30,St. Louis Cardinals,Matthew Liberatore,Texas Rangers,Jack Leiter
2025-05-30,Detroit Tigers,Casey Mize,Kansas City Royals,Seth Lugo
2025-05-30,Tampa Bay Rays,Ryan Pepiot,Houston Astros,Framber Valdez
2025-05-30,Washington Nationals,Jake Irvin,Arizona Diamondbacks,Merrill Kelly
2025-05-30,Pittsburgh Pirates,Mitch Keller,San Diego Padres,Nick Pivetta
2025-05-30,Minnesota Twins,Zebby Matthews,Seattle Mariners,Bryan Woo
2025-05-30,New York Yankees,Max Fried,Los Angeles Dodgers,Tony Gonsolin
