Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-08-20,Pittsburgh Pirates,Johan Oviedo,13.5,3.0,2.0,5,.333,9,4.03,1.24,1119.0,981,4225,Toronto Blue Jays,Chris Bassitt,4.22,1.33,138.2,132.0,.267,547.0,4.23,1.25,987.0,987.0,3698.0
2025-08-20,Philadelphia Phillies,Jesús Luzardo,4.21,1.34,139.0,158,.257,537,3.72,1.21,980.1,991,3738,Seattle Mariners,Luis Castillo,3.48,1.22,142.1,125.0,.248,549.0,4.01,1.25,1005.0,956.0,3795.0
2025-08-20,Detroit Tigers,Charlie Morton,5.2,1.5,117.2,122,.269,458,3.61,1.19,1018.9,977,3814,Houston Astros,Framber Valdez,3.01,1.18,152.1,151.0,.230,560.0,3.99,1.23,971.1,1038.0,3645.0
2025-08-20,Arizona Diamondbacks,Brandon Pfaadt,5.08,1.36,133.0,108,.281,537,4.5,1.34,995.0,909,3823,Cleveland Guardians,Parker Messick,,,,,,,,,,,
2025-08-20,Miami Marlins,Sandy Alcantara,6.31,1.41,127.0,97,.265,494,4.32,1.29,988.1,897,3778,St. Louis Cardinals,Andre Pallante,5.04,1.38,128.2,88.0,.264,507.0,4.13,1.28,994.0,840.0,3816.0
2025-08-20,Washington Nationals,Brad Lord,3.26,1.22,91.0,73,.243,338,5.54,1.47,1007.1,875,3954,New York Mets,Kodai Senga,2.35,1.23,99.2,95.0,.207,363.0,3.9,1.32,1009.8,974.0,3839.0
2025-08-20,Atlanta Braves,Hurston Waldrep,1.02,0.79,17.2,17,.150,60,4.38,1.31,1098.0,1084,4156,Chicago White Sox,Martín Pérez,3.09,1.29,23.1,22.0,.205,83.0,4.23,1.37,1075.0,937.0,4102.0
2025-08-20,Tampa Bay Rays,Drew Rasmussen,2.6,0.98,117.2,102,.212,424,4.15,1.25,996.0,972,3767,New York Yankees,Cam Schlittler,3.94,1.52,29.2,30.0,.270,115.0,4.01,1.24,1078.0,1080.0,4056.0
2025-08-20,Kansas City Royals,Noah Cameron,2.47,1.06,98.1,78,.209,363,3.7,1.26,1023.9,909,3871,Texas Rangers,TBD,,,,,,,,,,,
2025-08-20,Minnesota Twins,Bailey Ober,5.15,1.35,108.1,86,.280,436,4.13,1.27,992.9,968,3797,Athletics,J.T. Ginn,5.04,1.32,55.1,61.0,.256,215.0,4.86,1.38,1071.0,984.0,4116.0
2025-08-20,Chicago Cubs,Colin Rea,3.99,1.28,121.2,90,.265,465,3.79,1.2,997.0,869,3746,Milwaukee Brewers,Jacob Misiorowski,3.89,1.13,34.2,50.0,.180,122.0,3.57,1.23,1088.0,1045.0,4069.0
2025-08-20,Colorado Rockies,Tanner Gordon,7.98,1.8,38.1,24,.353,170,5.93,1.6,1062.0,809,4281,Los Angeles Dodgers,Shohei Ohtani,3.47,1.11,23.1,32.0,.236,89.0,4.13,1.3,1097.1,1085.0,4146.0
2025-08-20,Los Angeles Angels,Yusei Kikuchi,3.52,1.44,143.0,149,.262,553,4.87,1.44,975.0,849,3746,Cincinnati Reds,Nick Martinez,4.73,1.23,139.0,98.0,.262,527.0,3.67,1.24,986.2,958.0,3718.0
2025-08-20,San Diego Padres,JP Sears,5.12,1.31,116.0,101,.267,457,3.37,1.19,998.0,985,3665,San Francisco Giants,Landen Roupp,3.45,1.45,104.1,100.0,.263,410.0,3.7,1.26,1011.9,962.0,3824.0
