Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,27.9,5.02,61,2354,2069,306,525,118,12,84,299,51,13,223,458,.254,.332,.444,.776,115,919,41,30,8,23,7,428
Athletics,44,26.6,4.14,63,2393,2155,261,546,105,8,75,252,34,8,204,515,.253,.320,.414,.734,107,892,61,14,4,13,5,438
Atlanta Braves,42,28.5,4.00,60,2272,2032,240,494,82,6,63,230,36,11,205,514,.243,.316,.382,.699,96,777,36,18,6,11,5,442
Baltimore Orioles,46,27.4,3.83,60,2211,1996,230,474,86,9,64,216,43,13,169,526,.237,.303,.386,.689,99,770,48,26,2,18,3,389
Boston Red Sox,39,27.5,4.73,64,2489,2228,303,565,120,8,75,291,56,13,217,588,.254,.325,.416,.741,106,926,32,26,5,13,13,473
Chicago Cubs,42,28.6,5.72,61,2390,2116,349,550,115,15,81,341,80,14,229,481,.260,.334,.443,.777,123,938,29,17,6,22,8,434
Chicago White Sox,45,27.2,3.45,62,2259,2019,214,447,93,3,48,207,47,12,200,520,.221,.294,.342,.635,81,690,35,13,7,16,1,415
Cincinnati Reds,42,27.6,4.44,63,2365,2110,280,513,107,7,64,268,57,20,218,560,.243,.318,.391,.709,92,826,37,20,3,14,6,417
Cleveland Guardians,38,27.7,4.02,60,2206,1961,241,462,85,6,63,228,45,14,191,482,.236,.308,.381,.689,95,748,35,23,8,23,9,387
Colorado Rockies,44,27.7,3.16,62,2250,2047,196,443,94,16,53,194,30,14,163,599,.216,.279,.356,.635,71,728,40,20,7,13,5,384
Detroit Tigers,41,26.9,5.00,63,2393,2135,315,536,100,10,73,301,21,6,209,564,.251,.323,.410,.733,108,875,37,27,4,16,5,425
Houston Astros,38,28.7,3.97,61,2249,2024,242,509,83,6,61,231,30,13,174,469,.251,.317,.389,.706,99,787,50,28,8,15,6,422
Kansas City Royals,38,28.4,3.34,61,2243,2042,204,507,101,12,36,201,48,22,144,424,.248,.302,.362,.664,87,740,27,21,14,21,9,427
Los Angeles Angels,46,28.3,4.18,61,2235,2030,255,459,86,7,88,246,25,10,157,591,.226,.288,.405,.693,95,823,37,25,6,15,6,353
Los Angeles Dodgers,45,31.1,5.69,62,2405,2125,353,564,106,9,101,340,40,12,234,515,.265,.341,.466,.807,129,991,47,21,3,21,13,416
Miami Marlins,41,26.0,4.00,60,2268,2039,240,503,100,8,51,230,48,19,186,492,.247,.313,.379,.691,90,772,37,16,13,14,5,425
Milwaukee Brewers,41,27.0,4.57,63,2386,2114,288,505,89,5,58,265,82,19,216,512,.239,.315,.368,.683,93,778,28,25,15,14,8,434
Minnesota Twins,39,28.6,4.25,61,2285,2054,259,497,97,7,61,247,33,12,174,504,.242,.312,.385,.697,95,791,37,41,1,14,4,416
New York Mets,43,28.8,4.44,62,2344,2054,275,500,104,13,71,266,47,8,223,476,.243,.326,.410,.737,112,843,55,40,3,22,13,440
New York Yankees,34,28.2,5.37,60,2333,2030,322,521,108,10,97,309,42,14,246,528,.257,.342,.463,.805,128,940,39,29,1,24,16,445
Philadelphia Phillies,33,30.4,4.75,61,2350,2085,290,533,92,9,67,275,56,11,223,481,.256,.332,.405,.737,105,844,37,22,5,15,6,448
Pittsburgh Pirates,42,29.5,3.18,62,2308,2055,197,466,77,10,43,190,61,15,211,540,.227,.305,.337,.642,80,692,57,24,5,10,10,448
San Diego Padres,38,30.3,4.18,60,2232,1997,251,498,88,8,53,231,46,13,186,415,.249,.315,.381,.697,95,761,38,15,15,18,6,404
Seattle Mariners,45,28.8,4.43,60,2309,2034,266,479,72,3,80,257,55,18,222,539,.235,.319,.392,.711,109,797,36,32,9,12,4,433
San Francisco Giants,34,28.8,4.13,62,2305,2045,256,473,92,9,59,245,37,13,215,521,.231,.309,.372,.680,95,760,42,20,11,13,5,413
St. Louis Cardinals,35,27.1,4.67,60,2286,2038,280,527,112,4,54,265,35,12,197,465,.259,.329,.397,.726,104,809,45,27,6,18,9,426
Tampa Bay Rays,36,27.5,4.36,61,2256,2034,266,501,95,3,63,253,86,17,185,514,.246,.312,.389,.701,101,791,41,17,1,17,1,389
Texas Rangers,40,29.4,3.37,62,2198,2000,209,443,73,6,61,204,55,14,158,507,.222,.283,.356,.639,85,711,30,20,3,16,3,373
Toronto Blue Jays,41,28.2,4.15,61,2312,2045,253,514,102,3,60,243,36,9,211,424,.251,.325,.392,.717,102,802,45,21,13,19,11,449
Washington Nationals,34,26.1,4.43,61,2259,2028,270,492,104,10,61,257,57,21,176,473,.243,.311,.394,.705,102,799,36,31,10,14,2,374
League Average,39,28.2,4.30,61,2305,2058,264,502,96,8,66,253,47,14,199,507,.244,.315,.394,.709,100,811,40,24,7,16,7,419
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1178,28.2,4.30,1840,69145,61741,7911,15046,2886,242,1968,7582,1419,410,5966,15197,.244,.315,.394,.709,100,24320,1195,709,202,494,204,12567
