gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
99,879,835,423,161,13,129,845,316,8,838,23,.249,3372,.316,.419,.735,14,55,.797,85,14048,3741,1412,409,673,7,18,.293,1.05,5,26.14,Athletics
98,836,840,327,128,14,66,849,305,12,741,30,.229,3237,.299,.338,.637,25,81,.764,76,14066,3605,1095,316,671,8,21,.288,1.00,4,49.04,Pittsburgh Pirates
97,861,933,390,138,12,84,682,315,14,792,26,.246,3213,.316,.375,.691,18,67,.788,62,13774,3610,1206,365,670,26,29,.286,0.92,1,38.25,San Diego Padres
97,796,892,457,138,5,138,856,334,17,833,53,.250,3337,.326,.418,.744,25,86,.775,61,14792,3764,1395,440,706,16,24,.294,0.89,0,24.18,Seattle Mariners
98,747,944,399,146,17,89,835,342,9,741,40,.230,3220,.309,.369,.678,17,45,.726,65,14393,3650,1188,379,658,19,28,.281,0.79,1,36.18,San Francisco Giants
98,759,999,447,167,4,98,761,306,12,836,47,.252,3317,.322,.393,.715,15,55,.786,67,14381,3709,1305,426,673,12,26,.297,0.76,1,33.85,St. Louis Cardinals
98,828,860,460,152,9,109,807,287,8,858,29,.259,3315,.321,.409,.730,32,124,.795,66,14135,3671,1355,434,626,10,28,.309,0.96,2,30.41,Tampa Bay Rays
98,758,987,395,143,9,103,808,291,11,759,40,.232,3278,.300,.375,.675,21,92,.814,53,14043,3644,1229,379,649,6,28,.274,0.77,1,31.82,Texas Rangers
97,882,944,444,165,4,101,651,325,20,848,38,.259,3275,.330,.404,.734,15,52,.776,75,13953,3695,1324,425,699,22,28,.293,0.93,7,32.43,Toronto Blue Jays
97,780,907,406,151,9,114,799,276,5,781,56,.241,3245,.309,.398,.707,18,48,.727,60,14022,3600,1292,391,647,2,20,.284,0.86,1,28.46,Minnesota Twins
97,833,886,443,154,13,105,769,334,10,840,36,.255,3296,.328,.405,.733,18,84,.824,58,14404,3698,1335,421,700,10,22,.301,0.94,0,31.39,Philadelphia Phillies
96,822,850,395,139,10,106,825,324,10,793,28,.243,3259,.315,.390,.705,13,44,.772,59,14370,3643,1270,382,698,10,21,.292,0.97,1,30.74,Atlanta Braves
98,741,950,342,150,9,78,836,325,7,705,25,.221,3190,.296,.347,.643,18,62,.775,62,14033,3587,1107,327,660,16,26,.272,0.78,5,40.90,Chicago White Sox
96,864,868,416,161,15,90,768,283,8,836,22,.254,3292,.315,.394,.709,28,75,.728,57,13657,3641,1297,400,662,17,27,.303,1.00,0,36.58,Miami Marlins
97,742,896,504,173,14,151,855,377,30,844,37,.256,3300,.336,.454,.790,24,63,.724,64,14845,3756,1498,483,706,4,33,.298,0.83,5,21.85,New York Yankees
97,855,863,459,138,9,94,768,331,11,805,43,.248,3245,.323,.383,.706,34,111,.766,51,14262,3668,1243,428,664,18,28,.295,0.99,3,34.52,Milwaukee Brewers
97,750,840,424,133,11,142,939,283,15,758,51,.233,3256,.302,.411,.713,20,44,.688,58,14190,3624,1339,410,618,8,23,.280,0.89,3,22.93,Los Angeles Angels
98,840,931,500,175,21,141,773,352,12,835,47,.252,3320,.328,.444,.772,21,67,.761,65,14553,3779,1475,488,675,20,39,.284,0.90,1,23.55,Arizona Diamondbacks
96,777,855,394,151,11,111,839,266,9,765,45,.238,3208,.304,.396,.700,22,67,.753,67,13946,3547,1271,372,609,3,25,.286,0.91,0,28.90,Baltimore Orioles
99,818,862,492,201,16,122,885,323,17,870,44,.255,3407,.326,.431,.757,22,85,.794,55,14733,3803,1469,471,687,7,22,.309,0.95,0,27.93,Boston Red Sox
