gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team,caughtStealingPercentage
122,1066,1046,542,216,16,165,1039,382,9,1057,32,.254,4169,.319,.432,.751,20,65,.765,98,17311,4627,1800,525,831,11,28,.298,1.02,5,25.27,Athletics,
121,1044,1029,427,167,17,84,1047,384,15,930,38,.232,4015,.303,.344,.647,27,90,.769,92,17505,4476,1383,413,838,9,26,.291,1.01,4,47.80,Pittsburgh Pirates,
120,1095,1144,498,187,16,102,836,392,15,1008,38,.251,4015,.321,.382,.703,22,81,.786,75,17246,4515,1533,468,859,35,33,.291,0.96,2,39.36,San Diego Padres,
120,974,1096,548,156,6,171,1068,409,19,993,64,.243,4084,.320,.410,.730,29,126,.813,76,18204,4605,1674,525,852,21,26,.286,0.89,1,23.88,Seattle Mariners,
120,916,1169,490,179,22,113,1020,409,9,926,49,.233,3975,.310,.374,.684,17,52,.754,79,17734,4490,1488,469,812,22,34,.283,0.78,1,35.18,San Francisco Giants,
121,947,1211,521,207,4,113,939,370,13,1013,57,.249,4063,.319,.386,.705,17,70,.805,87,17573,4540,1567,497,827,16,31,.296,0.78,3,35.96,St. Louis Cardinals,
121,1022,1050,538,181,13,134,1029,355,9,1022,34,.251,4077,.314,.400,.714,40,151,.791,78,17511,4514,1631,508,775,12,34,.301,0.97,2,30.42,Tampa Bay Rays,
121,931,1205,491,181,12,125,1009,359,18,937,46,.232,4042,.300,.375,.675,27,104,.794,65,17376,4489,1517,469,794,8,32,.276,0.77,2,32.34,Texas Rangers,
120,1087,1174,588,220,9,139,800,400,21,1111,49,.270,4113,.340,.429,.769,18,56,.757,94,17364,4628,1766,564,883,28,31,.303,0.93,7,29.59,Toronto Blue Jays,.243
119,969,1104,497,183,14,140,982,348,6,952,71,.239,3979,.310,.398,.708,22,58,.725,82,17183,4427,1583,475,792,3,25,.282,0.88,1,28.42,Minnesota Twins,
119,1011,1081,556,197,16,143,962,395,14,1026,42,.254,4040,.325,.417,.742,21,98,.824,73,17536,4519,1684,533,829,13,27,.298,0.94,2,28.25,Philadelphia Phillies,
119,983,1080,504,176,14,133,1034,429,12,977,37,.242,4037,.319,.391,.710,14,58,.806,74,17953,4541,1580,487,875,12,25,.292,0.91,1,30.35,Atlanta Braves,
120,918,1178,462,183,9,118,1006,384,8,909,32,.229,3963,.301,.369,.670,19,74,.796,76,17233,4432,1464,445,802,18,30,.276,0.78,5,33.58,Chicago White Sox,
119,1060,1088,508,197,20,113,937,363,11,1016,29,.251,4052,.315,.393,.708,32,97,.752,70,16939,4493,1592,488,821,19,30,.298,0.97,0,35.86,Miami Marlins,
120,921,1129,611,195,18,190,1042,458,37,1014,43,.250,4062,.329,.447,.776,25,88,.779,77,18191,4613,1815,586,848,6,38,.287,0.82,6,21.38,New York Yankees,
119,1047,1063,608,185,13,127,936,404,12,1041,54,.259,4027,.331,.406,.737,43,130,.751,62,17748,4549,1633,567,825,21,39,.304,0.98,4,31.71,Milwaukee Brewers,
120,916,1036,529,165,13,172,1164,364,19,935,68,.233,4014,.306,.409,.715,24,59,.711,71,17621,4487,1642,512,772,9,28,.282,0.88,4,23.34,Los Angeles Angels,
120,1022,1140,589,212,27,168,948,415,13,1016,61,.251,4054,.326,.441,.767,29,80,.734,85,17677,4604,1786,576,824,24,48,.284,0.90,2,24.13,Arizona Diamondbacks,
119,968,1056,505,194,13,144,1029,322,10,950,57,.239,3967,.303,.404,.707,29,81,.736,82,17154,4382,1602,479,730,3,33,.285,0.92,0,27.55,Baltimore Orioles,
121,1005,1057,613,249,20,149,1078,394,20,1057,58,.254,4159,.325,.431,.756,29,102,.779,67,18085,4650,1793,587,830,9,30,.307,0.95,0,27.91,Boston Red Sox,
118,939,1216,600,196,22,167,918,399,10,1024,33,.253,4053,.322,.435,.757,23,125,.845,49,17549,4531,1765,584,820,8,36,.285,0.77,2,24.27,Chicago Cubs,.155
121,982,1079,546,194,14,121,1039,396,12,1002,45,.247,4062,.318,.391,.709,26,87,.770,78,17641,4543,1587,514,813,8,32,.300,0.91,0,33.57,Cincinnati Reds,
118,893,1198,470,180,12,126,962,376,22,886,44,.228,3878,.301,.379,.680,28,90,.763,62,17109,4359,1468,452,761,20,41,.268,0.75,0,30.78,Cleveland Guardians,
119,919,1039,441,194,29,121,1125,308,5,945,35,.237,3994,.296,.391,.687,30,62,.674,91,16624,4371,1560,430,740,14,20,.298,0.88,0,33.01,Colorado Rockies,
121,868,1155,583,186,25,157,1070,365,8,1020,51,.251,4071,.317,.424,.741,13,51,.797,68,17704,4533,1727,563,779,5,37,.300,0.75,4,25.93,Detroit Tigers,
120,1002,1125,521,189,11,133,939,348,9,1053,55,.259,4073,.323,.408,.731,23,60,.723,97,16995,4522,1663,498,838,13,33,.303,0.89,0,30.62,Houston Astros,
120,997,1278,449,212,19,107,825,303,16,983,51,.244,4025,.303,.386,.689,35,93,.727,67,16812,4439,1554,442,801,25,33,.280,0.78,2,37.62,Kansas City Royals,
120,926,1144,621,195,15,179,1016,444,25,1042,43,.255,4083,.332,.442,.774,20,72,.783,81,18024,4617,1804,600,827,7,38,.295,0.81,2,22.81,Los Angeles Dodgers,
119,1135,1000,507,195,19,113,933,341,10,976,47,.244,4000,.309,.387,.696,37,99,.728,72,16953,4433,1548,488,756,16,28,.289,1.14,1,35.40,Washington Nationals,
