gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
126,1096,1085,566,221,16,174,1073,399,10,1094,32,.254,4307,.320,.434,.754,22,65,.747,.253,100,17949,4784,1869,549,860,12,29,.298,1.01,5,24.75,Athletics
126,1100,1061,444,177,17,88,1090,401,15,968,39,.232,4181,.303,.345,.648,27,98,.784,.216,95,18240,4663,1443,428,876,11,27,.290,1.04,4,47.51,Pittsburgh Pirates
125,1140,1191,518,200,16,106,871,406,15,1049,43,.251,4180,.321,.383,.704,25,83,.769,.231,79,18025,4702,1599,485,891,36,35,.291,0.96,2,39.43,San Diego Padres
126,1020,1154,576,171,7,178,1123,425,19,1046,68,.244,4295,.320,.411,.731,29,130,.818,.182,78,19116,4837,1765,552,894,21,27,.287,0.88,1,24.13,Seattle Mariners
125,952,1211,509,188,23,119,1072,422,9,966,51,.233,4144,.309,.376,.685,18,56,.757,.243,80,18429,4675,1557,488,846,22,35,.283,0.79,1,34.82,San Francisco Giants
126,986,1262,549,213,5,120,982,385,13,1057,58,.249,4238,.318,.387,.705,17,72,.809,.191,91,18315,4733,1640,523,857,17,32,.296,0.78,3,35.32,St. Louis Cardinals
125,1064,1077,556,186,13,137,1068,362,9,1055,38,.250,4217,.313,.398,.711,40,158,.798,.202,79,18090,4666,1678,525,801,12,35,.301,0.99,2,30.78,Tampa Bay Rays
126,974,1262,515,190,12,132,1038,377,18,982,50,.233,4216,.301,.378,.679,27,108,.800,.200,69,18170,4685,1592,493,831,8,32,.276,0.77,2,31.94,Texas Rangers
126,1137,1224,617,227,9,148,848,413,21,1155,52,.268,4303,.338,.429,.767,18,58,.763,.237,98,18159,4836,1844,593,909,30,31,.302,0.93,7,29.07,Toronto Blue Jays
124,1009,1152,517,192,16,144,1028,369,7,986,72,.238,4145,.309,.396,.705,24,61,.718,.282,84,17945,4617,1642,493,826,4,26,.281,0.88,1,28.78,Minnesota Twins
