Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,23,30.3,5.09,27,29,.482,4.73,56,56,56,0,5,0,17,498.2,475,285,262,72,186,9,476,23,6,11,2146,89,4.29,1.326,8.6,1.3,3.4,8.6,2.56,373
Athletics,25,28.9,5.79,23,33,.411,5.39,56,56,56,0,3,0,14,499.1,524,324,299,80,217,8,456,30,3,9,2241,78,4.81,1.484,9.4,1.4,3.9,8.2,2.10,427
Atlanta Braves,22,29.6,3.91,25,28,.472,3.71,53,53,53,0,2,0,10,468.0,405,207,193,60,175,10,448,21,3,17,1953,111,4.08,1.239,7.8,1.2,3.4,8.6,2.56,351
Baltimore Orioles,28,31.2,5.64,19,36,.345,5.49,55,55,55,0,1,0,9,480.1,520,310,293,87,191,3,427,18,2,22,2122,69,4.95,1.480,9.7,1.6,3.6,8.0,2.24,375
Boston Red Sox,23,29.7,4.53,27,31,.466,3.99,58,58,58,0,4,0,12,521.1,508,263,231,54,191,8,481,26,2,13,2236,104,3.82,1.341,8.8,0.9,3.3,8.3,2.52,423
Chicago Cubs,24,30.8,4.20,35,21,.625,3.89,56,56,56,0,5,0,14,502.2,472,235,217,63,169,5,449,19,0,13,2117,100,4.03,1.275,8.5,1.1,3.0,8.0,2.66,383
Chicago White Sox,21,27.6,4.36,18,38,.321,4.11,56,56,56,0,4,0,5,481.2,450,244,220,59,213,9,405,38,2,14,2108,99,4.54,1.376,8.4,1.1,4.0,7.6,1.90,422
Cincinnati Reds,20,29.3,4.07,28,29,.491,3.78,57,57,57,0,3,0,15,505.0,434,232,212,65,171,4,455,22,2,21,2109,118,4.09,1.198,7.7,1.2,3.0,8.1,2.66,368
Cleveland Guardians,23,27.5,4.36,30,25,.545,4.12,55,55,55,0,7,0,16,484.2,470,240,222,60,205,4,472,15,1,20,2088,97,4.09,1.393,8.7,1.1,3.8,8.8,2.30,398
Colorado Rockies,23,28.1,6.29,9,47,.161,5.55,56,56,56,0,0,0,7,486.1,578,352,300,66,198,8,366,16,2,27,2198,83,4.65,1.596,10.7,1.2,3.7,6.8,1.85,394
Detroit Tigers,19,27.9,3.58,37,20,.649,3.22,57,57,56,1,5,1,17,508.0,424,204,182,56,163,4,495,27,1,13,2098,121,3.68,1.156,7.5,1.0,2.9,8.8,3.04,376
Houston Astros,22,29.2,3.53,30,25,.545,3.37,55,55,53,2,4,0,15,483.1,386,194,181,52,169,1,519,16,1,10,1990,118,3.47,1.148,7.2,1.0,3.1,9.7,3.07,350
Kansas City Royals,18,30.0,3.39,30,27,.526,3.15,57,57,57,0,6,0,18,508.1,447,193,178,53,158,8,458,16,2,22,2093,130,3.65,1.190,7.9,0.9,2.8,8.1,2.90,385
Los Angeles Angels,26,29.8,5.09,25,30,.455,4.84,55,55,55,0,2,0,13,483.0,503,280,260,73,226,14,407,17,5,26,2132,85,4.86,1.509,9.4,1.4,4.2,7.6,1.80,406
