gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
120,120,882,1247,630,218,13,170,970,424,20,1044,62,.256,4086,.331,.440,.771,23,99,.811,72,18341,4.91,1062.1,53,67,25,42,47,17,579,1.38,4631,3187,120,0,7,11491,.630,62,7,22,4,1798,0.71,.442,17.26,120,2.29,8.22,3.59,8.84,5.34,1.44,2,12,45,Athletics
119,119,1000,1150,484,224,19,115,920,345,12,941,48,.237,3965,.304,.390,.694,19,79,.806,71,17090,3.91,1053.0,51,68,25,44,54,19,457,1.22,4405,3159,119,1,14,11072,.650,48,1,33,4,1548,0.87,.429,16.23,118,2.67,7.86,2.95,8.04,4.14,0.98,1,13,33,Pittsburgh Pirates
118,118,888,1150,454,161,13,115,1010,390,19,880,51,.227,3875,.304,.364,.668,21,76,.784,77,16955,3.62,1045.0,66,52,39,54,82,15,420,1.22,4372,3135,118,2,15,10842,.640,51,4,34,8,1412,0.77,.559,16.22,116,2.59,8.70,3.36,7.58,3.91,0.99,3,17,36,San Diego Padres
119,119,1004,1129,510,177,13,140,1018,358,23,971,55,.239,4070,.307,.392,.699,24,82,.774,80,17498,3.81,1080.2,66,53,31,51,66,20,457,1.23,4536,3242,119,0,8,11384,.650,55,3,39,2,1594,0.89,.555,16.19,119,2.84,8.48,2.98,8.09,4.25,1.17,1,20,32,Seattle Mariners
118,118,1060,972,477,205,17,102,1007,374,11,964,43,.244,3957,.314,.381,.695,28,71,.717,75,16992,3.64,1045.0,59,59,28,45,69,17,423,1.28,4421,3135,118,1,6,10923,.640,43,5,39,7,1509,1.09,.500,16.26,117,2.69,8.67,3.22,8.30,4.11,0.88,1,16,30,San Francisco Giants
119,119,1135,1068,536,199,28,116,859,311,10,1043,33,.257,4053,.313,.406,.719,21,84,.800,75,16724,4.20,1050.2,60,59,30,45,65,15,490,1.29,4454,3152,119,2,12,10785,.640,33,3,39,6,1646,1.06,.504,15.92,117,2.76,7.36,2.66,8.93,4.59,0.99,5,20,32,St. Louis Cardinals
119,119,995,1041,491,168,8,153,1004,343,9,940,48,.238,3953,.305,.400,.705,29,116,.800,94,16746,3.91,1052.2,57,62,25,46,66,21,457,1.22,4375,3158,119,1,9,10882,.650,48,5,18,8,1583,0.96,.479,15.91,118,2.93,8.58,2.93,8.04,4.20,1.31,3,6,22,Tampa Bay Rays
119,119,988,1116,423,160,12,112,972,356,19,883,33,.225,3918,.293,.358,.651,18,88,.830,85,16673,3.28,1058.1,60,59,29,50,64,21,386,1.17,4349,3175,119,2,11,10782,.650,33,4,35,4,1403,0.89,.504,15.75,117,2.73,8.27,3.03,7.51,3.60,0.95,1,14,27,Texas Rangers
119,119,857,1153,539,180,11,161,1057,373,23,960,60,.241,3984,.313,.413,.726,29,70,.707,72,17324,4.28,1054.2,69,50,34,53,71,19,501,1.26,4462,3164,119,1,7,11104,.640,60,7,21,6,1645,0.74,.580,16.43,118,2.83,9.02,3.18,8.19,4.60,1.37,2,10,33,Toronto Blue Jays
117,117,857,1170,518,190,10,133,986,305,12,1005,51,.254,3960,.312,.408,.720,32,94,.746,51,16914,4.24,1029.0,56,61,22,39,77,17,485,1.27,4374,3087,117,1,7,11026,.650,51,7,31,9,1614,0.73,.479,16.44,116,3.23,8.62,2.67,8.79,4.53,1.16,0,16,42,Minnesota Twins
