gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team,caughtStealingPercentage
123,123,903,1276,645,227,13,175,999,431,20,1075,63,.256,4194,.331,.442,.773,25,105,.808,72,18837,4.90,1089.1,54,69,25,42,47,17,593,1.38,4749,3268,123,0,8,11809,.630,63,7,22,4,1853,0.71,.439,17.29,123,2.32,8.25,3.56,8.88,5.33,1.45,2,12,47,Athletics,
122,122,1017,1179,517,232,20,122,947,359,12,979,51,.240,4072,.308,.397,.705,19,83,.814,72,17610,4.06,1077.0,51,71,25,44,54,19,486,1.24,4533,3231,122,1,14,11401,.650,51,1,33,4,1617,0.86,.418,16.35,121,2.64,7.91,3.00,8.18,4.32,1.02,1,16,34,Pittsburgh Pirates,
121,121,904,1186,457,162,14,116,1038,393,19,900,51,.226,3974,.302,.362,.664,21,77,.786,77,17356,3.55,1072.0,69,52,40,55,84,15,423,1.21,4475,3216,121,2,15,11108,.640,51,4,34,8,1438,0.76,.570,16.19,119,2.64,8.71,3.30,7.56,3.84,0.97,3,17,37,San Diego Padres,
121,121,1022,1145,514,180,14,141,1036,361,23,985,55,.238,4136,.306,.391,.697,24,82,.774,81,17732,3.78,1098.1,67,54,32,52,68,20,461,1.23,4605,3295,121,0,9,11538,.650,55,3,39,2,1616,0.89,.554,16.14,121,2.87,8.49,2.96,8.07,4.21,1.16,1,20,32,Seattle Mariners,
121,121,1100,996,497,215,17,106,1020,386,11,998,43,.245,4067,.315,.385,.700,28,72,.720,79,17486,3.71,1072.0,59,62,28,45,69,17,442,1.29,4544,3216,121,1,6,11244,.640,43,6,39,7,1565,1.10,.488,16.31,120,2.64,8.56,3.24,8.38,4.17,0.89,1,16,31,San Francisco Giants,
122,122,1162,1098,547,200,28,119,880,314,10,1065,33,.257,4152,.312,.404,.716,23,85,.787,77,17108,4.18,1077.2,61,61,30,46,67,16,501,1.28,4557,3233,122,2,12,11039,.650,33,3,40,6,1678,1.06,.500,15.88,120,2.80,7.35,2.62,8.89,4.57,0.99,5,20,33,St. Louis Cardinals,.213
122,122,1019,1067,503,173,8,156,1029,348,9,958,50,.237,4045,.304,.399,.703,29,117,.801,97,17096,3.90,1078.2,59,63,26,47,68,21,467,1.21,4475,3236,122,1,9,11123,.650,50,5,19,9,1615,0.96,.484,15.85,121,2.96,8.59,2.90,7.99,4.20,1.30,3,6,23,Tampa Bay Rays,
122,122,1014,1144,438,165,12,121,1000,362,19,911,37,.226,4027,.294,.363,.657,18,92,.836,87,17129,3.32,1086.1,61,61,29,52,67,23,401,1.17,4469,3259,122,2,11,11080,.650,37,4,35,4,1463,0.89,.500,15.77,120,2.76,8.28,3.00,7.55,3.63,1.00,1,15,27,Texas Rangers,
121,121,872,1178,544,180,11,163,1072,382,23,969,60,.239,4047,.312,.410,.722,29,74,.718,72,17597,4.25,1072.2,70,51,34,53,73,19,506,1.26,4535,3218,121,1,7,11275,.640,60,7,22,6,1660,0.74,.579,16.40,120,2.81,8.99,3.21,8.13,4.56,1.37,2,10,34,Toronto Blue Jays,.282
120,120,879,1195,534,194,11,141,1012,320,13,1031,51,.254,4059,.314,.411,.725,33,98,.748,53,17387,4.28,1054.0,57,63,23,40,78,17,501,1.28,4488,3162,120,1,7,11308,.650,51,7,33,9,1670,0.74,.475,16.50,119,3.16,8.64,2.73,8.80,4.56,1.20,0,16,42,Minnesota Twins,
120,120,999,1028,476,174,13,131,1089,324,7,994,39,.244,4075,.304,.389,.693,31,70,.693,62,17216,3.74,1067.1,69,51,32,49,56,17,443,1.23,4473,3202,120,2,11,11200,.650,39,3,26,9,1587,0.97,.575,16.13,118,3.36,9.18,2.73,8.38,4.01,1.10,0,11,24,Philadelphia Phillies,
