gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
130,130,952,1346,672,238,14,183,1067,457,20,1125,66,.254,4428,.330,.438,.768,26,108,.806,.194,74,19978,4.81,1153.1,59,71,29,46,51,17,617,1.37,5015,3460,130,0,8,12517,.630,66,7,24,4,1940,0.71,.454,17.32,130,2.33,8.33,3.57,8.78,5.24,1.43,2,14,48,Athletics
129,129,1077,1240,536,241,20,125,1001,376,14,1022,58,.238,4287,.306,.391,.697,22,89,.802,.198,78,18511,3.99,1138.0,55,74,28,49,57,21,504,1.23,4775,3414,129,1,15,11995,.650,58,1,35,4,1678,0.87,.426,16.27,128,2.66,7.92,2.97,8.08,4.24,0.99,1,17,36,Pittsburgh Pirates
129,129,958,1259,482,167,15,129,1111,423,19,941,53,.223,4213,.300,.362,.662,22,81,.786,.214,84,18483,3.52,1141.0,73,56,41,56,86,15,446,1.20,4748,3423,129,2,15,11810,.640,53,4,34,8,1525,0.76,.566,16.20,127,2.63,8.76,3.34,7.42,3.80,1.02,3,17,39,San Diego Padres
129,129,1091,1207,569,198,15,156,1097,388,23,1079,57,.244,4417,.311,.402,.713,25,96,.793,.207,86,18904,3.97,1164.1,69,60,34,54,71,20,514,1.26,4921,3493,129,0,9,12294,.650,57,3,43,3,1775,0.90,.535,16.24,129,2.83,8.48,3.00,8.34,4.40,1.21,2,20,37,Seattle Mariners
129,129,1174,1060,536,228,17,113,1085,405,12,1063,52,.245,4332,.315,.384,.699,28,78,.736,.264,83,18671,3.76,1140.2,61,68,29,47,70,18,477,1.29,4840,3422,129,1,6,12023,.640,52,7,42,7,1664,1.11,.473,16.37,128,2.68,8.56,3.20,8.39,4.23,0.89,1,17,33,San Francisco Giants
130,130,1229,1161,598,214,29,130,951,354,11,1143,37,.258,4428,.316,.408,.724,28,102,.785,.215,83,18343,4.29,1147.2,64,66,32,49,72,17,547,1.30,4880,3443,130,2,12,11810,.640,37,4,42,8,1805,1.06,.492,15.98,128,2.69,7.46,2.78,8.96,4.69,1.02,5,20,36,St. Louis Cardinals
129,129,1082,1115,549,186,8,176,1101,367,9,1029,54,.239,4299,.306,.409,.715,32,125,.796,.204,102,18151,4.03,1141.2,62,67,28,49,71,21,511,1.22,4752,3425,129,1,9,11819,.650,54,5,22,10,1759,0.97,.481,15.90,128,3.00,8.68,2.89,8.11,4.33,1.39,3,6,23,Tampa Bay Rays
130,130,1076,1211,483,178,12,138,1065,390,20,982,42,.229,4289,.298,.373,.671,19,95,.833,.167,91,18309,3.48,1153.1,64,66,30,55,70,25,446,1.19,4767,3460,130,2,11,11819,.650,42,4,37,4,1598,0.89,.492,15.87,128,2.73,8.31,3.04,7.66,3.77,1.08,1,17,28,Texas Rangers
129,129,938,1245,574,195,11,172,1142,413,23,1028,66,.239,4306,.313,.409,.722,29,81,.736,.264,78,18795,4.20,1142.2,75,54,36,55,76,19,533,1.26,4834,3428,129,1,7,12034,.640,66,7,25,7,1761,0.75,.581,16.45,128,2.77,8.99,3.25,8.10,4.52,1.35,2,11,36,Toronto Blue Jays
128,128,944,1282,579,214,11,148,1079,355,15,1102,54,.254,4344,.315,.410,.725,33,103,.757,.243,58,18720,4.27,1129.0,59,69,24,42,78,18,536,1.29,4816,3387,128,1,7,12133,.650,54,7,36,9,1782,0.74,.461,16.58,127,3.04,8.60,2.83,8.78,4.62,1.18,0,16,47,Minnesota Twins
