Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets11.4,PHI6.3,PHI6.7,SFG2.1,CHC10.8,CHC1.9,NYM1.9,MIL1.6,BOS2.5,HOU3.2,WSN1.7,CHC3.0,NYY3.3,CHC5.4,LAD2.5,BOS0.3
2,New York Yankees10.7,NYM5.0,DET4.0,NYM1.9,LAD9.9,SEA1.7,ATL1.8,CHC1.6,SFG2.1,KCR2.1,CLE1.7,SEA2.1,SDP2.0,NYY4.3,BOS1.3,LAD0.3
3,Chicago Cubs8.8,HOU4.7,CIN3.7,HOU1.8,NYY7.0,CIN1.5,TBR1.3,ARI1.0,CLE1.7,SEA1.8,SEA1.4,MIN1.5,NYM1.9,BOS2.9,PHI1.1,TBR0.3
4,Los Angeles Dodgers6.0,KCR3.9,KCR3.7,MIN1.5,NYM6.4,LAD1.4,LAD1.3,NYY0.9,SDP1.5,LAD1.7,TEX1.0,BOS1.3,CHC1.7,NYM2.4,NYY0.7,TOR0.2
5,Houston Astros5.2,SDP3.8,PIT3.5,SDP1.2,BOS5.8,ATL1.4,TOR0.8,TOR0.8,HOU1.1,NYM1.7,CHC0.7,CIN1.2,ARI1.5,TEX2.3,CHC0.4,DET0.0
6,Detroit Tigers4.4,NYY3.7,TEX3.2,NYY0.7,SEA4.1,TOR1.3,NYY0.7,STL0.7,TOR1.0,ATH1.6,BOS0.5,NYY1.2,LAD1.3,SEA2.2,ATH0.4,NYM0.0
7,Philadelphia Phillies4.1,MIN3.4,NYM3.1,TBR0.4,TBR3.5,BOS1.1,CHC0.7,SFG0.7,LAD0.9,TBR1.5,MIN0.5,LAD1.2,BOS1.1,MIN1.7,ATL0.4,MIA-0.1
8,Boston Red Sox4.1,PIT3.2,NYY3.0,KCR0.3,TOR2.5,MIL0.8,PHI0.5,DET0.7,ARI0.8,LAA1.4,DET0.5,MIA1.1,TEX0.6,SFG1.4,SEA0.4,TEX-0.1
9,Tampa Bay Rays4.0,CIN3.2,HOU2.9,BOS-0.3,ARI2.3,NYM0.7,DET0.3,LAD0.6,BAL0.7,CIN1.4,NYM0.4,HOU0.9,TBR0.6,LAD1.2,BAL0.3,CHC-0.1
10,Texas Rangers2.9,DET2.6,SDP2.7,PIT-0.3,TEX2.1,DET0.5,ARI0.1,NYM0.4,COL0.6,TEX1.3,SFG0.3,SFG0.9,ATL0.4,WSN1.0,STL0.1,NYY-0.1
