date,game_pk,matchup
2009-04-05,244193,ATL@PHI
2009-04-06,244201,NYM@CIN
2009-04-06,244195,CLE@TEX
2009-04-06,244196,COL@AZ
2009-04-06,244200,NYY@BAL
2009-04-06,244206,WSH@FLA
2009-04-06,244203,PIT@STL
2009-04-06,244194,CHC@HOU
2009-04-06,244199,LAD@SD
2009-04-06,244197,DET@TOR
2009-04-06,244204,SEA@MIN
2009-04-06,244202,OAK@LAA
2009-04-07,244198,KC@CWS
2009-04-07,244205,TB@BOS
2009-04-07,244210,MIL@SF
2009-04-07,244215,ATL@PHI
2009-04-07,244209,DET@TOR
2009-04-07,244241,WSH@FLA
2009-04-07,244207,CHC@HOU
2009-04-07,244213,SEA@MIN
2009-04-07,244212,PIT@STL
2009-04-07,244208,COL@AZ
2009-04-07,244211,OAK@LAA
2009-04-07,246571,LAD@SD
2009-04-08,244229,WSH@FLA
2009-04-08,244230,ATL@PHI
2009-04-08,244218,COL@AZ
2009-04-08,244223,NYY@BAL
2009-04-08,244219,DET@TOR
2009-04-08,244224,NYM@CIN
2009-04-08,244228,TB@BOS
2009-04-08,244216,CHC@HOU
2009-04-08,244217,CLE@TEX
2009-04-08,244227,SEA@MIN
2009-04-08,244220,KC@CWS
2009-04-08,244226,PIT@STL
2009-04-08,244225,OAK@LAA
2009-04-08,244221,LAD@SD
2009-04-08,244222,MIL@SF
2009-04-09,244237,NYM@CIN
2009-04-09,244232,DET@TOR
2009-04-09,244240,SEA@MIN
2009-04-09,244214,TB@BOS
2009-04-09,244236,NYY@BAL
2009-04-09,244239,PIT@STL
2009-04-09,244231,CLE@TEX
2009-04-09,244233,KC@CWS
2009-04-09,244234,LAD@SD
2009-04-09,244235,MIL@SF
2009-04-10,244254,TEX@DET
2009-04-10,244255,TOR@CLE
2009-04-10,244243,CHC@MIL
2009-04-10,244249,PHI@COL
2009-04-10,244247,NYY@KC
2009-04-10,244253,TB@BAL
2009-04-10,244248,NYM@FLA
2009-04-10,244256,WSH@ATL
2009-04-10,244246,MIN@CWS
2009-04-10,244244,HOU@STL
2009-04-10,244245,LAD@AZ
2009-04-10,244242,BOS@LAA
2009-04-10,244251,SEA@OAK
2009-04-10,244252,SF@SD
2009-04-11,244269,TEX@DET
2009-04-11,244270,TOR@CLE
2009-04-11,244265,PIT@CIN
2009-04-11,244266,SEA@OAK
2009-04-11,244261,MIN@CWS
2009-04-11,244257,BOS@LAA
2009-04-11,244259,HOU@STL
2009-04-11,244263,NYM@FLA
2009-04-11,244271,WSH@ATL
2009-04-11,244268,TB@BAL
2009-04-11,244258,CHC@MIL
2009-04-11,244262,NYY@KC
2009-04-11,244260,LAD@AZ
2009-04-11,244264,PHI@COL
2009-04-11,244267,SF@SD
2009-04-12,244284,TEX@DET
2009-04-12,244285,TOR@CLE
2009-04-12,244280,PIT@CIN
2009-04-12,244278,NYM@FLA
2009-04-12,244286,WSH@ATL
2009-04-12,244283,TB@BAL
2009-04-12,244276,MIN@CWS
2009-04-12,244277,NYY@KC
2009-04-12,244274,HOU@STL
2009-04-12,244279,PHI@COL
2009-04-12,244272,BOS@LAA
2009-04-12,244281,SEA@OAK
2009-04-12,244282,SF@SD
2009-04-12,244275,LAD@AZ
2009-04-12,244273,CHC@MIL
2009-04-13,244289,CWS@DET
2009-04-13,244293,HOU@PIT
2009-04-13,244292,COL@CHC
2009-04-13,244295,PHI@WSH
2009-04-13,244297,SF@LAD
2009-04-13,244294,NYY@TB
2009-04-13,244296,SD@NYM
2009-04-13,244287,BAL@TEX
2009-04-13,244290,CIN@MIL
2009-04-13,244291,CLE@KC
