date,game_pk,matchup
2009-04-06,244205,TB@BOS
2009-04-06,244198,KC@CWS
2009-04-09,244238,OAK@LAA
2009-04-10,244250,PIT@CIN
2009-04-14,244303,CWS@DET
2009-04-15,244321,PHI@WSH
2009-04-19,244379,STL@CHC
2009-04-20,244386,SD@PHI
2009-04-20,244385,OAK@NYY
2009-04-21,244396,MIN@BOS
2009-04-27,244479,SEA@CWS
2009-04-29,244507,OAK@TEX
2009-05-03,244553,LAA@NYY
2009-05-03,244567,STL@WSH
2009-05-03,244564,NYM@PHI
2009-05-06,244602,DET@CWS
2009-05-15,244727,HOU@CHC
2009-05-15,244729,MIL@STL
2009-05-17,244750,AZ@ATL
2009-05-18,244765,AZ@FLA
2009-06-03,244990,NYM@PIT
2009-06-03,244993,SF@WSH
2009-06-04,244997,CHC@ATL
2009-06-05,245021,TB@NYY
2009-06-10,245090,TOR@TEX
2009-06-16,245155,CWS@CHC
2009-07-09,244591,HOU@WSH
2009-07-18,245558,PHI@FLA
2009-07-20,245577,LAA@KC
2009-07-29,245703,COL@NYM
2009-08-15,245933,COL@FLA
2009-08-16,245954,PIT@CHC
2009-09-07,246255,TEX@CLE
2009-09-11,246305,TB@BOS
2009-09-11,246304,SEA@TEX
2009-09-28,246533,MIN@DET
2009-09-29,246539,CWS@CLE
