game_pk,date,home_team_abbreviation,away_team_abbreviation,home_score,away_score,home_team_display_name,away_team_display_name
286946,2011-03-31,LAD,SF,2,1,Dodgers,Giants
286888,2011-04-01,OAK,SEA,2,6,Athletics,Mariners
286879,2011-04-01,KC,LAA,2,1,Royals,Angels
286880,2011-04-01,COL,AZ,6,7,Rockies,D-backs
286889,2011-04-01,LAD,SF,4,3,Dodgers,Giants
286883,2011-04-01,CLE,CWS,10,15,Indians,White Sox
286886,2011-04-01,FLA,NYM,6,2,Marlins,Mets
286891,2011-04-02,COL,AZ,3,1,Rockies,D-backs
286914,2011-04-02,TEX,BOS,12,5,Rangers,Red Sox
286915,2011-04-02,CLE,CWS,3,8,Indians,White Sox
286920,2011-04-02,FLA,NYM,4,6,Marlins,Mets
286923,2011-04-02,OAK,SEA,2,5,Athletics,Mariners
286939,2011-04-03,LAD,SF,7,5,Dodgers,Giants
286935,2011-04-03,FLA,NYM,2,9,Marlins,Mets
286930,2011-04-03,CLE,CWS,7,1,Indians,White Sox
286945,2011-04-04,TEX,SEA,6,4,Rangers,Mariners
286940,2011-04-04,CHC,AZ,4,1,Cubs,D-backs
286944,2011-04-04,STL,PIT,3,4,Cardinals,Pirates
286960,2011-04-05,FLA,WSH,3,2,Marlins,Nationals
286958,2011-04-05,TEX,SEA,3,2,Rangers,Mariners
286957,2011-04-05,STL,PIT,3,2,Cardinals,Pirates
286953,2011-04-05,COL,LAD,3,0,Rockies,Dodgers
286951,2011-04-05,KC,CWS,7,6,Royals,White Sox
286949,2011-04-05,MIL,ATL,1,0,Brewers,Braves
286948,2011-04-05,CHC,AZ,6,5,Cubs,D-backs
286965,2011-04-06,KC,CWS,7,10,Royals,White Sox
286962,2011-04-06,CHC,AZ,4,6,Cubs,D-backs
286975,2011-04-06,FLA,WSH,7,4,Marlins,Nationals
286963,2011-04-06,MIL,ATL,5,4,Brewers,Braves
286984,2011-04-07,CWS,TB,5,1,White Sox,Rays
286985,2011-04-07,FLA,WSH,3,5,Marlins,Nationals
286987,2011-04-08,AZ,CIN,13,2,D-backs,Reds
286988,2011-04-08,SEA,CLE,3,12,Mariners,Indians
286990,2011-04-08,HOU,FLA,3,4,Astros,Marlins
286997,2011-04-08,CWS,TB,7,9,White Sox,Rays
286999,2011-04-08,LAA,TOR,2,3,Angels,Blue Jays
286986,2011-04-08,MIL,CHC,4,7,Brewers,Cubs
286998,2011-04-09,BAL,TEX,1,13,Orioles,Rangers
287002,2011-04-09,AZ,CIN,1,6,D-backs,Reds
287003,2011-04-09,SEA,CLE,1,2,Mariners,Indians
287005,2011-04-09,HOU,FLA,5,7,Astros,Marlins
287007,2011-04-09,SD,LAD,0,4,Padres,Dodgers
287011,2011-04-09,SF,STL,3,2,Giants,Cardinals
287014,2011-04-09,LAA,TOR,6,5,Angels,Blue Jays
287012,2011-04-09,CWS,TB,4,2,White Sox,Rays
287020,2011-04-10,HOU,FLA,7,1,Astros,Marlins
287027,2011-04-10,CWS,TB,6,1,White Sox,Rays
287017,2011-04-10,AZ,CIN,10,8,D-backs,Reds
287023,2011-04-10,BOS,NYY,4,0,Red Sox,Yankees
287033,2011-04-11,LAA,CLE,0,4,Angels,Indians
287035,2011-04-11,SF,LAD,1,6,Giants,Dodgers
287036,2011-04-11,CWS,OAK,1,2,White Sox,Athletics
287037,2011-04-11,AZ,STL,2,8,D-backs,Cardinals
287040,2011-04-11,SEA,TOR,8,7,Mariners,Blue Jays
287031,2011-04-11,HOU,CHC,4,5,Astros,Cubs
287032,2011-04-11,SD,CIN,2,3,Padres,Reds
287044,2011-04-12,LAA,CLE,2,0,Angels,Indians
287046,2011-04-12,ATL,FLA,5,0,Braves,Marlins
287047,2011-04-12,MIN,KC,4,3,Twins,Royals
287048,2011-04-12,SF,LAD,5,4,Giants,Dodgers
287050,2011-04-12,CWS,OAK,6,5,White Sox,Athletics
287052,2011-04-12,AZ,STL,13,8,D-backs,Cardinals
287055,2011-04-12,SEA,TOR,3,2,Mariners,Blue Jays
287043,2011-04-12,SD,CIN,2,8,Padres,Reds
287042,2011-04-12,HOU,CHC,11,2,Astros,Cubs
287063,2011-04-13,SF,LAD,4,3,Giants,Dodgers
287061,2011-04-13,ATL,FLA,1,5,Braves,Marlins
287065,2011-04-13,CWS,OAK,4,7,White Sox,Athletics
287067,2011-04-13,AZ,STL,5,15,D-backs,Cardinals
287057,2011-04-13,HOU,CHC,5,9,Astros,Cubs
287074,2011-04-14,ATL,FLA,5,6,Braves,Marlins
287079,2011-04-14,KC,SEA,5,1,Royals,Mariners
287080,2011-04-14,LAD,STL,5,9,Dodgers,Cardinals
287073,2011-04-14,OAK,DET,0,3,Athletics,Tigers
287078,2011-04-14,HOU,SD,1,0,Astros,Padres
287083,2011-04-15,COL,CHC,5,0,Rockies,Cubs
287084,2011-04-15,OAK,DET,4,8,Athletics,Tigers
287081,2011-04-15,CWS,LAA,3,4,White Sox,Angels
287091,2011-04-15,KC,SEA,6,5,Royals,Mariners
287085,2011-04-15,PHI,FLA,3,4,Phillies,Marlins
287093,2011-04-15,LAD,STL,2,11,Dodgers,Cardinals
287092,2011-04-15,AZ,SF,2,5,D-backs,Giants
287090,2011-04-15,HOU,SD,2,4,Astros,Padres
287107,2011-04-16,AZ,SF,3,5,D-backs,Giants
287108,2011-04-16,LAD,STL,2,9,Dodgers,Cardinals
287096,2011-04-16,CWS,LAA,2,7,White Sox,Angels
287098,2011-04-16,COL,CHC,3,8,Rockies,Cubs
287099,2011-04-16,OAK,DET,6,2,Athletics,Tigers
287124,2011-04-17,NYY,TEX,6,5,Yankees,Rangers
287122,2011-04-17,AZ,SF,6,5,D-backs,Giants
287115,2011-04-17,PHI,FLA,3,2,Phillies,Marlins
287111,2011-04-17,CWS,LAA,2,4,White Sox,Angels
287129,2011-04-18,KC,CLE,3,7,Royals,Indians
287126,2011-04-18,TEX,LAA,7,1,Rangers,Angels
287130,2011-04-18,SEA,DET,3,8,Mariners,Tigers
287128,2011-04-18,TB,CWS,5,0,Rays,White Sox
287127,2011-04-18,LAD,ATL,4,2,Dodgers,Braves
287134,2011-04-18,CHC,SD,1,0,Cubs,Padres
287135,2011-04-18,COL,SF,1,8,Rockies,Giants
287139,2011-04-19,LAD,ATL,1,10,Dodgers,Braves
287140,2011-04-19,OAK,BOS,5,0,Athletics,Red Sox
287150,2011-04-19,COL,SF,3,6,Rockies,Giants
287148,2011-04-19,FLA,PIT,6,0,Marlins,Pirates
287143,2011-04-19,SEA,DET,13,3,Mariners,Tigers
287141,2011-04-19,TB,CWS,2,1,Rays,White Sox
287137,2011-04-19,TEX,LAA,4,15,Rangers,Angels
287142,2011-04-19,KC,CLE,5,4,Royals,Indians
287138,2011-04-19,CIN,AZ,4,5,Reds,D-backs
287166,2011-04-20,STL,WSH,5,3,Cardinals,Nationals
287163,2011-04-20,FLA,PIT,6,0,Marlins,Pirates
287157,2011-04-20,KC,CLE,5,7,Royals,Indians
287156,2011-04-20,TB,CWS,4,1,Rays,White Sox
287153,2011-04-20,CIN,AZ,1,3,Reds,D-backs
287152,2011-04-20,TEX,LAA,1,4,Rangers,Angels
287154,2011-04-20,LAD,ATL,6,1,Dodgers,Braves
287174,2011-04-21,SEA,OAK,1,0,Mariners,Athletics
287170,2011-04-21,TB,CWS,2,9,Rays,White Sox
287171,2011-04-21,KC,CLE,3,2,Royals,Indians
287169,2011-04-21,LAA,BOS,2,4,Angels,Red Sox
287175,2011-04-21,SD,PHI,0,3,Padres,Phillies
287167,2011-04-21,CIN,AZ,7,4,Reds,D-backs
287176,2011-04-21,FLA,PIT,9,5,Marlins,Pirates
287189,2011-04-22,SEA,OAK,4,0,Mariners,Athletics
287186,2011-04-22,TEX,KC,11,6,Rangers,Royals
287185,2011-04-22,MIL,HOU,14,7,Brewers,Astros
287184,2011-04-22,FLA,COL,4,1,Marlins,Rockies
287182,2011-04-22,STL,CIN,4,2,Cardinals,Reds
287181,2011-04-22,DET,CWS,9,3,Tigers,White Sox
287180,2011-04-22,LAA,BOS,3,4,Angels,Red Sox
287179,2011-04-22,SF,ATL,1,4,Giants,Braves
287178,2011-04-22,NYM,AZ,4,1,Mets,D-backs
287190,2011-04-22,SD,PHI,0,2,Padres,Phillies
287205,2011-04-23,SD,PHI,2,4,Padres,Phillies
287193,2011-04-23,NYM,AZ,6,4,Mets,D-backs
