game_pk,date,away_mlb,home_mlb,away_bdl,home_bdl,matchup
286875,2011-03-31,ATL,WSH,ATL,WSH,ATL @ WSH
286876,2011-03-31,DET,NYY,DET,NYY,DET @ NYY
286874,2011-03-31,LAA,KC,LAA,KC,LAA @ KC
286877,2011-03-31,MIL,CIN,MIL,CIN,MIL @ CIN
286878,2011-03-31,SD,STL,SD,STL,SD @ STL
286946,2011-03-31,SF,LAD,SF,LAD,SF @ LAD
286880,2011-04-01,AZ,COL,ARI,COL,ARI @ COL
286881,2011-04-01,BAL,TB,BAL,TB,BAL @ TB
286882,2011-04-01,BOS,TEX,BOS,TEX,BOS @ TEX
286883,2011-04-01,CWS,CLE,CHW,CLE,CHW @ CLE
286884,2011-04-01,HOU,PHI,HOU,PHI,HOU @ PHI
286879,2011-04-01,LAA,KC,LAA,KC,LAA @ KC
286885,2011-04-01,MIN,TOR,MIN,TOR,MIN @ TOR
286886,2011-04-01,NYM,FLA,NYM,MIA,NYM @ MIA
286887,2011-04-01,PIT,CHC,PIT,CHC,PIT @ CHC
286888,2011-04-01,SEA,OAK,SEA,OAK,SEA @ OAK
286889,2011-04-01,SF,LAD,SF,LAD,SF @ LAD
286891,2011-04-02,AZ,COL,ARI,COL,ARI @ COL
286892,2011-04-02,ATL,WSH,ATL,WSH,ATL @ WSH
286913,2011-04-02,BAL,TB,BAL,TB,BAL @ TB
286914,2011-04-02,BOS,TEX,BOS,TEX,BOS @ TEX
286915,2011-04-02,CWS,CLE,CHW,CLE,CHW @ CLE
286916,2011-04-02,DET,NYY,DET,NYY,DET @ NYY
286917,2011-04-02,HOU,PHI,HOU,PHI,HOU @ PHI
286890,2011-04-02,LAA,KC,LAA,KC,LAA @ KC
286918,2011-04-02,MIL,CIN,MIL,CIN,MIL @ CIN
286919,2011-04-02,MIN,TOR,MIN,TOR,MIN @ TOR
286920,2011-04-02,NYM,FLA,NYM,MIA,NYM @ MIA
286921,2011-04-02,PIT,CHC,PIT,CHC,PIT @ CHC
286922,2011-04-02,SD,STL,SD,STL,SD @ STL
286923,2011-04-02,SEA,OAK,SEA,OAK,SEA @ OAK
286924,2011-04-02,SF,LAD,SF,LAD,SF @ LAD
286927,2011-04-03,ATL,WSH,ATL,WSH,ATL @ WSH
286928,2011-04-03,BAL,TB,BAL,TB,BAL @ TB
286929,2011-04-03,BOS,TEX,BOS,TEX,BOS @ TEX
286930,2011-04-03,CWS,CLE,CHW,CLE,CHW @ CLE
286931,2011-04-03,DET,NYY,DET,NYY,DET @ NYY
286932,2011-04-03,HOU,PHI,HOU,PHI,HOU @ PHI
286925,2011-04-03,LAA,KC,LAA,KC,LAA @ KC
286933,2011-04-03,MIL,CIN,MIL,CIN,MIL @ CIN
286934,2011-04-03,MIN,TOR,MIN,TOR,MIN @ TOR
286935,2011-04-03,NYM,FLA,NYM,MIA,NYM @ MIA
286936,2011-04-03,PIT,CHC,PIT,CHC,PIT @ CHC
286937,2011-04-03,SD,STL,SD,STL,SD @ STL
286938,2011-04-03,SEA,OAK,SEA,OAK,SEA @ OAK
286939,2011-04-03,SF,LAD,SF,LAD,SF @ LAD
286940,2011-04-04,AZ,CHC,ARI,CHC,ARI @ CHC
286941,2011-04-04,ATL,MIL,ATL,MIL,ATL @ MIL
286942,2011-04-04,DET,BAL,DET,BAL,DET @ BAL
286943,2011-04-04,MIN,NYY,MIN,NYY,MIN @ NYY
286944,2011-04-04,PIT,STL,PIT,STL,PIT @ STL
286945,2011-04-04,SEA,TEX,SEA,TEX,SEA @ TEX
286948,2011-04-05,AZ,CHC,ARI,CHC,ARI @ CHC
286949,2011-04-05,ATL,MIL,ATL,MIL,ATL @ MIL
286950,2011-04-05,BOS,CLE,BOS,CLE,BOS @ CLE
286951,2011-04-05,CWS,KC,CHW,KC,CHW @ KC
286952,2011-04-05,HOU,CIN,HOU,CIN,HOU @ CIN
286947,2011-04-05,LAA,TB,LAA,TB,LAA @ TB
286953,2011-04-05,LAD,COL,LAD,COL,LAD @ COL
286954,2011-04-05,MIN,NYY,MIN,NYY,MIN @ NYY
286955,2011-04-05,NYM,PHI,NYM,PHI,NYM @ PHI
286956,2011-04-05,OAK,TOR,OAK,TOR,OAK @ TOR
286957,2011-04-05,PIT,STL,PIT,STL,PIT @ STL
286958,2011-04-05,SEA,TEX,SEA,TEX,SEA @ TEX
286959,2011-04-05,SF,SD,SF,SD,SF @ SD
286960,2011-04-05,WSH,FLA,WSH,MIA,WSH @ MIA
286962,2011-04-06,AZ,CHC,ARI,CHC,ARI @ CHC
286963,2011-04-06,ATL,MIL,ATL,MIL,ATL @ MIL
286964,2011-04-06,BOS,CLE,BOS,CLE,BOS @ CLE
286965,2011-04-06,CWS,KC,CHW,KC,CHW @ KC
286966,2011-04-06,DET,BAL,DET,BAL,DET @ BAL
286967,2011-04-06,HOU,CIN,HOU,CIN,HOU @ CIN
286961,2011-04-06,LAA,TB,LAA,TB,LAA @ TB
286968,2011-04-06,LAD,COL,LAD,COL,LAD @ COL
286970,2011-04-06,NYM,PHI,NYM,PHI,NYM @ PHI
286971,2011-04-06,OAK,TOR,OAK,TOR,OAK @ TOR
286972,2011-04-06,PIT,STL,PIT,STL,PIT @ STL
286973,2011-04-06,SEA,TEX,SEA,TEX,SEA @ TEX
286974,2011-04-06,SF,SD,SF,SD,SF @ SD
286975,2011-04-06,WSH,FLA,WSH,MIA,WSH @ MIA
286976,2011-04-07,ATL,MIL,ATL,MIL,ATL @ MIL
286977,2011-04-07,BOS,CLE,BOS,CLE,BOS @ CLE
286978,2011-04-07,COL,PIT,COL,PIT,COL @ PIT
286979,2011-04-07,DET,BAL,DET,BAL,DET @ BAL
286980,2011-04-07,HOU,CIN,HOU,CIN,HOU @ CIN
286981,2011-04-07,MIN,NYY,MIN,NYY,MIN @ NYY
286982,2011-04-07,NYM,PHI,NYM,PHI,NYM @ PHI
286983,2011-04-07,OAK,TOR,OAK,TOR,OAK @ TOR
286984,2011-04-07,TB,CWS,TB,CHW,TB @ CHW
286985,2011-04-07,WSH,FLA,WSH,MIA,WSH @ MIA
286986,2011-04-08,CHC,MIL,CHC,MIL,CHC @ MIL
286987,2011-04-08,CIN,AZ,CIN,ARI,CIN @ ARI
286988,2011-04-08,CLE,SEA,CLE,SEA,CLE @ SEA
286989,2011-04-08,COL,PIT,COL,PIT,COL @ PIT
286991,2011-04-08,KC,DET,KC,DET,KC @ DET
286990,2011-04-08,FLA,HOU,MIA,HOU,MIA @ HOU
286993,2011-04-08,NYY,BOS,NYY,BOS,NYY @ BOS
286994,2011-04-08,OAK,MIN,OAK,MIN,OAK @ MIN
286995,2011-04-08,PHI,ATL,PHI,ATL,PHI @ ATL
286996,2011-04-08,STL,SF,STL,SF,STL @ SF
286997,2011-04-08,TB,CWS,TB,CHW,TB @ CHW
286999,2011-04-08,TOR,LAA,TOR,LAA,TOR @ LAA
287000,2011-04-08,WSH,NYM,WSH,NYM,WSH @ NYM
287001,2011-04-09,CHC,MIL,CHC,MIL,CHC @ MIL
287002,2011-04-09,CIN,AZ,CIN,ARI,CIN @ ARI
287003,2011-04-09,CLE,SEA,CLE,SEA,CLE @ SEA
287004,2011-04-09,COL,PIT,COL,PIT,COL @ PIT
287006,2011-04-09,KC,DET,KC,DET,KC @ DET
287007,2011-04-09,LAD,SD,LAD,SD,LAD @ SD
287005,2011-04-09,FLA,HOU,MIA,HOU,MIA @ HOU
287008,2011-04-09,NYY,BOS,NYY,BOS,NYY @ BOS
287009,2011-04-09,OAK,MIN,OAK,MIN,OAK @ MIN
287010,2011-04-09,PHI,ATL,PHI,ATL,PHI @ ATL
287011,2011-04-09,STL,SF,STL,SF,STL @ SF
287012,2011-04-09,TB,CWS,TB,CHW,TB @ CHW
287013,2011-04-09,TEX,BAL,TEX,BAL,TEX @ BAL
287014,2011-04-09,TOR,LAA,TOR,LAA,TOR @ LAA
287015,2011-04-09,WSH,NYM,WSH,NYM,WSH @ NYM
287016,2011-04-10,CHC,MIL,CHC,MIL,CHC @ MIL
287017,2011-04-10,CIN,AZ,CIN,ARI,CIN @ ARI
287018,2011-04-10,CLE,SEA,CLE,SEA,CLE @ SEA
287019,2011-04-10,COL,PIT,COL,PIT,COL @ PIT
