Date,Home Team,Home Score,Away Team,Away Score,Status
2025-05-26,Detroit Tigers,3,San Francisco Giants,1,Final
2025-05-26,Milwaukee Brewers,3,Boston Red Sox,2,Final
2025-05-26,Chicago Cubs,3,Colorado Rockies,1,Final
2025-05-26,Baltimore Orioles,5,St. Louis Cardinals,2,Final
2025-05-26,Texas Rangers,1,Toronto Blue Jays,2,Final
2025-05-26,Kansas City Royals,4,Cincinnati Reds,7,Final
2025-05-26,New York Mets,2,Chicago White Sox,1,Final
2025-05-26,Cleveland Guardians,2,Los Angeles Dodgers,6,In Progress
2025-05-26,Tampa Bay Rays,0,Minnesota Twins,0,In Progress
2025-05-26,Arizona Diamondbacks,0,Pittsburgh Pirates,0,In Progress
2025-05-26,San Diego Padres,0,Miami Marlins,0,Warmup
2025-05-26,Los Angeles Angels,0,New York Yankees,0,Pre-Game
