mlb_game_pk,date,game_date_time,away_team_id,away_team_name,away_score,home_team_id,home_team_name,home_score,venue,status
778563,2025-03-18,2025-03-18T10:10:00Z,119,Los Angeles Dodgers,4.0,112,Chicago Cubs,1.0,Tokyo Dome,Final
778564,2025-03-19,2025-03-19T10:10:00Z,119,Los Angeles Dodgers,6.0,112,Chicago Cubs,3.0,Tokyo Dome,Final
778557,2025-03-27,2025-03-27T19:05:00Z,158,Milwaukee Brewers,2.0,147,New York Yankees,4.0,Yankee Stadium,Final
778556,2025-03-27,2025-03-27T19:07:00Z,110,Baltimore Orioles,12.0,141,Toronto Blue Jays,2.0,Rogers Centre,Final
778553,2025-03-27,2025-03-27T20:05:00Z,111,Boston Red Sox,5.0,140,Texas Rangers,2.0,Globe Life Field,Final
778555,2025-03-27,2025-03-27T20:05:00Z,143,Philadelphia Phillies,7.0,120,Washington Nationals,3.0,Nationals Park,Final
778558,2025-03-27,2025-03-27T20:10:00Z,114,Cleveland Guardians,7.0,118,Kansas City Royals,4.0,Kauffman Stadium,Final
778559,2025-03-27,2025-03-27T20:10:00Z,121,New York Mets,1.0,117,Houston Astros,3.0,Daikin Park,Final
778561,2025-03-27,2025-03-27T20:10:00Z,137,San Francisco Giants,6.0,113,Cincinnati Reds,4.0,Great American Ball Park,Final
778545,2025-03-27,2025-03-27T20:10:00Z,144,Atlanta Braves,4.0,135,San Diego Padres,7.0,Petco Park,Final
778554,2025-03-27,2025-03-27T20:10:00Z,108,Los Angeles Angels,1.0,145,Chicago White Sox,8.0,Rate Field,Final
778562,2025-03-27,2025-03-27T20:10:00Z,134,Pittsburgh Pirates,4.0,146,Miami Marlins,5.0,loanDepot park,Final
778551,2025-03-27,2025-03-27T20:15:00Z,142,Minnesota Twins,3.0,138,St. Louis Cardinals,5.0,Busch Stadium,Final
778546,2025-03-27,2025-03-27T23:10:00Z,116,Detroit Tigers,4.0,119,Los Angeles Dodgers,5.0,Dodger Stadium,Final
778552,2025-03-27,2025-03-28T02:10:00Z,112,Chicago Cubs,10.0,109,Arizona Diamondbacks,6.0,Chase Field,Final
778547,2025-03-27,2025-03-28T02:10:00Z,133,Athletics,2.0,136,Seattle Mariners,4.0,T-Mobile Park,Final
778560,2025-03-28,2025-03-28T20:10:00Z,115,Colorado Rockies,2.0,139,Tampa Bay Rays,3.0,George M. Steinbrenner Field,Final
778549,2025-03-28,2025-03-28T23:07:00Z,110,Baltimore Orioles,2.0,141,Toronto Blue Jays,8.0,Rogers Centre,Final
778548,2025-03-28,2025-03-28T23:10:00Z,134,Pittsburgh Pirates,4.0,146,Miami Marlins,3.0,loanDepot park,Final
778550,2025-03-28,2025-03-29T00:05:00Z,111,Boston Red Sox,1.0,140,Texas Rangers,4.0,Globe Life Field,Final
778518,2025-03-28,2025-03-29T00:10:00Z,121,New York Mets,3.0,117,Houston Astros,1.0,Daikin Park,Final
778543,2025-03-28,2025-03-29T01:40:00Z,112,Chicago Cubs,1.0,109,Arizona Diamondbacks,8.0,Chase Field,Final
778541,2025-03-28,2025-03-29T01:40:00Z,133,Athletics,7.0,136,Seattle Mariners,0.0,T-Mobile Park,Final
778542,2025-03-28,2025-03-29T01:40:00Z,144,Atlanta Braves,3.0,135,San Diego Padres,4.0,Petco Park,Final
778544,2025-03-28,2025-03-29T02:10:00Z,116,Detroit Tigers,5.0,119,Los Angeles Dodgers,8.0,Dodger Stadium,Final
778538,2025-03-29,2025-03-29T17:05:00Z,158,Milwaukee Brewers,9.0,147,New York Yankees,20.0,Yankee Stadium,Final
778534,2025-03-29,2025-03-29T18:10:00Z,108,Los Angeles Angels,1.0,145,Chicago White Sox,0.0,Rate Field,Final
778528,2025-03-29,2025-03-29T18:15:00Z,142,Minnesota Twins,1.0,138,St. Louis Cardinals,5.0,Busch Stadium,Final
778536,2025-03-29,2025-03-29T19:07:00Z,110,Baltimore Orioles,9.0,141,Toronto Blue Jays,5.0,Rogers Centre,Final
778535,2025-03-29,2025-03-29T20:05:00Z,143,Philadelphia Phillies,11.0,120,Washington Nationals,6.0,Nationals Park,Final
778529,2025-03-29,2025-03-29T20:10:00Z,114,Cleveland Guardians,3.0,118,Kansas City Royals,4.0,Kauffman Stadium,Final
778540,2025-03-29,2025-03-29T20:10:00Z,137,San Francisco Giants,2.0,113,Cincinnati Reds,3.0,Great American Ball Park,Final
778537,2025-03-29,2025-03-29T20:10:00Z,115,Colorado Rockies,2.0,139,Tampa Bay Rays,1.0,George M. Steinbrenner Field,Final
778539,2025-03-29,2025-03-29T20:10:00Z,134,Pittsburgh Pirates,4.0,146,Miami Marlins,5.0,loanDepot park,Final
778531,2025-03-29,2025-03-29T23:05:00Z,111,Boston Red Sox,3.0,140,Texas Rangers,4.0,Globe Life Field,Final
778530,2025-03-29,2025-03-29T23:15:00Z,121,New York Mets,1.0,117,Houston Astros,2.0,Daikin Park,Final
778520,2025-03-29,2025-03-29T23:15:00Z,144,Atlanta Braves,0.0,135,San Diego Padres,1.0,Petco Park,Final
778532,2025-03-29,2025-03-30T00:10:00Z,112,Chicago Cubs,4.0,109,Arizona Diamondbacks,3.0,Chase Field,Final
778533,2025-03-29,2025-03-30T01:10:00Z,116,Detroit Tigers,3.0,119,Los Angeles Dodgers,7.0,Dodger Stadium,Final
778521,2025-03-29,2025-03-30T01:40:00Z,133,Athletics,4.0,136,Seattle Mariners,2.0,T-Mobile Park,Final
778526,2025-03-30,2025-03-30T17:35:00Z,143,Philadelphia Phillies,1.0,120,Washington Nationals,5.0,Nationals Park,Final
778523,2025-03-30,2025-03-30T17:35:00Z,158,Milwaukee Brewers,3.0,147,New York Yankees,12.0,Yankee Stadium,Final
778525,2025-03-30,2025-03-30T17:37:00Z,110,Baltimore Orioles,1.0,141,Toronto Blue Jays,3.0,Rogers Centre,Final
778522,2025-03-30,2025-03-30T17:40:00Z,137,San Francisco Giants,6.0,113,Cincinnati Reds,3.0,Great American Ball Park,Final
778524,2025-03-30,2025-03-30T17:40:00Z,115,Colorado Rockies,4.0,139,Tampa Bay Rays,6.0,George M. Steinbrenner Field,Final
778519,2025-03-30,2025-03-30T17:40:00Z,134,Pittsburgh Pirates,2.0,146,Miami Marlins,3.0,loanDepot park,Final
778510,2025-03-30,2025-03-30T18:10:00Z,114,Cleveland Guardians,6.0,118,Kansas City Royals,2.0,Kauffman Stadium,Final
778527,2025-03-30,2025-03-30T18:10:00Z,108,Los Angeles Angels,3.0,145,Chicago White Sox,2.0,Rate Field,Final
778517,2025-03-30,2025-03-30T18:15:00Z,142,Minnesota Twins,2.0,138,St. Louis Cardinals,9.0,Busch Stadium,Final
778516,2025-03-30,2025-03-30T18:35:00Z,111,Boston Red Sox,2.0,140,Texas Rangers,3.0,Globe Life Field,Final
778515,2025-03-30,2025-03-30T20:10:00Z,112,Chicago Cubs,6.0,109,Arizona Diamondbacks,10.0,Chase Field,Final
778513,2025-03-30,2025-03-30T20:10:00Z,133,Athletics,1.0,136,Seattle Mariners,2.0,T-Mobile Park,Final
778514,2025-03-30,2025-03-30T23:10:00Z,144,Atlanta Braves,0.0,135,San Diego Padres,5.0,Petco Park,Final
778506,2025-03-31,2025-03-31T18:10:00Z,142,Minnesota Twins,0.0,145,Chicago White Sox,9.0,Rate Field,Final
778504,2025-03-31,2025-03-31T18:10:00Z,118,Kansas City Royals,11.0,158,Milwaukee Brewers,1.0,American Family Field,Final
778512,2025-03-31,2025-03-31T18:35:00Z,111,Boston Red Sox,5.0,110,Baltimore Orioles,8.0,Oriole Park at Camden Yards,Final
778502,2025-03-31,2025-03-31T19:05:00Z,115,Colorado Rockies,1.0,143,Philadelphia Phillies,6.0,Citizens Bank Park,Final
778511,2025-03-31,2025-03-31T22:40:00Z,140,Texas Rangers,3.0,113,Cincinnati Reds,14.0,Great American Ball Park,Final
778509,2025-03-31,2025-03-31T22:40:00Z,121,New York Mets,10.0,146,Miami Marlins,4.0,loanDepot park,Final
778508,2025-03-31,2025-03-31T23:05:00Z,134,Pittsburgh Pirates,1.0,139,Tampa Bay Rays,6.0,George M. Steinbrenner Field,Final
778507,2025-03-31,2025-03-31T23:07:00Z,120,Washington Nationals,2.0,141,Toronto Blue Jays,5.0,Rogers Centre,Final
778503,2025-03-31,2025-03-31T23:45:00Z,108,Los Angeles Angels,5.0,138,St. Louis Cardinals,4.0,Busch Stadium,Final
778505,2025-03-31,2025-04-01T00:10:00Z,137,San Francisco Giants,7.0,117,Houston Astros,2.0,Daikin Park,Final
778499,2025-03-31,2025-04-01T01:40:00Z,114,Cleveland Guardians,2.0,135,San Diego Padres,7.0,Petco Park,Final
778496,2025-03-31,2025-04-01T01:40:00Z,116,Detroit Tigers,9.0,136,Seattle Mariners,6.0,T-Mobile Park,Final
778501,2025-03-31,2025-04-01T02:05:00Z,112,Chicago Cubs,18.0,133,Athletics,3.0,Sutter Health Park,Final
778500,2025-03-31,2025-04-01T02:10:00Z,144,Atlanta Braves,1.0,119,Los Angeles Dodgers,6.0,Dodger Stadium,Final
778498,2025-04-01,2025-04-01T22:40:00Z,140,Texas Rangers,1.0,113,Cincinnati Reds,0.0,Great American Ball Park,Final
778497,2025-04-01,2025-04-01T22:40:00Z,121,New York Mets,2.0,146,Miami Marlins,4.0,loanDepot park,Final
778493,2025-04-01,2025-04-01T23:05:00Z,134,Pittsburgh Pirates,0.0,139,Tampa Bay Rays,7.0,George M. Steinbrenner Field,Final
778492,2025-04-01,2025-04-01T23:05:00Z,109,Arizona Diamondbacks,7.0,147,New York Yankees,5.0,Yankee Stadium,Final
778491,2025-04-01,2025-04-01T23:07:00Z,120,Washington Nationals,3.0,141,Toronto Blue Jays,5.0,Rogers Centre,Final
778490,2025-04-01,2025-04-01T23:40:00Z,142,Minnesota Twins,8.0,145,Chicago White Sox,3.0,Rate Field,Final
778488,2025-04-01,2025-04-01T23:40:00Z,118,Kansas City Royals,0.0,158,Milwaukee Brewers,5.0,American Family Field,Final
778495,2025-04-01,2025-04-01T23:45:00Z,108,Los Angeles Angels,9.0,138,St. Louis Cardinals,7.0,Busch Stadium,Final
778489,2025-04-01,2025-04-02T00:10:00Z,137,San Francisco Giants,3.0,117,Houston Astros,1.0,Daikin Park,Final
778485,2025-04-01,2025-04-02T01:40:00Z,114,Cleveland Guardians,0.0,135,San Diego Padres,7.0,Petco Park,Final
778486,2025-04-01,2025-04-02T01:40:00Z,116,Detroit Tigers,4.0,136,Seattle Mariners,1.0,T-Mobile Park,Final
778494,2025-04-01,2025-04-02T02:05:00Z,112,Chicago Cubs,7.0,133,Athletics,4.0,Sutter Health Park,Final
778487,2025-04-01,2025-04-02T02:10:00Z,144,Atlanta Braves,1.0,119,Los Angeles Dodgers,3.0,Dodger Stadium,Final
778480,2025-04-02,2025-04-02T16:40:00Z,140,Texas Rangers,1.0,113,Cincinnati Reds,0.0,Great American Ball Park,Final
778479,2025-04-02,2025-04-02T17:10:00Z,134,Pittsburgh Pirates,4.0,139,Tampa Bay Rays,2.0,George M. Steinbrenner Field,Final
778477,2025-04-02,2025-04-02T17:10:00Z,118,Kansas City Royals,2.0,158,Milwaukee Brewers,3.0,American Family Field,Final
778473,2025-04-02,2025-04-02T17:15:00Z,108,Los Angeles Angels,5.0,138,St. Louis Cardinals,12.0,Busch Stadium,Final
778474,2025-04-02,2025-04-02T18:10:00Z,142,Minnesota Twins,6.0,145,Chicago White Sox,1.0,Rate Field,Final
778478,2025-04-02,2025-04-02T19:07:00Z,120,Washington Nationals,2.0,141,Toronto Blue Jays,4.0,Rogers Centre,Final
778471,2025-04-02,2025-04-02T19:35:00Z,112,Chicago Cubs,10.0,133,Athletics,2.0,Sutter Health Park,Final
778476,2025-04-02,2025-04-02T20:10:00Z,114,Cleveland Guardians,2.0,135,San Diego Padres,5.0,Petco Park,Final
778469,2025-04-02,2025-04-02T20:10:00Z,116,Detroit Tigers,2.0,136,Seattle Mariners,3.0,T-Mobile Park,Final
778475,2025-04-02,2025-04-02T20:10:00Z,137,San Francisco Giants,6.0,117,Houston Astros,3.0,Daikin Park,Final
778481,2025-04-02,2025-04-02T20:40:00Z,121,New York Mets,6.0,146,Miami Marlins,5.0,loanDepot park,Final
778483,2025-04-02,2025-04-02T22:35:00Z,111,Boston Red Sox,3.0,110,Baltimore Orioles,0.0,Oriole Park at Camden Yards,Final
778482,2025-04-02,2025-04-02T22:45:00Z,115,Colorado Rockies,1.0,143,Philadelphia Phillies,5.0,Citizens Bank Park,Final
778484,2025-04-02,2025-04-02T23:05:00Z,109,Arizona Diamondbacks,4.0,147,New York Yankees,3.0,Yankee Stadium,Final
778472,2025-04-02,2025-04-03T00:38:00Z,144,Atlanta Braves,5.0,119,Los Angeles Dodgers,6.0,Dodger Stadium,Final
778470,2025-04-03,2025-04-03T17:05:00Z,111,Boston Red Sox,8.0,110,Baltimore Orioles,4.0,Oriole Park at Camden Yards,Final
778467,2025-04-03,2025-04-03T17:05:00Z,115,Colorado Rockies,1.0,143,Philadelphia Phillies,3.0,Citizens Bank Park,Final
778462,2025-04-03,2025-04-03T20:10:00Z,117,Houston Astros,5.0,142,Minnesota Twins,2.0,Target Field,Final
778466,2025-04-03,2025-04-03T23:05:00Z,109,Arizona Diamondbacks,7.0,147,New York Yankees,9.0,Yankee Stadium,Final
778468,2025-04-03,2025-04-03T23:40:00Z,113,Cincinnati Reds,0.0,158,Milwaukee Brewers,1.0,American Family Field,Final
778458,2025-04-04,2025-04-04T17:10:00Z,145,Chicago White Sox,4.0,116,Detroit Tigers,7.0,Comerica Park,Final
778463,2025-04-04,2025-04-04T18:10:00Z,138,St. Louis Cardinals,9.0,111,Boston Red Sox,13.0,Fenway Park,Final
778460,2025-04-04,2025-04-04T18:20:00Z,135,San Diego Padres,1.0,112,Chicago Cubs,3.0,Wrigley Field,Final
778465,2025-04-04,2025-04-04T19:10:00Z,141,Toronto Blue Jays,0.0,121,New York Mets,5.0,Citi Field,Final
778456,2025-04-04,2025-04-04T20:10:00Z,133,Athletics,6.0,115,Colorado Rockies,3.0,Coors Field,Final
778461,2025-04-04,2025-04-04T20:12:00Z,147,New York Yankees,9.0,134,Pittsburgh Pirates,4.0,PNC Park,Final
778444,2025-04-04,2025-04-04T20:35:00Z,136,Seattle Mariners,9.0,137,San Francisco Giants,10.0,Oracle Park,Final
778457,2025-04-04,2025-04-04T22:45:00Z,109,Arizona Diamondbacks,6.0,120,Washington Nationals,4.0,Nationals Park,Final
778459,2025-04-04,2025-04-04T22:45:00Z,119,Los Angeles Dodgers,2.0,143,Philadelphia Phillies,3.0,Citizens Bank Park,Final
778464,2025-04-04,2025-04-04T23:15:00Z,146,Miami Marlins,0.0,144,Atlanta Braves,10.0,Truist Park,Final
778455,2025-04-04,2025-04-04T23:40:00Z,110,Baltimore Orioles,2.0,118,Kansas City Royals,8.0,Kauffman Stadium,Final
778454,2025-04-04,2025-04-05T00:05:00Z,139,Tampa Bay Rays,2.0,140,Texas Rangers,5.0,Globe Life Field,Final
778453,2025-04-04,2025-04-05T00:10:00Z,113,Cincinnati Reds,2.0,158,Milwaukee Brewers,3.0,American Family Field,Final
778447,2025-04-04,2025-04-05T01:38:00Z,114,Cleveland Guardians,8.0,108,Los Angeles Angels,6.0,Angel Stadium,Final
778445,2025-04-05,2025-04-05T17:10:00Z,145,Chicago White Sox,2.0,116,Detroit Tigers,7.0,Comerica Park,Final
778440,2025-04-05,2025-04-05T18:10:00Z,117,Houston Astros,1.0,142,Minnesota Twins,6.0,Target Field,Final
778450,2025-04-05,2025-04-05T18:20:00Z,135,San Diego Padres,1.0,112,Chicago Cubs,7.0,Wrigley Field,Final
778452,2025-04-05,2025-04-05T20:05:00Z,109,Arizona Diamondbacks,3.0,120,Washington Nationals,4.0,Nationals Park,Final
778448,2025-04-05,2025-04-05T20:05:00Z,119,Los Angeles Dodgers,3.0,143,Philadelphia Phillies,1.0,Citizens Bank Park,Final
