Model,Approach,Threshold,Total_Picks,Wins,Losses,Win_Rate,Total_Profit,ROI,Picks_Per_Day,Favorite_Picks,Favorite_Wins,Favorite_Win_Rate,Favorite_Profit,Favorite_ROI,Underdog_Picks,Underdog_Wins,Underdog_Win_Rate,Underdog_Profit,Underdog_ROI,Home_Picks,Home_Wins,Home_Win_Rate,Home_Profit,Home_ROI,Away_Picks,Away_Wins,Away_Win_Rate,Away_Profit,Away_ROI
Ensemble,RAW,1%,548,278,270,50.72992700729927,63.78026517320533,11.638734520657906,11.183673469387756,138,84,60.86956521739131,16.140265173205336,11.695844328409663,410,194,47.3170731707317,47.64,11.619512195121953,285,145,50.877192982456144,12.528680719501917,4.396028322632252,263,133,50.57034220532319,51.251584453703416,19.487294469088752
Ensemble,RAW,2%,439,225,214,51.252847380410024,63.2047196866219,14.397430452533463,8.959183673469388,99,61,61.61616161616161,13.574719686621902,13.71183806729485,340,164,48.23529411764706,49.629999999999995,14.59705882352941,236,124,52.54237288135594,21.857041775308744,9.261458379368111,203,101,49.75369458128079,41.347677911313156,20.368314242026184
Ensemble,RAW,3%,314,170,144,54.14012738853503,74.74377119696254,23.803748788841574,6.408163265306122,58,41,70.6896551724138,17.883771196962545,30.834088270625077,256,129,50.390625,56.86000000000001,22.210937500000004,169,93,55.02958579881657,27.238337904176475,16.1173597066133,145,77,53.103448275862064,47.505433292786066,32.76236778812832
Ensemble,RAW,4%,228,122,106,53.50877192982456,60.63041428819395,26.59228696850612,4.653061224489796,30,21,70.0,9.70041428819395,32.334714293979836,198,101,51.010101010101,50.92999999999999,25.722222222222218,122,63,51.63934426229508,15.697018061778856,12.866408247359718,106,59,55.660377358490564,44.93339622641509,42.38999644001424
Ensemble,RAW,5%,162,85,77,52.46913580246913,43.62288543219338,26.927707056909494,3.306122448979592,17,14,82.35294117647058,9.222885432193383,54.252267248196375,145,71,48.96551724137931,34.400000000000006,23.724137931034488,87,44,50.57471264367817,10.729489205778293,12.332746213538268,75,41,54.666666666666664,32.8933962264151,43.85786163522013
Ensemble,REGRESSED,1%,325,176,149,54.15384615384615,75.95818228604654,23.371748395706625,6.63265306122449,62,44,70.96774193548387,19.468182286046527,31.400294009752468,263,132,50.19011406844106,56.49000000000001,21.479087452471486,176,98,55.68181818181818,30.232748993260458,17.17769829162526,149,78,52.348993288590606,45.725433292786064,30.688210263614806
Ensemble,REGRESSED,2%,131,71,60,54.19847328244275,40.60036134498215,30.992642248077974,2.673469387755102,13,10,76.92307692307693,5.850361344982147,45.00277957678575,118,61,51.69491525423729,34.75,29.44915254237288,70,36,51.42857142857142,11.076965118567049,15.824235883667212,61,35,57.377049180327866,29.52339622641509,48.39901020723785
Ensemble,REGRESSED,3%,56,31,25,55.35714285714286,27.784297127315995,49.614816298778564,1.1428571428571428,3,2,66.66666666666666,0.8442971273159953,28.14323757719984,53,29,54.71698113207547,26.939999999999998,50.83018867924528,24,12,50.0,7.050900900900901,29.378753753753756,32,19,59.375,20.733396226415092,64.79186320754717
Ensemble,REGRESSED,4%,23,12,11,52.17391304347826,11.42,49.65217391304348,0.46938775510204084,0,0,0.0,0.0,0.0,23,12,52.17391304347826,11.42,49.65217391304348,8,3,37.5,1.3900000000000003,17.375000000000004,15,9,60.0,10.03,66.86666666666666
Ensemble,REGRESSED,5%,9,4,5,44.44444444444444,2.7200000000000006,30.22222222222223,0.1836734693877551,0,0,0.0,0.0,0.0,9,4,44.44444444444444,2.7200000000000006,30.22222222222223,5,3,60.0,4.390000000000001,87.80000000000001,4,1,25.0,-1.67,-41.75
