Date,Favorite,Underdog,Fav Price (Decimal),Dog Price (Decimal),Fav Price (American),Dog Price (American),Line,Fav at Home?,Game Time (EST),Market,Market Timestamp
2025-05-28,CHC,COL,0.591,0.424,-144,+136,-1.5,0,2025-05-28T20:05:00-04:00,CHC -1.5,2025-05-28T16:32:03.556+00:00
2025-05-28,TB,MIN,0.364,0.659,+175,-193,-1.5,0,2025-05-28T13:10:00-04:00,TB -1.5,2025-05-28T16:31:47.161+00:00
2025-05-28,HOU,OAK,0.396,0.636,+153,-175,-1.5,1,2025-05-28T14:10:00-04:00,HOU -1.5,2025-05-28T16:32:08.929+00:00
2025-05-28,TEX,TOR,0.394,0.621,+154,-164,-1.5,1,2025-05-28T20:05:00-04:00,TEX -1.5,2025-05-28T16:33:57.889+00:00
2025-05-28,DET,SF,0.345,0.667,+190,-200,-1.5,1,2025-05-28T13:10:00-04:00,DET -1.5,2025-05-28T16:30:58.553+00:00
2025-05-28,NYY,LAA,0.489,0.551,+104,-123,-1.5,0,2025-05-28T21:38:00-04:00,LAA +1.5,2025-05-28T16:19:31.55+00:00
2025-05-28,BAL,STL,0.373,0.665,+168,-199,-1.5,1,2025-05-28T18:35:00-04:00,BAL -1.5,2025-05-28T16:33:57.889+00:00
2025-05-28,ARI,PIT,0.38,0.653,+163,-188,-1.5,1,2025-05-28T15:40:00-04:00,ARI -1.5,2025-05-28T16:30:17.807+00:00
2025-05-28,NYM,CWS,0.503,0.507,-101,-103,-1.5,0,2025-05-28T13:10:00-04:00,NYM -1.5,2025-05-28T16:33:36.649+00:00
2025-05-28,LAD,CLE,0.507,0.519,-103,-108,-1.5,0,2025-05-28T13:10:00-04:00,CLE +1.5,2025-05-28T16:33:21.995+00:00
2025-05-28,MIL,BOS,0.404,0.611,+148,-157,-1.5,1,2025-05-28T13:10:00-04:00,MIL -1.5,2025-05-28T16:28:19.364+00:00
2025-05-28,SD,MIA,0.429,0.592,+133,-145,-1.5,0,2025-05-28T16:10:00-04:00,SD -1.5,2025-05-28T16:33:29.146+00:00
2025-05-28,PHI,ATL,0.41,0.607,+144,-154,-1.5,1,2025-05-28T18:45:00-04:00,PHI -1.5,2025-05-28T16:33:23.141+00:00
2025-05-28,CIN,KAN,0.4,0.612,+150,-158,-1.5,0,2025-05-28T19:40:00-04:00,KAN +1.5,2025-05-28T16:25:24.741+00:00
2025-05-28,SEA,WAS,0.497,0.515,+101,-106,-1.5,1,2025-05-28T21:40:00-04:00,SEA -1.5,2025-05-28T16:32:21.611+00:00
