Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-07-29,BOS,MIN,BOS,MIN,0,-1.5,142,-159,8.0,5.0,3.0,1,1,142,-159,8.0,5.0,-3.0
2025-07-29,KAN,ATL,ATL,KAN,1,-1.5,163,-181,9.0,6.0,3.0,1,1,-181,163,6.0,9.0,3.0
2025-07-29,PHI,CWS,PHI,CWS,0,-1.5,-110,-101,6.0,3.0,3.0,1,1,-110,-101,6.0,3.0,-3.0
2025-07-29,STL,MIA,STL,MIA,0,-1.5,134,-150,0.0,5.0,-5.0,0,0,134,-150,0.0,5.0,5.0
2025-07-29,NYY,TB,NYY,TB,0,-1.5,115,-122,7.0,5.0,2.0,1,1,115,-122,7.0,5.0,-2.0
2025-07-29,MIL,CHC,CHC,MIL,1,-1.5,166,-178,9.0,3.0,6.0,1,1,-178,166,3.0,9.0,6.0
2025-07-29,CLE,COL,COL,CLE,1,-1.5,106,-114,10.0,4.0,6.0,1,1,-114,106,4.0,10.0,6.0
2025-07-29,DET,ARI,ARI,DET,1,-1.5,153,-166,12.0,2.0,10.0,1,1,-166,153,2.0,12.0,10.0
2025-07-29,LAD,CIN,LAD,CIN,0,-1.5,108,-114,5.0,4.0,1.0,1,1,108,-114,5.0,4.0,-1.0
2025-07-29,HOU,WAS,WAS,HOU,1,-1.5,151,-165,7.0,4.0,3.0,1,1,-165,151,4.0,7.0,3.0
2025-07-29,LAA,TEX,LAA,TEX,0,-1.5,172,-181,8.0,5.0,3.0,1,1,172,-181,8.0,5.0,-3.0
2025-07-29,NYM,SD,NYM,SD,0,-1.5,135,-158,1.0,7.0,-6.0,0,0,135,-158,1.0,7.0,6.0
2025-07-29,SF,PIT,SF,PIT,0,-1.5,132,-149,1.0,3.0,-2.0,0,0,132,-149,1.0,3.0,2.0
2025-07-29,SEA,OAK,SEA,OAK,0,-1.5,136,-154,1.0,6.0,-5.0,0,0,136,-154,1.0,6.0,5.0
2025-07-29,TOR,BAL,TOR,BAL,0,-1.5,129,-147,4.0,16.0,-12.0,0,0,129,-147,4.0,16.0,12.0
