Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-08,CIN,PIT,CIN,PIT,0,-1.5,146,-158,,,,,,146,-158,,,
2025-08-08,CIN,PIT,CIN,PIT,0,-0.5,111,-136,,,,,,111,-136,,,
2025-08-08,PHI,TEX,PHI,TEX,0,-1.5,139,-145,,,,,,139,-145,,,
2025-08-08,PHI,TEX,PHI,TEX,0,-0.5,111,-123,,,,,,111,-123,,,
2025-08-08,MIL,NYM,NYM,MIL,1,-1.5,160,-169,,,,,,-169,160,,,
2025-08-08,MIL,NYM,NYM,MIL,1,-0.5,-111,-115,,,,,,-115,-111,,,
2025-08-08,ARI,COL,COL,ARI,1,-1.5,-116,108,,,,,,108,-116,,,
2025-08-08,SF,WAS,SF,WAS,0,-1.5,140,-159,,,,,,140,-159,,,
2025-08-08,SF,WAS,SF,WAS,0,-0.5,-109,-117,,,,,,-109,-117,,,
2025-08-08,HOU,NYY,HOU,NYY,0,-0.5,124,-141,,,,,,124,-141,,,
2025-08-08,HOU,NYY,HOU,NYY,0,-1.5,162,-173,,,,,,162,-173,,,
2025-08-08,DET,LAA,LAA,DET,1,-1.5,-129,122,,,,,,122,-129,,,
2025-08-08,CLE,CWS,CLE,CWS,0,-0.5,105,-134,,,,,,105,-134,,,
2025-08-08,CLE,CWS,CLE,CWS,0,-1.5,122,-131,,,,,,122,-131,,,
2025-08-08,MIN,KAN,KAN,MIN,1,-1.5,164,-173,,,,,,-173,164,,,
2025-08-08,MIN,KAN,KAN,MIN,1,-0.5,-104,-123,,,,,,-123,-104,,,
2025-08-08,MIA,ATL,MIA,ATL,0,-1.5,137,-146,,,,,,137,-146,,,
2025-08-08,MIA,ATL,MIA,ATL,0,-0.5,113,-128,,,,,,113,-128,,,
2025-08-08,BAL,OAK,OAK,BAL,1,-1.5,183,-194,,,,,,-194,183,,,
2025-08-08,BAL,OAK,OAK,BAL,1,-0.5,123,-158,,,,,,-158,123,,,
2025-08-08,SD,BOS,SD,BOS,0,-0.5,-129,102,,,,,,-129,102,,,
2025-08-08,SD,BOS,SD,BOS,0,-1.5,130,-139,,,,,,130,-139,,,
2025-08-08,LAD,TOR,LAD,TOR,0,-1.5,150,-159,,,,,,150,-159,,,
2025-08-08,LAD,TOR,LAD,TOR,0,-0.5,106,-133,,,,,,106,-133,,,
2025-08-08,CHC,STL,CHC,STL,0,-1.5,114,-120,,,,,,114,-120,,,
2025-08-08,CHC,STL,CHC,STL,0,-0.5,-126,100,,,,,,-126,100,,,
2025-08-08,SEA,TB,TB,SEA,1,-0.5,123,-158,,,,,,-158,123,,,
2025-08-08,SEA,TB,TB,SEA,1,-1.5,181,-190,,,,,,-190,181,,,
