favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
CIN,PIT,CIN,PIT,Chase Burns,Mitch Keller,6.04,3.89,1.48,1.22,28.1,132.0,4.128113879003559,3.893939393939394,47.0,104.0,0.4051724137931034,0.20233463035019456,0.259,0.247,116.0,514.0,3.83,3.84,1.23,1.21,996.1,894.0,3.764682260817187,3.7416107382550337,912.0,786.0,0.2432,0.23497757847533632,3750.0,3345.0
CIN,PIT,CIN,PIT,Chase Burns,Mitch Keller,6.04,3.89,1.48,1.22,28.1,132.0,4.128113879003559,3.893939393939394,47.0,104.0,0.4051724137931034,0.20233463035019456,0.259,0.247,116.0,514.0,3.83,3.84,1.23,1.21,996.1,894.0,3.764682260817187,3.7416107382550337,912.0,786.0,0.2432,0.23497757847533632,3750.0,3345.0
PHI,TEX,PHI,TEX,Cristopher Sánchez,Merrill Kelly,2.4,3.22,1.07,1.04,138.2,134.1,3.7337192474674388,3.7061894108873976,145.0,127.0,0.2810077519379845,0.25553319919517103,0.223,0.205,516.0,497.0,3.97,3.23,1.27,1.18,876.9,897.0,3.8271182574980043,3.702341137123746,899.0,821.0,0.2678784266984505,0.2472146943691659,3356.0,3321.0
PHI,TEX,PHI,TEX,Cristopher Sánchez,Merrill Kelly,2.4,3.22,1.07,1.04,138.2,134.1,3.7337192474674388,3.7061894108873976,145.0,127.0,0.2810077519379845,0.25553319919517103,0.223,0.205,516.0,497.0,3.97,3.23,1.27,1.18,876.9,897.0,3.8271182574980043,3.702341137123746,899.0,821.0,0.2678784266984505,0.2472146943691659,3356.0,3321.0
MIL,NYM,NYM,MIL,Brandon Woodruff,Jake Irvin,2.22,4.89,0.64,1.33,28.1,130.2,3.5231316725978647,3.9324116743471587,37.0,88.0,0.37373737373737376,0.171875,0.141,0.256,99.0,512.0,3.66,5.45,1.26,1.47,986.0,871.9,3.7454361054766734,3.914439729326758,951.0,779.0,0.25751421608448416,0.22824494579548785,3693.0,3413.0
MIL,NYM,NYM,MIL,Brandon Woodruff,Kyle Hendricks,2.22,4.59,0.64,1.24,28.1,111.2,3.5231316725978647,3.8758992805755397,37.0,72.0,0.37373737373737376,0.16705336426914152,0.141,0.258,99.0,431.0,3.66,4.57,1.26,1.44,986.0,909.8,3.7454361054766734,3.841503627170807,951.0,834.0,0.25751421608448416,0.23862660944206007,3693.0,3495.0
ARI,COL,COL,ARI,Zac Gallen,Seth Lugo,5.48,3.06,1.36,1.15,133.0,123.1,3.9097744360902253,3.6474411047928514,124.0,107.0,0.23846153846153847,0.2383073496659243,0.258,0.225,520.0,449.0,4.43,3.66,1.34,1.24,889.2,899.0,3.858524516419253,3.7853170189099,821.0,803.0,0.23928883707373944,0.2359682632970908,3431.0,3403.0
SF,WAS,SF,WAS,FAV team pitching,Seth Lugo,3.65,3.06,1.28,1.15,1018.0,123.1,3.7799607072691552,3.6474411047928514,985.0,107.0,0.255977130977131,0.2383073496659243,0.242,0.225,3848.0,449.0,3.65,3.66,1.28,1.24,1018.0,899.0,3.7799607072691552,3.7853170189099,985.0,803.0,0.255977130977131,0.2359682632970908,3848.0,3403.0
SF,WAS,SF,WAS,FAV team pitching,J.T. Ginn,3.65,4.28,1.28,1.26,1018.0,48.1,3.7799607072691552,3.8461538461538463,985.0,49.0,0.255977130977131,0.2648648648648649,0.242,0.249,3848.0,185.0,3.65,4.99,1.28,1.4,1018.0,988.0,3.7799607072691552,3.8593117408906883,985.0,891.0,0.255977130977131,0.23367427222659323,3848.0,3813.0
HOU,NYY,HOU,NYY,Edward Cabrera,Cam Schlittler,3.24,4.58,1.19,1.68,100.0,19.2,3.73,4.010416666666667,103.0,21.0,0.2761394101876676,0.2727272727272727,0.228,0.286,373.0,77.0,4.58,4.04,1.32,1.25,914.1,997.0,3.8420304124275244,3.764292878635908,793.0,998.0,0.2257972665148064,0.2659205968558487,3512.0,3753.0
HOU,NYY,HOU,NYY,Matthew Boyd,Cam Schlittler,2.34,4.58,1.03,1.68,130.2,19.2,3.6328725038402463,4.010416666666667,118.0,21.0,0.24947145877378435,0.2727272727272727,0.224,0.286,473.0,77.0,4.12,4.04,1.25,1.25,884.0,997.0,3.7963800904977374,3.764292878635908,744.0,998.0,0.22169249106078665,0.2659205968558487,3356.0,3753.0
