favorite_team,underdog_team,away_team,home_team,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
CHC,BAL,CHC,BAL,574,486,0.15157116451016636,0.13075060532687652,192,184,0.05069976234486401,0.04950228679042239,21,12,0.005545286506469501,0.003228410008071025,158,137,0.04172167942962767,0.03685768092547754,859,953,0.22682862424082387,0.25638956147430725,376,305,0.09928703459202536,0.08205542103847188,963,906,0.254,0.244,3787,3717,0.324,0.308,0.441,0.41,0.765,0.718,121,78,1671,1525,559,460,0.14761024557697386,0.12375571697605596
PIT,COL,PIT,COL,390,413,0.1057197072377338,0.11180292365998917,153,182,0.041474654377880185,0.049269085002707096,16,29,0.00433721875847113,0.00785056848944234,77,114,0.020872865275142316,0.03086085544125609,968,1057,0.2624017348875034,0.2861396859772604,352,285,0.09541881268636487,0.07715213860314023,858,875,0.233,0.237,3689,3694,0.304,0.296,0.345,0.394,0.649,0.69,87,57,1274,1457,378,402,0.10246679316888045,0.10882512181916622
NYM,SF,NYM,SF,488,453,0.1320703653585927,0.12353422416143987,176,172,0.047631935047361296,0.04690482683392419,16,20,0.004330175913396482,0.00545404963185165,137,103,0.03707713125845737,0.028088355604035997,888,940,0.24032476319350474,0.25634033269702755,385,385,0.10419485791610285,0.10499045541314427,891,852,0.241,0.232,3695,3667,0.321,0.311,0.409,0.374,0.73,0.685,89,49,1510,1373,474,432,0.12828146143437077,0.11780747204799563
LAA,CWS,LAA,CWS,478,423,0.12873687045515755,0.11579523679167807,150,174,0.04039859951521681,0.04763208321927183,12,9,0.0032318879612173446,0.0024637284423761293,156,103,0.04201454349582548,0.028196003284971256,1074,927,0.28925397252895235,0.2537640295647413,332,350,0.08941556692701319,0.09581166164796058,860,837,0.232,0.229,3713,3653,0.304,0.299,0.405,0.366,0.709,0.665,56,69,1502,1338,462,407,0.12442768650686777,0.11141527511634274
OAK,ARI,ARI,OAK,489,536,0.12671676600155482,0.14316239316239315,193,193,0.050012956724540036,0.051549145299145296,15,26,0.0038870173620108835,0.006944444444444444,152,152,0.03938844260171029,0.0405982905982906,964,874,0.24980564913189945,0.23344017094017094,349,389,0.09043793728945322,0.10389957264957266,969,929,0.251,0.248,3859,3744,0.316,0.324,0.427,0.435,0.743,0.759,62,75,1648,1630,474,524,0.12282974863954392,0.13995726495726496
PHI,DET,DET,PHI,514,543,0.13732300293881913,0.1438029661016949,178,174,0.04755543681538873,0.04608050847457627,14,23,0.0037403152551429334,0.0060911016949152545,128,144,0.03419716804702111,0.038135593220338986,886,986,0.23670852257547423,0.2611228813559322,374,344,0.09991985038738979,0.09110169491525423,951,944,0.254,0.25,3743,3776,0.326,0.318,0.412,0.423,0.738,0.741,94,49,1541,1596,491,523,0.13117819930537003,0.1385063559322034
TEX,SEA,TEX,SEA,461,506,0.12339400428265525,0.132011479259066,164,152,0.043897216274089934,0.03965562222801983,12,6,0.0032119914346895075,0.0015653535090007827,117,156,0.0313169164882227,0.04069919123402035,934,996,0.25,0.2598486824941299,331,377,0.08859743040685225,0.09835637881554918,866,935,0.232,0.244,3736,3833,0.3,0.319,0.376,0.409,0.676,0.728,101,109,1405,1567,440,485,0.11777301927194861,0.12653274197756326
TOR,KAN,KAN,TOR,527,404,0.13850197109067017,0.10866057019903173,199,197,0.05229960578186597,0.05298547606239914,7,18,0.0018396846254927727,0.004841312533620226,120,97,0.03153745072273324,0.02608929532006455,740,760,0.19448094612352168,0.20441097364174288,373,268,0.09802890932982918,0.0720817643894567,1004,907,0.264,0.244,3805,3718,0.334,0.3,0.414,0.385,0.748,0.685,55,84,1577,1431,503,398,0.13219448094612352,0.10704679935449166
SD,STL,SD,STL,454,492,0.12260329462597894,0.13053860440435128,169,198,0.04563867134755604,0.052533828601751126,14,4,0.003780718336483932,0.0010612894667020429,93,107,0.025114771806643264,0.02838949323427965,776,856,0.20955981636510937,0.2271159458742372,348,348,0.0939778557926006,0.09233218360307774,927,940,0.25,0.249,3703,3769,0.318,0.32,0.379,0.389,0.697,0.709,74,62,1403,1467,425,470,0.11477180664326223,0.12470151233749005
MIL,WAS,MIL,WAS,541,474,0.14558665231431647,0.12831618841364376,169,178,0.045479009687836386,0.048186247969680567,11,17,0.002960172228202368,0.0046020573903627505,109,106,0.029332615715823466,0.028695181375203032,872,861,0.23466092572658773,0.2330806713589605,369,320,0.09930032292787944,0.08662696264212236,951,901,0.256,0.244,3716,3694,0.328,0.31,0.395,0.387,0.723,0.697,123,95,1469,1431,505,455,0.13589881593110872,0.12317271250676773
