favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
SF,COL,SF,COL,-1.5,-131,116,684,1017,0.12619926199261994,0.18060735215769846,291,328,0.053690036900369005,0.05824897886698632,22,31,0.004059040590405904,0.005505238856331024,143,249,0.026383763837638376,0.04421949920085243,1345,1087,0.2481549815498155,0.1930385366719943,504,551,0.0929889298892989,0.09785118096252886,1349,1666,0.249,0.296,5420,5631,0.319,0.363,0.39,0.498,0.709,0.861,3.87,5.99,1424.2,1399.1,612,931,0.11291512915129151,0.16533475404013498,1.3,1.58,6063,6333,2113,2803,16.44,17.06,160,161,2.67,1.97,8.5,6.99,3.18,3.54,8.52,10.72,4.32,6.54,0.9,1.6
PHI,MIN,MIN,PHI,-1.5,-102,-105,647,771,0.11860678276810266,0.14079620160701242,248,275,0.04546287809349221,0.05021913805697589,16,13,0.002933088909257562,0.0023739956172388606,177,193,0.03244729605866178,0.03524470416362308,1455,1361,0.26672777268560954,0.2485390796201607,431,458,0.07901008249312558,0.08363769174579985,1337,1408,0.245,0.257,5455,5476,0.305,0.319,0.394,0.418,0.699,0.737,3.81,4.57,1430.1,1417.0,606,720,0.11109074243813015,0.13148283418553688,1.24,1.32,5988,6083,2148,2288,16.17,16.76,159,160,3.38,2.97,9.16,8.64,2.71,2.91,8.41,8.94,4.07,4.9,1.11,1.23
SEA,LAD,LAD,SEA,-1.5,194,-212,688,682,0.12520473157415832,0.1275243081525804,247,250,0.044949954504094634,0.04674644727000748,16,24,0.0029117379435850774,0.004487658937920718,189,175,0.034394904458598725,0.032722513089005235,1416,1491,0.25768880800727934,0.2787958115183246,452,561,0.08225659690627843,0.10489902767389678,1323,1245,0.241,0.233,5495,5348,0.305,0.311,0.395,0.387,0.7,0.698,3.86,3.97,1453.2,1432.0,623,632,0.11337579617834395,0.11817501869857891,1.22,1.26,6097,6043,2169,2068,16.14,16.63,161,161,3.13,2.66,8.77,9.37,2.8,3.53,8.19,7.82,4.26,4.29,1.17,1.1
KAN,OAK,KAN,OAK,-1.5,116,-128,635,808,0.11767976278724981,0.14779586610572526,254,286,0.04707190511489993,0.052313883299798795,26,19,0.004818383988139363,0.003475397841595025,170,219,0.03150481838398814,0.04005853301627949,1257,1315,0.23295033358042994,0.24053411377355038,475,566,0.0880281690140845,0.10353027254435705,1301,1372,0.241,0.251,5396,5467,0.307,0.327,0.392,0.43,0.699,0.757,3.74,4.68,1427.2,1428.2,594,743,0.11008154188287621,0.1359063471739528,1.24,1.36,5960,6185,2117,2353,16.2,17.22,161,161,2.65,2.32,7.92,8.28,2.99,3.57,8.2,8.64,4.0,5.09,1.07,1.38
NYY,BAL,NYY,BAL,-1.5,127,-133,683,785,0.12688092141928292,0.14272727272727273,244,248,0.045327884079509564,0.04509090909090909,22,26,0.0040869403678246334,0.0047272727272727275,173,215,0.032138212892439164,0.03909090909090909,1434,1339,0.26639420397547836,0.24345454545454545,553,520,0.10273081924577374,0.09454545454545454,1234,1427,0.229,0.259,5383,5500,0.306,0.326,0.379,0.431,0.685,0.757,3.92,4.61,1430.2,1424.2,623,730,0.11573472041612484,0.13272727272727272,1.25,1.37,6045,6134,2041,2372,16.52,16.64,161,160,2.59,2.58,9.02,8.46,3.48,3.28,7.76,9.01,4.3,4.96,1.09,1.36
DET,BOS,DET,BOS,-1.5,136,-159,687,673,0.1272929405225125,0.12350890071572766,243,215,0.04502501389660923,0.03945678106074509,21,9,0.0038910505836575876,0.0016516792071939806,185,163,0.034278302760793036,0.029913745641402093,1367,1351,0.2532888641838058,0.24793540099100753,479,526,0.08875301093199926,0.09653147366489265,1302,1324,0.241,0.243,5397,5449,0.308,0.316,0.397,0.375,0.705,0.691,3.94,3.71,1428.1,1439.1,626,593,0.11599036501760238,0.10882730776289228,1.25,1.29,5997,6113,2142,2046,16.22,16.32,160,159,2.85,2.57,8.61,8.45,3.02,3.29,8.2,8.28,4.33,4.21,1.17,1.02
NYM,MIA,NYM,MIA,-1.5,136,-151,711,798,0.1312534613254569,0.14474877562125885,255,279,0.04707402621377146,0.050607654634500274,24,23,0.004430496584825549,0.0041719571920914205,149,199,0.02750599963079195,0.03609649918374751,1381,1283,0.2549381576518368,0.2327226555414475,553,500,0.10208602547535536,0.09069472156720479,1329,1371,0.245,0.249,5417,5513,0.322,0.317,0.384,0.416,0.706,0.733,4.03,4.62,1424.0,1434.1,637,737,0.11759276352224478,0.13368401959005985,1.32,1.3,6116,6148,2079,2293,16.87,16.6,160,161,2.5,2.57,8.73,8.05,3.5,3.14,8.4,8.6,4.49,5.01,0.94,1.25
ATL,PIT,PIT,ATL,-1.5,114,-124,733,641,0.13501565665868484,0.11990273101384212,244,283,0.0449438202247191,0.05293677515899738,23,21,0.004236507644133358,0.003928170594837262,197,152,0.03628660895192485,0.02843247287691732,1405,1307,0.2587953582611899,0.2444818555929667,527,469,0.09707128384601216,0.08772914328469884,1342,1261,0.247,0.236,5429,5346,0.32,0.304,0.409,0.382,0.729,0.686,4.38,3.76,1429.0,1422.2,695,595,0.12801620924663842,0.11129816685372242,1.31,1.22,6082,5950,2223,2042,16.68,16.27,160,160,2.67,2.79,8.85,8.27,3.32,2.97,8.45,7.98,4.62,4.06,1.24,0.96
TOR,TB,TB,TOR,-1.5,110,-123,717,670,0.1325078543707263,0.12565641410352588,253,221,0.04675660691184624,0.04144786196549137,14,13,0.00258732212160414,0.0024381095273818456,209,201,0.038625023101090374,0.03769692423105776,1416,1404,0.26168915172796153,0.2633158289572393,513,470,0.09480687488449455,0.08814703675918979,1304,1258,0.241,0.236,5411,5332,0.313,0.304,0.409,0.395,0.722,0.699,4.19,3.88,1429.0,1423.1,665,614,0.12289780077619664,0.11515378844711177,1.27,1.21,6050,5917,2212,2108,16.47,16.01,159,160,2.76,2.99,8.92,8.88,3.23,2.97,8.21,7.95,4.52,4.24,1.32,1.27
CLE,TEX,TEX,CLE,-1.5,162,-174,641,596,0.11925581395348837,0.11167322465804759,244,226,0.045395348837209304,0.04234588720254825,18,16,0.0033488372093023254,0.002997938916994566,168,170,0.03125581395348837,0.03185310099306727,1373,1335,0.2554418604651163,0.2501405283867341,525,459,0.09767441860465116,0.08600337268128162,1284,1224,0.239,0.229,5375,5337,0.311,0.295,0.385,0.373,0.696,0.668,3.69,3.45,1432.0,1434.0,587,549,0.10920930232558139,0.10286677908937605,1.26,1.17,6010,5899,2068,1992,16.51,15.83,159,159,2.62,2.91,8.63,8.38,3.3,2.88,8.07,7.68,4.03,3.74,1.06,1.07
SD,ARI,SD,ARI,-1.5,173,-195,617,773,0.11692249384119766,0.13975772916290002,199,313,0.03771082054197461,0.056590128367383835,16,29,0.0030320257722190637,0.005243174832760803,177,195,0.033541785105173395,0.035255830772012296,1415,1279,0.26814477923062346,0.2312420900379678,531,496,0.10062535531552018,0.08967636955342614,1186,1392,0.225,0.252,5277,5531,0.301,0.318,0.369,0.425,0.67,0.743,3.63,4.45,1424.0,1436.0,574,710,0.10877392457835891,0.12836738383655757,1.21,1.31,5940,6142,1948,2348,16.36,16.48,159,161,2.66,2.58,8.94,8.02,3.36,3.11,7.5,8.72,3.9,4.84,1.12,1.22
MIL,CIN,CIN,MIL,-1.5,160,-181,632,677,0.11819711988030672,0.1261177347242921,225,280,0.042079670843463625,0.05216095380029806,17,18,0.0031793529081728072,0.0033532041728763042,166,189,0.03104544604451094,0.03520864381520119,1422,1368,0.2659435197306901,0.2548435171385991,532,488,0.09949504394987843,0.09090909090909091,1232,1253,0.23,0.233,5347,5368,0.306,0.303,0.372,0.398,0.678,0.701,3.59,3.86,1433.0,1427.0,572,612,0.10697587432204975,0.11400894187779434,1.23,1.22,6008,5995,1989,2136,16.46,16.55,161,157,2.67,2.8,8.93,8.63,3.34,3.08,7.74,7.9,3.97,4.27,1.04,1.19
WAS,CWS,CWS,WAS,-1.5,180,-206,891,742,0.16150081566068517,0.13827804696235557,267,288,0.048395867319195214,0.05367126351099515,29,23,0.005256479970998732,0.004286246738725307,211,189,0.03824542323726663,0.03522176667909057,1240,1273,0.22475983324270438,0.2372344390607529,563,595,0.10204821460938916,0.11088333954528513,1481,1336,0.268,0.249,5517,5366,0.343,0.33,0.442,0.417,0.785,0.747,5.33,4.3,1414.1,1407.0,838,672,0.1518941453688599,0.12523294819232203,1.45,1.37,6247,6096,2439,2237,17.17,16.9,161,161,2.2,2.14,7.89,8.14,3.58,3.81,9.42,8.55,5.67,4.75,1.34,1.21
HOU,LAA,HOU,LAA,-1.5,132,-142,663,831,0.12337179010048381,0.15200292665081397,242,251,0.04503163379233346,0.04591183464422901,16,22,0.00297729810197246,0.004024144869215292,198,219,0.03684406401190919,0.04005853301627949,1495,1271,0.2781912914030517,0.2324858240351198,506,616,0.09415705247487904,0.11267605633802817,1251,1418,0.233,0.259,5374,5467,0.304,0.337,0.394,0.434,0.698,0.771,3.88,4.88,1433.0,1422.1,617,771,0.11481205805731298,0.14102798609840864,1.23,1.43,6005,6212,2119,2370,16.33,16.84,158,161,2.95,2.06,9.39,8.04,3.18,3.9,7.86,8.97,4.16,5.26,1.24,1.39
