date,n_games,auc,log_loss,brier,n_bets,pnl_units,roi_per_bet
2025-04-14,10,0.04166666666666666,0.7088439404178551,0.2559033870471089,0,0.0,0.0
2025-04-15,15,0.46296296296296297,0.8584550319667248,0.32706566495636696,0,0.0,0.0
2025-04-16,15,0.18181818181818182,0.5985916170798428,0.20372948474906252,1,-1.0,-1.0
2025-04-17,10,0.4285714285714286,0.614174938232017,0.21163700684861092,0,0.0,0.0
2025-04-18,14,0.375,0.7146489674676023,0.25931842797171706,0,0.0,0.0
2025-04-19,15,0.36111111111111105,0.5515243681091474,0.18111627059915467,1,-1.0,-1.0
2025-04-20,16,0.282051282051282,0.5471895713986692,0.17896691321764246,1,-1.0,-1.0
2025-04-21,8,0.39999999999999997,0.6697193743112377,0.23800304726755173,0,0.0,0.0
2025-04-22,15,0.42,0.879965662486918,0.3388697527294385,0,0.0,0.0
2025-04-23,14,0.4166666666666667,0.7174238399665477,0.2609432340994198,2,0.7,0.35
2025-04-24,9,0.4444444444444444,0.64104619052288,0.22424144353258368,0,0.0,0.0
2025-04-25,13,0.7777777777777778,0.6137252215643163,0.21142475768160668,0,0.0,0.0
2025-04-26,16,0.34545454545454546,0.6327395097546555,0.22013726230677794,1,-1.0,-1.0
2025-04-27,16,0.44999999999999996,0.6675291980463407,0.23710263198685744,0,0.0,0.0
2025-04-28,8,0.26666666666666666,0.6756979304089104,0.24073755672813263,2,1.0,0.5
2025-04-29,14,0.044444444444444446,0.6625665373140402,0.23444296305347323,0,0.0,0.0
2025-04-30,16,0.53125,0.7444384130847689,0.2743067296659395,1,1.9,1.9
2025-05-01,11,0.6111111111111112,0.9569827896714064,0.3755058957259562,2,3.5999999999999996,1.7999999999999998
2025-05-02,15,0.5,0.5695757954382042,0.18935545881176402,1,-1.0,-1.0
2025-05-03,14,0.625,0.6799829634731396,0.24338547286233417,4,1.6500000000000001,0.41250000000000003
2025-05-04,16,0.4666666666666667,0.6742489104985354,0.23992465117318137,0,0.0,0.0
2025-05-05,9,0.7857142857142857,0.5661628796846224,0.18816612125217233,0,0.0,0.0
2025-05-06,15,0.5277777777777778,0.5610493601113226,0.18545509878279048,2,-2.0,-1.0
2025-05-07,15,0.25,0.567789207526457,0.18856165792979313,1,-1.0,-1.0
2025-05-08,9,0.888888888888889,0.6318518843942695,0.22011244559033735,0,0.0,0.0
2025-05-09,15,0.4444444444444445,0.8049822493161213,0.3037570062509619,0,0.0,0.0
2025-05-10,15,0.22222222222222224,0.8239544987900373,0.3121895351290413,2,4.0,2.0
2025-05-11,15,0.5178571428571428,0.7244264713903071,0.2646439668797779,2,1.0,0.5
2025-05-12,11,0.4642857142857143,0.66024788319649,0.23383470356161265,1,1.9,1.9
2025-05-13,13,0.5714285714285714,0.7511089244060094,0.27809847658394304,0,0.0,0.0
2025-05-14,17,0.6285714285714286,0.6729158276342064,0.24008586326601766,4,4.4,1.1
2025-05-15,6,0.125,0.8647597476791745,0.33203453942661426,1,-1.0,-1.0
2025-05-16,15,0.5178571428571429,0.7461032397743576,0.2756213488246865,0,0.0,0.0
2025-05-17,15,0.5800000000000001,0.6433516530227242,0.22545436154519286,3,-0.5,-0.16666666666666666
2025-05-18,15,0.22,0.6616401861923346,0.23399522695769454,0,0.0,0.0
2025-05-19,12,0.48571428571428577,0.6873781258477458,0.24696080032314416,0,0.0,0.0
2025-05-20,14,0.4222222222222223,0.6605252915058691,0.23375412252608996,1,-1.0,-1.0
2025-05-21,14,0.375,0.7746885206399291,0.28940814972108314,3,3.0,1.0
2025-05-22,8,0.375,0.7348110671560415,0.26995997297130225,2,0.8500000000000001,0.42500000000000004
2025-05-23,15,0.4444444444444444,0.5784885744968825,0.19361651210725128,6,2.8499999999999996,0.4749999999999999
2025-05-24,16,0.49206349206349204,0.6959119204870191,0.2511026800562871,7,-3.85,-0.55
2025-05-25,15,0.5,0.6378611520033936,0.22275272463001985,5,-2.2,-0.44000000000000006
2025-05-26,12,0.5428571428571428,0.6822556626613179,0.24445299842688126,3,0.0,0.0
2025-05-27,15,0.8055555555555555,0.5529030788735417,0.18182667686715406,3,2.55,0.85
2025-05-28,14,0.11111111111111113,0.7157681194482333,0.2592264460636215,2,-2.0,-1.0
2025-05-29,4,0.33333333333333337,0.6020647979387616,0.20537378618706026,1,2.1,2.1
2025-05-31,4,,0.4514095844638529,0.13212055066339165,1,-1.0,-1.0
2025-06-01,4,0.5,0.7400090598904978,0.2723397121915764,0,0.0,0.0
2025-06-02,3,0.5,0.6329377042781107,0.22059088059574625,0,0.0,0.0
2025-06-03,15,0.6851851851851852,0.6645001443590072,0.23600076069610645,1,1.76,1.76
