Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Cover?,Fav SP,Dog SP,Fav SP Era,Dog SP ERA,Fav SP WHIP,Dog SP WHIP,Fav SP IP,Dog SP IP,Fav SP AB/IP,Dog SP AB/IP,Fav SP SO,Dog SP SO,Fav SP SO/AB,Dog SP SO/AB,Fav SP AVG,Dog SP AVG,Fav SP AB,Dog SP AB,Fav BP ERA,Dog BP ERA,Fav BP WHIP,Dog BP WHIP,Fav BP IP,Dog BP IP,Fav BP AB/IP,Dog BP AB/IP,Fav BP SO,Dog BP SO,Fav BP SO/AB,Dog BP SO/AB,Fav BP AB,Dog BP AB,Fav P runs,Dog P runs,Fav P runs/AB,Dog P runs/AB,Fav P doubles,Dog P doubles,Fav P doubles/AB,Dog P doubles/AB,Fav P triples,Dog P triples,Fav P triples/AB,Dog P triples/AB,Fav P homeRuns,Dog P homeRuns,Fav P homeruns/AB,Dog P homeruns/AB,Fav P strikeOuts,Dog P strikeOuts,Fav P Strikeouts/AB,Dog P Strikeouts/AB,Fav P baseOnBalls,Dog P baseOnBalls,Fav P baseonballs/AB,Dog P baseonballs/AB,Fav P hits,Dog P hits,Fav P avg,Dog P avg,Fav P atBats,Dog P atBats,Fav P obp,Dog P obp,Fav P slg,Dog P slg,Fav P ops,Dog P ops,Fav P era,Dog P era,Fav P inningsPitched,Dog P inningsPitched,Fav P earnedRuns,Dog P earnedRuns,Fav P earnedruns/AB,Dog P earnedruns/AB,Fav P whip,Dog P whip,Fav P battersFaced,Dog P battersFaced,Fav P totalBases,Dog P totalBases,Fav P pitchesPerInning,Dog P pitchesPerInning,Fav P gamesFinished,Dog P gamesFinished,Fav P strikeoutWalkRatio,Dog P strikeoutWalkRatio,Fav P strikeoutsPer9Inn,Dog P strikeoutsPer9Inn,Fav P walksPer9Inn,Dog P walksPer9Inn,Fav P hitsPer9Inn,Dog P hitsPer9Inn,Fav P homeRunsPer9,Dog P homeRunsPer9,Fav B runs,Dog B runs,Fav B runs/AB,Dog B runs/AB,Fav B doubles,Dog B doubles,Fav B doubles/AB,Dog B doubles/AB,Fav B triples,Dog B triples,Fav B triples/AB,Dog B triples/AB,Fav B homeRuns,Dog B homeRuns,Fav B homeruns/AB,Dog B homeruns/AB,Fav B strikeOuts,Dog B strikeOuts,Fav B Strikeouts/AB,Dog B Strikeouts/AB,Fav B baseOnBalls,Dog B baseOnBalls,Fav B BB/AB,Dog B BB/AB,Fav B hits,Dog B hits,Fav B avg,Dog B avg,Fav B atBats,Dog B atBats,Fav B obp,Dog B obp,Fav B slg,Dog B slg,Fav B ops,Dog B ops,Fav B stolenBases,Dog B stolenBases,Fav B totalBases,Dog B totalBases,Fav B rbi,Dog B rbi,Fav B rbi/AB,Dog B rbi/AB,model_prob,implied_prob,edge,bet,pnl
2025-08-25,KAN,CWS,KAN,CWS,0.0,-1.5,125.0,-138.0,0,FAV team pitching,Shane Smith,3.65,4.12,1.25,1.29,1165.0,107.0,3.784549356223176,3.7383177570093458,1028.0,102.0,0.2331594465865275,0.255,0.24,0.228,4409.0,400.0,3.65,4.16,1.25,1.38,1165.0,1026.1,3.784549356223176,3.8173667283890462,1028.0,892.0,0.2331594465865275,0.2277252999744702,4409.0,3917.0,509.0,584.0,0.1154456792923565,0.1352791290247857,199.0,235.0,0.0451349512361079,0.054435950891823,21.0,19.0,0.0047629848038103,0.0044012045401899,135.0,144.0,0.0306191880244953,0.0333564975677553,1028.0,994.0,0.2331594465865275,0.2302524901552003,392.0,477.0,0.0889090496711272,0.1104933981931897,1060.0,1073.0,0.24,0.249,4409.0,4317.0,0.307,0.33,0.387,0.412,0.694,0.742,3.65,4.16,1165.0,1133.1,472.0,524.0,0.107053753685643,0.1213805883715543,1.25,1.37,4875.0,4912.0,1706.0,1778.0,16.19,16.79,131.0,130.0,2.62,2.08,7.94,7.89,3.03,3.79,8.19,8.52,1.04,1.14,506.0,512.0,0.1154460415240702,0.1189591078066914,231.0,195.0,0.0527036276522929,0.0453066914498141,19.0,9.0,0.0043349304129591,0.0020910780669144,126.0,129.0,0.028747433264887,0.0299721189591078,896.0,1079.0,0.2044261921058635,0.2506970260223048,345.0,414.0,0.0787132101300479,0.0961895910780669,1083.0,1003.0,0.247,0.233,4383.0,4304.0,0.308,0.303,0.395,0.372,0.703,0.675,99.0,77.0,1730.0,1603.0,497.0,494.0,0.1133926534337212,0.1147769516728624,0.815336492732726,0.4444444444444444,0.3708920482882816,1,-1.0
2025-08-26,CHC,SF,CHC,SF,0.0,-1.5,128.0,-137.0,0,FAV team pitching,Justin Verlander,3.76,4.64,1.19,1.44,1163.2,110.2,3.75687757909216,3.992740471869329,1002.0,99.0,0.2292906178489702,0.225,0.24,0.277,4370.0,440.0,3.76,3.65,1.19,1.27,1163.2,1048.0,3.75687757909216,3.776717557251908,1002.0,996.0,0.2292906178489702,0.2516422435573522,4370.0,3958.0,522.0,540.0,0.1194508009153318,0.1227830832196452,182.0,233.0,0.0416475972540045,0.0529786266484765,13.0,17.0,0.002974828375286,0.0038653933606184,159.0,114.0,0.0363844393592677,0.0259208731241473,1002.0,1095.0,0.2292906178489702,0.2489768076398363,340.0,411.0,0.0778032036613272,0.0934515688949522,1050.0,1079.0,0.24,0.245,4370.0,4398.0,0.299,0.315,0.397,0.384,0.696,0.699,3.76,3.74,1163.2,1158.2,486.0,481.0,0.1112128146453089,0.1093678944974988,1.19,1.29,4804.0,4914.0,1735.0,1688.0,15.78,16.35,131.0,130.0,2.95,2.66,7.75,8.51,2.63,3.19,8.12,8.38,1.23,0.89,648.0,530.0,0.1452263558942178,0.1220354593598894,216.0,196.0,0.0484087852980726,0.0451300944047893,23.0,24.0,0.0051546391752577,0.0055261340087497,178.0,128.0,0.0398924249215598,0.0294727147133317,1014.0,1132.0,0.2272523532048408,0.2606493207460281,444.0,444.0,0.0995069475571492,0.1022334791618696,1112.0,1005.0,0.249,0.231,4462.0,4343.0,0.319,0.308,0.428,0.376,0.747,0.684,133.0,60.0,1908.0,1633.0,632.0,504.0,0.1416405199462124,0.1160488141837439,0.7349079833429428,0.43859649122807015,0.2963114921148727,1,-1.0
2025-08-26,SEA,SD,SD,SEA,1.0,-1.5,183.0,-207.0,1,Luis Castillo,DOG team pitching,3.57,3.57,1.27,1.19,146.1,1167.0,3.887748117727584,3.694087403598972,127.0,1134.0,0.2235915492957746,0.2630480167014614,0.257,0.223,568.0,4311.0,4.01,3.57,1.26,1.19,1046.0,1167.0,3.779158699808796,3.694087403598972,1004.0,1134.0,0.2539843157095877,0.2630480167014614,3953.0,4311.0,581.0,500.0,0.1285113912851139,0.1159823706796567,202.0,170.0,0.0446803804468038,0.0394340060310832,15.0,15.0,0.0033178500331785,0.0034794711203897,161.0,136.0,0.0356115903561159,0.0315472048248666,1131.0,1134.0,0.2501658925016589,0.2630480167014614,399.0,430.0,0.0882548108825481,0.0997448387845047,1101.0,962.0,0.244,0.223,4521.0,4311.0,0.311,0.299,0.402,0.364,0.713,0.663,3.96,3.57,1192.1,1167.0,524.0,463.0,0.1159035611590356,0.1073996752493621,1.26,1.19,5038.0,4855.0,1816.0,1570.0,16.23,16.2,132.0,130.0,2.83,2.64,8.54,8.75,3.01,3.32,8.31,7.42,1.22,1.05,606.0,554.0,0.134996658498552,0.1259663483401546,181.0,213.0,0.0403207841390064,0.0484311050477489,7.0,16.0,0.0015593673423925,0.003638017280582,188.0,115.0,0.0418801514813989,0.0261482492041837,1182.0,923.0,0.2633103141011361,0.2098681218735789,443.0,426.0,0.0986856760971263,0.0968622100954979,1085.0,1104.0,0.242,0.251,4489.0,4398.0,0.318,0.321,0.411,0.385,0.729,0.706,132.0,88.0,1844.0,1694.0,581.0,519.0,0.1294274894185787,0.1180081855388813,0.6617470705327178,0.35335689045936397,0.3083901800733538,1,1.83
2025-08-26,STL,PIT,STL,PIT,0.0,-1.5,175.0,-190.0,0,Andre Pallante,DOG team pitching,5.17,3.96,1.41,1.22,134.0,1164.2,3.94776119402985,3.7691118364542175,92.0,1034.0,0.1739130434782608,0.2356426618049225,0.268,0.238,529.0,4388.0,4.2,3.96,1.3,1.22,1030.2,1164.2,3.846825859056494,3.7691118364542175,878.0,1034.0,0.2215493313146606,0.2356426618049225,3963.0,4388.0,611.0,544.0,0.1360195903829029,0.1239744758432087,218.0,246.0,0.0485307212822796,0.0560619872379216,30.0,20.0,0.0066785396260017,0.0045578851412944,134.0,127.0,0.0298308103294746,0.0289425706472196,970.0,1034.0,0.2159394479073909,0.2356426618049225,363.0,379.0,0.0808103294746215,0.0863719234275296,1159.0,1043.0,0.258,0.238,4492.0,4388.0,0.316,0.305,0.409,0.39,0.725,0.695,4.31,3.96,1164.2,1164.2,558.0,512.0,0.1242208370436331,0.1166818596171376,1.31,1.22,4955.0,4881.0,1839.0,1710.0,15.99,16.26,130.0,131.0,2.67,2.73,7.5,7.99,2.81,2.93,8.96,8.06,1.04,0.98,580.0,473.0,0.1303663744661721,0.1081142857142857,220.0,194.0,0.0494493144526859,0.0443428571428571,5.0,18.0,0.0011238480557428,0.0041142857142857,125.0,96.0,0.0280962013935715,0.0219428571428571,1037.0,1140.0,0.2330860867610699,0.2605714285714285,398.0,423.0,0.0894583052371319,0.0966857142857142,1109.0,1024.0,0.249,0.234,4449.0,4375.0,0.317,0.306,0.385,0.352,0.702,0.658,77.0,101.0,1714.0,1542.0,552.0,457.0,0.1240728253540121,0.1044571428571428,0.7110302633968308,0.36363636363636365,0.3473938997604672,1,-1.0
2025-08-26,TEX,LAA,LAA,TEX,1.0,-1.5,199.0,-229.0,1,Patrick Corbin,DOG team pitching,4.61,4.67,1.41,1.43,123.0,1163.0,3.886178861788618,3.83920894239037,101.0,1036.0,0.2112970711297071,0.232026875699888,0.276,0.26,478.0,4465.0,3.29,4.67,1.15,1.43,1057.1,1163.0,3.693122694163277,3.83920894239037,996.0,1036.0,0.2551229508196721,0.232026875699888,3904.0,4465.0,487.0,652.0,0.1111364673664993,0.1460246360582306,179.0,187.0,0.040848927430397,0.0418812989921612,12.0,19.0,0.002738475581926,0.0042553191489361,140.0,179.0,0.0319488817891373,0.0400895856662933,1097.0,1036.0,0.2503423094477408,0.232026875699888,396.0,498.0,0.09036969420356,0.1115341545352743,997.0,1160.0,0.228,0.26,4382.0,4465.0,0.296,0.336,0.37,0.43,0.666,0.766,3.43,4.67,1180.1,1163.0,450.0,604.0,0.1026928343222273,0.1352743561030235,1.18,1.43,4867.0,5059.0,1620.0,1922.0,15.83,16.81,131.0,131.0,2.77,2.08,8.36,8.02,3.02,3.85,7.6,8.98,1.07,1.39,546.0,568.0,0.1227794018439397,0.1298285714285714,200.0,179.0,0.0449741398695749,0.0409142857142857,12.0,14.0,0.0026984483921744,0.0032,142.0,185.0,0.0319316393073982,0.0422857142857142,1090.0,1285.0,0.2451090622891837,0.2937142857142857,399.0,398.0,0.0897234090398021,0.0909714285714285,1040.0,1010.0,0.234,0.231,4447.0,4375.0,0.303,0.304,0.38,0.405,0.683,0.709,115.0,64.0,1690.0,1772.0,524.0,549.0,0.1178322464582864,0.1254857142857142,0.810807722523238,0.33444816053511706,0.4763595619881209,1,1.99
2025-08-26,BOS,BAL,BOS,BAL,0.0,-1.5,152.0,-165.0,1,FAV team pitching,DOG team pitching,3.72,4.69,1.29,1.38,1182.0,1157.0,3.779187817258883,3.8764044943820224,1088.0,1078.0,0.2435639131408103,0.2403567447045708,0.243,0.261,4467.0,4485.0,3.72,4.69,1.29,1.38,1182.0,1157.0,3.779187817258883,3.8764044943820224,1088.0,1078.0,0.2435639131408103,0.2403567447045708,4467.0,4485.0,556.0,643.0,0.1244683232594582,0.1433667781493868,168.0,209.0,0.0376091336467427,0.0465997770345596,8.0,22.0,0.0017909111260353,0.0049052396878483,136.0,177.0,0.0304454891426012,0.0394648829431438,1088.0,1078.0,0.2435639131408103,0.2403567447045708,435.0,424.0,0.0973807924781732,0.0945373467112597,1087.0,1170.0,0.243,0.261,4467.0,4485.0,0.317,0.328,0.376,0.436,0.693,0.764,3.72,4.69,1182.0,1157.0,488.0,603.0,0.1092455786881576,0.134448160535117,1.29,1.38,5021.0,5002.0,1679.0,1954.0,16.3,16.63,130.0,130.0,2.5,2.54,8.28,8.39,3.31,3.3,8.28,9.1,1.04,1.38,657.0,570.0,0.1450971731448763,0.1296338412554014,267.0,210.0,0.0589664310954063,0.0477598362519899,21.0,16.0,0.0046378091872791,0.0036388446668182,157.0,159.0,0.034673144876325,0.0361610188765067,1166.0,1137.0,0.2575088339222615,0.2585853991357744,438.0,368.0,0.0967314487632508,0.0836934273368205,1143.0,1060.0,0.252,0.241,4528.0,4397.0,0.325,0.307,0.425,0.405,0.75,0.712,112.0,91.0,1923.0,1779.0,627.0,539.0,0.1384717314487632,0.1225835797134409,0.8202694771178387,0.3968253968253968,0.4234440802924419,1,1.52
2025-08-26,HOU,COL,COL,HOU,1.0,-1.5,-161.0,153.0,0,Hunter Brown,DOG team pitching,2.36,6.0,1.01,1.61,149.0,1142.1,3.5369127516778525,4.044304351632957,170.0,869.0,0.3225806451612903,0.1881359601645378,0.199,0.3,527.0,4619.0,4.14,6.0,1.26,1.61,1017.2,1142.1,3.782933543059378,4.044304351632957,1059.0,869.0,0.2752079002079002,0.1881359601645378,3848.0,4619.0,541.0,840.0,0.1236571428571428,0.1818575449231435,205.0,281.0,0.0468571428571428,0.0608356787183373,15.0,28.0,0.0034285714285714,0.0060619181641047,158.0,191.0,0.0361142857142857,0.0413509417622862,1229.0,869.0,0.2809142857142857,0.1881359601645378,406.0,454.0,0.0928,0.0982896730894132,1026.0,1384.0,0.235,0.3,4375.0,4619.0,0.305,0.365,0.397,0.497,0.702,0.862,3.91,6.0,1166.2,1142.1,507.0,762.0,0.1158857142857142,0.1649707728945659,1.23,1.61,4893.0,5187.0,1735.0,2294.0,16.36,17.06,128.0,131.0,3.03,1.91,9.48,6.85,3.13,3.58,7.91,10.9,1.22,1.5,560.0,491.0,0.126012601260126,0.1117941712204007,200.0,213.0,0.045004500450045,0.0484972677595628,11.0,32.0,0.0024752475247524,0.0072859744990892,145.0,133.0,0.0326282628262826,0.0302823315118397,1038.0,1217.0,0.2335733573357335,0.2770947176684881,381.0,327.0,0.0857335733573357,0.0744535519125683,1127.0,1048.0,0.254,0.239,4444.0,4392.0,0.318,0.296,0.401,0.393,0.719,0.689,64.0,67.0,1784.0,1724.0,535.0,478.0,0.1203870387038703,0.1088342440801457,0.665592207948977,0.6168582375478927,0.04873397040108429,1,-1.0
2025-08-26,PHI,NYM,PHI,NYM,0.0,-1.5,155.0,-173.0,1,FAV team pitching,Sean Manaea,3.81,5.15,1.23,1.12,1163.1,36.2,3.8191041183045313,3.922651933701657,1207.0,45.0,0.2717244484466456,0.3169014084507042,0.244,0.232,4442.0,142.0,3.81,3.78,1.23,1.32,1163.1,1123.8,3.8191041183045313,3.783591386367681,1207.0,1074.0,0.2717244484466456,0.2525870178739416,4442.0,4252.0,529.0,549.0,0.1190904997748761,0.124943104233045,202.0,201.0,0.0454750112561909,0.0457441966317705,13.0,20.0,0.0029266096352994,0.004551661356395,143.0,118.0,0.0321927059882935,0.0268548020027309,1207.0,1119.0,0.2717244484466456,0.2546654528903049,353.0,466.0,0.0794687077892841,0.1060537096040054,1083.0,1054.0,0.244,0.24,4442.0,4394.0,0.304,0.32,0.392,0.375,0.696,0.695,3.81,3.82,1163.1,1160.0,493.0,492.0,0.1109860423232778,0.111970869367319,1.23,1.31,4875.0,4972.0,1740.0,1649.0,16.14,16.95,129.0,130.0,3.42,2.4,9.34,8.68,2.73,3.62,8.38,8.18,1.11,0.92,620.0,606.0,0.1391694725028058,0.137915339098771,218.0,215.0,0.0489337822671156,0.0489303595812471,18.0,17.0,0.004040404040404,0.0038689121529358,160.0,176.0,0.0359147025813692,0.0400546199362767,1047.0,1048.0,0.235016835016835,0.2385070550751024,431.0,460.0,0.0967452300785634,0.1046882111970869,1144.0,1086.0,0.257,0.247,4455.0,4394.0,0.327,0.325,0.422,0.424,0.749,0.749,108.0,108.0,1878.0,1863.0,595.0,591.0,0.1335578002244669,0.1345015930814747,0.21216183206201533,0.39215686274509803,-0.1799950306830827,0,0.0
2025-08-26,TOR,MIN,MIN,TOR,1.0,-1.5,118.0,-133.0,0,Chris Bassitt,Mitch Keller,4.18,4.34,1.34,1.31,144.1,145.0,3.95558639833449,3.937931034482759,142.0,116.0,0.2491228070175438,0.2031523642732049,0.267,0.259,570.0,571.0,4.19,3.91,1.25,1.21,1027.1,1019.2,3.744523415441535,3.745094191522763,1027.0,918.0,0.2670306812272491,0.2405030128373068,3846.0,3817.0,589.0,604.0,0.1333786231884058,0.1359441818591042,198.0,218.0,0.0448369565217391,0.0490659464325905,12.0,11.0,0.0027173913043478,0.0024758046365068,175.0,153.0,0.0396286231884058,0.0344361917623227,1169.0,1097.0,0.2647192028985507,0.2469052442043664,421.0,363.0,0.0953351449275362,0.0817015530047265,1053.0,1135.0,0.238,0.255,4416.0,4443.0,0.312,0.316,0.408,0.413,0.72,0.729,4.19,4.39,1171.2,1153.0,546.0,563.0,0.123641304347826,0.1267161827593968,1.26,1.3,4952.0,4925.0,1800.0,1834.0,16.41,16.59,131.0,130.0,2.78,3.02,8.98,8.56,3.23,2.83,8.09,8.86,1.34,1.19,650.0,541.0,0.1442521083000444,0.1234596074851665,238.0,202.0,0.0528184642698624,0.0460976722957553,9.0,16.0,0.0019973368841544,0.0036513007759014,156.0,152.0,0.0346205059920106,0.0346873573710634,884.0,1086.0,0.1961828672880603,0.2478320401643085,434.0,395.0,0.0963160230803373,0.0901414879050661,1202.0,1037.0,0.267,0.237,4506.0,4382.0,0.337,0.309,0.427,0.394,0.764,0.703,66.0,66.0,1926.0,1727.0,626.0,516.0,0.1389258766089658,0.1177544500228206,0.8760584582467601,0.45871559633027525,0.41734286191648484,1,-1.0
2025-08-26,CLE,TB,TB,CLE,1.0,-1.5,182.0,-209.0,1,Parker Messick,Tanner Gordon,1.35,7.11,1.2,1.67,6.2,44.1,4.032258064516129,4.353741496598639,6.0,27.0,0.24,0.140625,0.28,0.333,25.0,192.0,3.98,5.96,1.32,1.61,1148.8,1098.0,3.776114206128134,4.031876138433516,1075.0,842.0,0.247810050714615,0.1901965213462841,4338.0,4427.0,560.0,551.0,0.1283520513408205,0.1263761467889908,202.0,186.0,0.0462984185193674,0.0426605504587156,18.0,8.0,0.0041256016502406,0.0018348623853211,144.0,176.0,0.0330048132019252,0.0403669724770642,1081.0,1122.0,0.2477652991061196,0.2573394495412844,459.0,372.0,0.1052028420811368,0.0853211009174312,1065.0,1036.0,0.244,0.238,4363.0,4360.0,0.32,0.304,0.398,0.405,0.718,0.709,3.97,3.97,1155.0,1159.2,509.0,512.0,0.1166628466651386,0.1174311926605504,1.32,1.21,4920.0,4818.0,1735.0,1766.0,16.71,15.88,129.0,130.0,2.36,3.02,8.42,8.71,3.58,2.89,8.3,8.04,1.12,1.37,501.0,593.0,0.1175228712174525,0.1337694563501015,189.0,199.0,0.0443349753694581,0.04489059327769,14.0,14.0,0.0032840722495894,0.0031581321903902,132.0,148.0,0.0309641097818437,0.0333859688698398,1073.0,1120.0,0.2517006802721088,0.2526505752312204,401.0,384.0,0.0940652122918132,0.0866230543649898,955.0,1117.0,0.224,0.252,4263.0,4433.0,0.296,0.315,0.368,0.403,0.664,0.718,101.0,172.0,1568.0,1788.0,482.0,561.0,0.113065916021581,0.1265508684863523,0.26337524641469184,0.3546099290780142,-0.09123468266332235,0,0.0
