Date,Away Team,Away Starter,Home Team,Home Starter
2025-05-28,Los Angeles Dodgers,Clayton Kershaw,Cleveland Guardians,Kolby Allard
2025-05-28,San Francisco Giants,Landen Roupp,Detroit Tigers,Jackson Jobe
2025-05-28,Minnesota Twins,Pablo López,Tampa Bay Rays,Drew Rasmussen
2025-05-28,Chicago White Sox,Shane Smith,New York Mets,Griffin Canning
2025-05-28,Boston Red Sox,Brayan Bello,Milwaukee Brewers,Freddy Peralta
2025-05-28,Athletics,Luis Severino,Houston Astros,Lance McCullers Jr.
2025-05-28,Pittsburgh Pirates,Paul Skenes,Arizona Diamondbacks,Zac Gallen
2025-05-28,Miami Marlins,Sandy Alcantara,San Diego Padres,Kyle Hart
2025-05-28,St. Louis Cardinals,Miles Mikolas,Baltimore Orioles,Cade Povich
2025-05-28,Atlanta Braves,AJ Smith-Shawver,Philadelphia Phillies,Zack Wheeler
2025-05-28,Cincinnati Reds,Hunter Greene,Kansas City Royals,Noah Cameron
2025-05-28,Colorado Rockies,Tanner Gordon,Chicago Cubs,Matthew Boyd
2025-05-28,Toronto Blue Jays,Paxton Schultz,Texas Rangers,Tyler Mahle
2025-05-28,New York Yankees,Clarke Schmidt,Los Angeles Angels,Yusei Kikuchi
2025-05-28,Washington Nationals,Trevor Williams,Seattle Mariners,George Kirby
