Date,Fav Team,Dog Team,Away,Home,Fav Home?,Fav Moneyline Odds,Dog Moneyline Odds,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home Spread Odds,Away Score,Home Score,Home/Away +/-,Favorite Starting Pitcher Name,Underdog Starting Pitcher Name,Favorite Starting Pitcher Games Started,Underdog Starting Pitcher Games Started,Favorite Starting Pitcher Innings Pitched,Underdog Starting Pitcher Innings Pitched,Favorite Starting Pitcher Wins,Underdog Starting Pitcher Wins,Favorite Starting Pitcher Losses,Underdog Starting Pitcher Losses,Favorite Starting Pitcher ERA,Underdog Starting Pitcher ERA,Favorite Starting Pitcher WHIP,Underdog Starting Pitcher WHIP,Favorite Starting Pitcher Strikeouts,Underdog Starting Pitcher Strikeouts,Favorite Starting Pitcher Walks,Underdog Starting Pitcher Walks,Favorite Starting Pitcher K/9,Underdog Starting Pitcher K/9,Favorite Starting Pitcher BB/9,Underdog Starting Pitcher BB/9,Favorite Starting Pitcher H/9,Underdog Starting Pitcher H/9,Favorite Starting Pitcher K/BB Ratio,Underdog Starting Pitcher K/BB Ratio,Favorite Starting Pitcher Hits Allowed,Underdog Starting Pitcher Hits Allowed,Favorite Starting Pitcher Runs Allowed,Underdog Starting Pitcher Runs Allowed,Favorite Starting Pitcher Earned Runs,Underdog Starting Pitcher Earned Runs,Favorite Starting Pitcher Home Runs Allowed,Underdog Starting Pitcher Home Runs Allowed,Favorite Starting Pitcher Batters Faced,Underdog Starting Pitcher Batters Faced,Favorite Starting Pitcher Opponent Batting Average,Underdog Starting Pitcher Opponent Batting Average,Favorite Starting Pitcher Pitch Count,Underdog Starting Pitcher Pitch Count,Favorite Starting Pitcher Strikes,Underdog Starting Pitcher Strikes,Favorite Starting Pitcher Wild Pitches,Underdog Starting Pitcher Wild Pitches
2025-03-18,LAD,CHC,LAD,CHC,0,,,,,,4,1,3,,1,,,4,1,-3,Yoshinobu Yamamoto,Shota Imanaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,LAD,CHC,LAD,CHC,0,,,,,,6,3,3,,1,,,6,3,-3,Justin Steele,Roki Sasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,NYY,MIL,MIL,NYY,1,,,,,,4,2,2,,1,,,2,4,2,Freddy Peralta,Carlos Rodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,BAL,TOR,BAL,TOR,0,,,,,,12,2,10,,1,,,12,2,-10,Zach Eflin,Jose Berrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,PHI,WSH,PHI,WSH,0,,,,,,7,3,4,,1,,,7,3,-4,Zack Wheeler,MacKenzie Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,BOS,TEX,BOS,TEX,0,,,,,,5,2,3,,1,,,5,2,-3,Nathan Eovaldi,Garrett Crochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,MIA,PIT,PIT,MIA,1,,,,,,5,4,1,,1,,,4,5,1,Paul Skenes,Sandy Alcantara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,SF,CIN,SF,CIN,0,,,,,,6,4,2,,1,,,6,4,-2,Hunter Greene,Logan Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,LAD,DET,DET,LAD,1,,,,,,5,4,1,,1,,,4,5,1,Tarik Skubal,Blake Snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,HOU,NYM,NYM,HOU,1,,,,,,3,1,2,,1,,,1,3,2,Framber Valdez,Clay Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,SD,ATL,ATL,SD,1,,,,,,7,4,3,,1,,,4,7,3,Michael King,Chris Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,STL,MIN,MIN,STL,1,,,,,,5,3,2,,1,,,3,5,2,Sonny Gray,Pablo Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,CLE,KC,CLE,KC,0,,,,,,7,4,3,,1,,,7,4,-3,Ben Lively,Cole Ragans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,CHW,LAA,LAA,CHW,1,,,,,,8,1,7,,1,,,1,8,7,Sean Burke,Yusei Kikuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,SEA,OAK,OAK,SEA,1,,,,,,4,2,2,,1,,,2,4,2,Logan Gilbert,Luis Severino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,TOR,BAL,BAL,TOR,1,,,,,,8,2,6,,1,,,2,8,6,Kevin Gausman,Charlie Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,CHC,ARI,CHC,ARI,0,,,,,,10,6,4,,1,,,10,6,-4,Zac Gallen,Justin Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,PIT,MIA,PIT,MIA,0,,,,,,4,3,1,,1,,,4,3,-1,Mitch Keller,Connor Gillispie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,TB,COL,COL,TB,1,,,,,,3,2,1,,1,,,2,3,1,Ryan Pepiot,Kyle Freeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,LAA,CHW,LAA,CHW,0,,,,,,1,0,1,,1,,,1,0,-1,Jose Soriano,Jonathan Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,STL,MIN,MIN,STL,1,,,,,,5,1,4,,1,,,1,5,4,Erick Fedde,Joe Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,TEX,BOS,BOS,TEX,1,,,,,,4,1,3,,1,,,1,4,3,Jack Leiter,Tanner Houck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,NYM,HOU,NYM,HOU,0,,,,,,3,1,2,,1,,,3,1,-2,Tylor Megill,Hunter Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,SD,ATL,ATL,SD,1,,,,,,4,3,1,,1,,,3,4,1,Dylan Cease,Reynaldo Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,ARI,CHC,CHC,ARI,1,,,,,,8,1,7,,1,,,1,8,7,Merrill Kelly,Jameson Taillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,OAK,SEA,OAK,SEA,0,,,,,,7,0,7,,1,,,7,0,-7,Luis Castillo,Jeffrey Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,LAD,DET,DET,LAD,1,,,,,,8,5,3,,1,,,5,8,3,Yoshinobu Yamamoto,Jack Flaherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,NYY,MIL,MIL,NYY,1,,,,,,20,9,11,,1,,,9,20,11,Nestor Cortes,Max Fried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,TEX,BOS,BOS,TEX,1,,,,,,4,3,1,,1,,,3,4,1,Jack Leiter,Tanner Houck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,COL,TB,COL,TB,0,,,,,,2,1,1,,1,,,2,1,-1,Antonio Senzatela,Zack Littell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,MIA,PIT,PIT,MIA,1,,,,,,5,4,1,,1,,,4,5,1,Valente Bellozo,Bailey Falter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,CIN,SF,SF,CIN,1,,,,,,3,2,1,,1,,,2,3,1,Nick Lodolo,Justin Verlander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,KC,CLE,CLE,KC,1,,,,,,4,3,1,,1,,,3,4,1,Gavin Williams,Seth Lugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,HOU,NYM,NYM,HOU,1,,,,,,2,1,1,,1,,,1,2,1,Hunter Brown,Tylor Megill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,SD,ATL,ATL,SD,1,,,,,,1,0,1,,1,,,0,1,1,Dylan Cease,Reynaldo Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,PHI,WSH,PHI,WSH,0,,,,,,11,6,5,,1,,,11,6,-5,Jesus Luzardo,Jake Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,BAL,TOR,BAL,TOR,0,,,,,,9,5,4,,1,,,9,5,-4,Max Scherzer,Dean Kremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,TOR,BAL,BAL,TOR,1,,,,,,3,1,2,,1,,,1,3,2,Tomoyuki Sugano,Chris Bassitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,MIA,PIT,PIT,MIA,1,,,,,,3,2,1,,1,,,2,3,1,Max Meyer,Andrew Heaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,CHC,ARI,CHC,ARI,0,,,,,,4,3,1,,1,,,4,3,-1,Brandon Pfaadt,Shota Imanaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,LAD,DET,DET,LAD,1,,,,,,7,3,4,,1,,,3,7,4,Roki Sasaki,Reese Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,OAK,SEA,OAK,SEA,0,,,,,,4,2,2,,1,,,4,2,-2,Bryce Miller,Osvaldo Bido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-30,NYY,MIL,MIL,NYY,1,,,,,,12,3,9,,1,,,3,12,9,Aaron Civale,Marcus Stroman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
