Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
2025-08-12,KAN,WAS,WAS,KAN,1,-1.5,115,-119,,,,,,-119,115,,,,Michael Wacha,Mitchell Parker,3.36,5.43,1.15,1.48,131.1,122.2,3.768115942028986,3.993453355155483,98.0,81.0,0.1983805668016194,0.165983606557377,0.235,0.279,494.0,488.0,3.66,5.29,1.25,1.43,927.9,913.9,3.775191292165104,3.8997702155596894,845.0,819.0,0.241221809877248,0.2297979797979798,3503.0,3564.0,457,648,0.1143357518138604,0.1599210266535044,183,198,0.0457843382536902,0.0488647581441263,18,26,0.0045033775331498,0.006416584402764,121,146,0.0302727045283962,0.0360315893385982,943,900,0.2359269452089066,0.2221125370187561,359,395,0.0898173630222667,0.0974827245804541,949,1099,0.237,0.271,3997,4052,0.304,0.343,0.383,0.441,0.687,0.784,3.62,5.31,1059.0,1036.1,426,612,0.1065799349512134,0.1510365251727542,1.24,1.44,4424,4575,1531,1787,16.12,17.06,119,118,2.63,2.28,8.01,7.82,3.05,3.43,8.07,9.54,3.88,5.63,1.03,1.27,441,502,0.1103603603603603,0.1266397578203834,210,194,0.0525525525525525,0.0489404641775983,19,17,0.0047547547547547,0.0042885973763874,105,113,0.0262762762762762,0.0285065590312815,819,929,0.2049549549549549,0.2343592330978809,297,339,0.0743243243243243,0.0855196770938446,977,966,0.244,0.244,3996,3964,0.303,0.309,0.385,0.387,0.688,0.696,92,99,1540,1533,434,483,0.1086086086086086,0.1218466195761856
2025-08-12,CLE,MIA,MIA,CLE,1,-1.5,162,-166,,,,,,-166,162,,,,Logan Allen,Janson Junk,3.96,3.97,1.37,1.12,113.2,70.1,3.807420494699647,3.7945791726105567,87.0,50.0,0.2018561484918793,0.18796992481203,0.26,0.267,431.0,266.0,3.81,4.56,1.29,1.32,928.0,977.0,3.747844827586207,3.8321392016376654,900.0,881.0,0.2587694077055779,0.235309829059829,3478.0,3744.0,485,565,0.1240726528523919,0.1408977556109725,175,212,0.0447684829879764,0.0528678304239401,13,19,0.0033256587362496,0.0047381546134663,126,129,0.032233307751343,0.0321695760598503,987,931,0.2524942440521872,0.2321695760598503,412,369,0.105397799948836,0.0920199501246882,938,1003,0.24,0.25,3909,4010,0.316,0.319,0.388,0.409,0.704,0.728,3.83,4.52,1041.2,1047.1,443,526,0.1133282169352775,0.1311720698254364,1.3,1.31,4410,4476,1517,1640,16.61,16.53,116,118,2.4,2.52,8.53,8.0,3.56,3.17,8.1,8.62,4.19,4.86,1.09,1.11,466,505,0.1211333506628541,0.1255906490922656,178,196,0.0462698206394593,0.0487440935090773,12,20,0.0031193137509747,0.0049738870927629,123,113,0.0319729659474915,0.0281024620741109,957,930,0.2487652716402391,0.2312857498134792,375,356,0.097478554717962,0.0885351902511813,879,1011,0.228,0.251,3847,4021,0.301,0.315,0.377,0.394,0.678,0.709,88,97,1450,1586,448,486,0.116454380036392,0.1208654563541407
2025-08-12,OAK,TB,TB,OAK,1,-1.5,172,-185,,,,,,-185,172,,,,Jacob Lopez,Shane Baz,3.59,4.92,1.25,1.34,77.2,128.0,3.8082901554404143,3.8203125,94.0,133.0,0.3197278911564626,0.2719836400817996,0.228,0.254,294.0,489.0,5.02,3.77,1.4,1.2,993.9,933.2,3.854512526411108,3.744106300900128,883.0,876.0,0.2304881232054293,0.2507155123068116,3831.0,3494.0,637,495,0.1544242424242424,0.1242781822746673,222,169,0.0538181818181818,0.0424303288978157,13,8,0.0031515151515151,0.0020085362791865,173,155,0.0419393939393939,0.0389153904092392,977,1009,0.2368484848484848,0.2533266382124027,427,345,0.1035151515151515,0.0866181270399196,1059,946,0.257,0.238,4125,3983,0.332,0.305,0.443,0.401,0.775,0.706,4.92,3.91,1071.1,1061.2,586,461,0.142060606060606,0.1157419030881245,1.39,1.22,4675,4408,1826,1596,17.29,15.89,121,119,2.29,2.92,8.21,8.55,3.59,2.92,8.9,8.02,5.35,4.2,1.45,1.31,536,538,0.1294998791978739,0.1329379787496911,212,180,0.0512201014737859,0.0444773906597479,16,13,0.0038656680357574,0.0032122559920929,165,134,0.0398647016187484,0.0331109463800345,1032,1018,0.2493355883063542,0.2515443538423523,379,353,0.0915680115970041,0.0872251050160612,1049,1018,0.253,0.252,4139,4047,0.319,0.314,0.432,0.402,0.751,0.716,64,151,1788,1626,521,508,0.1258758154143513,0.1255250803063998
2025-08-12,NYM,ATL,NYM,ATL,0,-1.5,159,-167,,,,,,159,-167,,,,Clay Holmes,Spencer Strider,3.46,4.04,1.3,1.3,122.1,82.1,3.767403767403768,3.739342265529842,97.0,98.0,0.2108695652173913,0.3192182410423452,0.243,0.241,460.0,307.0,3.73,4.22,1.31,1.28,923.9,962.1,3.787206407619872,3.768838998025153,906.0,941.0,0.2589311231780509,0.2595146166574738,3499.0,3626.0,483,517,0.1220005051780752,0.1314518179506738,174,191,0.0439504925486233,0.0485634375794558,17,15,0.004294013639808,0.003813882532418,108,133,0.0272796160646627,0.0338164251207729,1003,1039,0.2533468047486739,0.2641749300788202,420,393,0.1060873958070219,0.0999237223493516,950,946,0.24,0.241,3959,3933,0.32,0.315,0.374,0.398,0.694,0.713,3.7,4.21,1046.0,1044.2,430,489,0.1086132861833796,0.1243325705568268,1.31,1.28,4478,4418,1482,1566,16.96,16.68,117,117,2.39,2.64,8.63,8.95,3.61,3.39,8.17,8.15,4.16,4.45,0.93,1.15,513,499,0.1306673458991339,0.1246253746253746,184,173,0.0468670402445236,0.0432067932067932,16,14,0.0040753948038716,0.0034965034965034,147,133,0.0374426897605705,0.0332167832167832,949,1025,0.2417218543046357,0.255994005994006,408,423,0.1039225674987264,0.1056443556443556,938,969,0.239,0.242,3926,4004,0.318,0.318,0.406,0.392,0.724,0.71,93,57,1595,1569,498,482,0.1268466632705043,0.1203796203796203
2025-08-12,TEX,ARI,ARI,TEX,1,-1.5,152,-161,,,,,,-161,152,,,,Jack Leiter,Anthony DeSclafani,4.05,4.2,1.35,1.2,100.0,30.0,3.76,3.733333333333333,93.0,28.0,0.2473404255319149,0.25,0.221,0.241,376.0,112.0,3.22,4.57,1.15,1.35,968.1,1029.0,3.698998037392831,3.86977648202138,887.0,944.0,0.2476961742530019,0.2370668006027122,3581.0,3982.0,429,585,0.1084154662623199,0.1428920371275036,163,251,0.04119282284559,0.0613092330239374,12,18,0.00303260045489,0.0043966780654616,116,148,0.0293151377306039,0.0361504640937958,980,972,0.2476623704826889,0.2374206155349291,357,376,0.0902198635329795,0.0918417195896433,894,1049,0.226,0.256,3957,4094,0.294,0.325,0.361,0.435,0.655,0.76,3.3,4.56,1068.1,1059.0,392,537,0.0990649481930755,0.1311675622862726,1.17,1.35,4391,4561,1429,1780,15.75,16.47,118,119,2.75,2.59,8.26,8.26,3.01,3.2,7.53,8.92,3.61,4.97,0.98,1.26,489,586,0.1219147344801795,0.1458074147797959,180,210,0.0448765893792071,0.0522518039313262,12,27,0.0029917726252804,0.0067180890768847,125,166,0.0311642981800049,0.0413038069171435,1003,937,0.25006232859636,0.2331425727792983,355,413,0.0885066068312141,0.1027618810649415,933,1008,0.233,0.251,4011,4019,0.3,0.326,0.377,0.44,0.677,0.766,101,78,1512,1770,467,573,0.1164298180004986,0.1425727792983329
2025-08-12,LAD,LAA,LAD,LAA,0,-1.5,-120,114,,,,,,-120,114,,,,FAV team pitching,Victor Mederos,4.14,4.5,1.31,1.5,1059.1,4.0,3.787177792465301,3.25,1060.0,4.0,0.2642732485664423,0.3076923076923077,0.244,0.154,4011.0,13.0,4.14,4.62,1.31,1.42,1059.1,1051.0,3.787177792465301,3.8449096098953377,1060.0,939.0,0.2642732485664423,0.2323682256867112,4011.0,4041.0,533,589,0.1328845674395412,0.1452886038480513,188,169,0.0468711044627275,0.0416872224962999,23,15,0.0057342308651209,0.0037000493339911,144,161,0.0359012715033657,0.0397138628515046,1060,943,0.2642732485664423,0.2326097681302417,412,449,0.1027175268012964,0.1107548100641342,977,1048,0.244,0.259,4011,4054,0.32,0.335,0.41,0.427,0.73,0.762,4.14,4.62,1059.1,1055.0,487,541,0.1214161057092994,0.1334484459792797,1.31,1.42,4521,4587,1643,1730,16.69,16.76,119,119,2.57,2.1,9.01,8.04,3.5,3.83,8.3,8.94,4.53,5.02,1.22,1.37,615,522,0.1520019772614928,0.1311557788944723,195,162,0.0481957488877904,0.0407035175879397,15,13,0.0037073652990608,0.0032663316582914,177,171,0.0437469105289174,0.042964824120603,1007,1155,0.2488877904102817,0.2902010050251256,439,358,0.1085022244191794,0.0899497487437186,1031,926,0.255,0.233,4046,3980,0.331,0.305,0.442,0.409,0.773,0.714,71,59,1787,1627,594,505,0.1468116658428077,0.1268844221105527
2025-08-12,SF,SD,SF,SD,0,-1.5,188,-210,,,,,,188,-210,,,,Robbie Ray,Kyle Freeland,2.85,5.53,1.13,1.52,142.0,109.0,3.619718309859155,4.119266055045872,148.0,78.0,0.2879377431906614,0.1737193763919821,0.204,0.307,514.0,449.0,3.77,6.13,1.3,1.63,912.0,919.1,3.8157894736842106,4.045261669024045,864.0,696.0,0.2482758620689655,0.1871974179666487,3480.0,3718.0,481,455,0.1204306459689534,0.1164874551971326,209,161,0.0523284927391086,0.0412186379928315,17,13,0.0042563845768652,0.0033282130056323,103,116,0.0257886830245368,0.0296979006656426,1012,1020,0.2533800701051577,0.261136712749616,375,390,0.0938908362543815,0.0998463901689708,974,885,0.244,0.227,3994,3906,0.313,0.303,0.382,0.364,0.695,0.667,3.65,3.59,1054.0,1054.0,427,421,0.1069103655483224,0.1077828981054787,1.28,1.21,4459,4403,1526,1420,16.25,16.22,118,117,2.7,2.62,8.64,8.71,3.2,3.33,8.32,7.56,4.11,3.89,0.88,0.99,489,493,0.1241747079735906,0.1238693467336683,178,184,0.0452006094464195,0.0462311557788944,22,16,0.0055865921787709,0.0040201005025125,113,100,0.0286947689182326,0.0251256281407035,1009,832,0.2562214321990858,0.2090452261306532,407,388,0.1033519553072625,0.0974874371859296,916,998,0.233,0.251,3938,3980,0.31,0.321,0.375,0.38,0.685,0.701,52,80,1477,1514,468,464,0.1188420518029456,0.1165829145728643
2025-08-12,STL,COL,STL,COL,0,-1.5,116,-128,,,,,,116,-128,,,,Matthew Liberatore,Ben Brown,3.98,6.04,1.29,1.44,113.0,92.1,3.938053097345133,4.1042345276872965,85.0,104.0,0.1910112359550561,0.2751322751322751,0.267,0.28,445.0,378.0,4.2,3.67,1.28,1.19,946.2,947.1,3.848023673641936,3.7419491078027662,779.0,784.0,0.2139522109310629,0.2212189616252821,3641.0,3544.0,538,768,0.1316691140479686,0.1843052555795536,199,252,0.0487028879099363,0.060475161987041,28,26,0.0068526676456191,0.0062395008399328,116,173,0.0283896231032794,0.0415166786657067,864,774,0.211453744493392,0.1857451403887689,312,413,0.0763582966226138,0.0991120710343172,1048,1257,0.256,0.302,4086,4167,0.312,0.367,0.404,0.499,0.716,0.866,4.18,6.07,1059.2,1028.1,492,693,0.1204111600587371,0.1663066954643628,1.28,1.62,4488,4683,1651,2080,15.88,17.04,118,118,2.77,1.87,7.34,6.77,2.65,3.61,8.9,11.0,4.57,6.72,0.99,1.51,521,438,0.1291842301016613,0.1104944500504541,206,194,0.0510786015373171,0.0489404641775983,4,29,0.0009918175055789,0.0073158425832492,113,120,0.028018844532606,0.0302724520686175,934,1115,0.2315893875526903,0.2812815338042381,368,307,0.0912472105132655,0.0774470232088799,1007,940,0.25,0.237,4033,3964,0.319,0.296,0.387,0.392,0.706,0.688,70,62,1560,1552,497,427,0.1232333250681874,0.1077194752774974
2025-08-12,TOR,CHC,CHC,TOR,1,-1.5,171,-185,,,,,,-185,171,,,,José Berríos,Paul Skenes,3.89,1.94,1.27,0.93,136.2,144.0,3.7738619676945673,3.6180555555555554,116.0,162.0,0.22568093385214,0.3109404990403071,0.249,0.192,514.0,521.0,4.34,4.24,1.26,1.27,918.0,917.0,3.7799564270152506,3.7906215921483097,941.0,767.0,0.2711815561959654,0.2206559263521288,3470.0,3476.0,539,482,0.1352911646586345,0.1228964813870474,180,164,0.0451807228915662,0.0418154003059663,11,13,0.0027610441767068,0.003314635390107,161,146,0.0404116465863453,0.0372259051504334,1057,888,0.2653112449799197,0.2264150943396226,373,301,0.0936244979919678,0.0767465578786333,960,961,0.241,0.245,3984,3922,0.313,0.302,0.413,0.405,0.726,0.707,4.28,3.88,1054.2,1039.2,501,448,0.1257530120481927,0.1142274349821519,1.26,1.21,4462,4308,1645,1589,16.43,15.85,118,117,2.83,2.95,9.02,7.69,3.18,2.61,8.19,8.32,4.6,4.17,1.37,1.26,583,599,0.1429271880362834,0.1489308801591248,218,196,0.0534444716842363,0.0487319741422178,9,22,0.0022064231429271,0.0054699154649428,137,167,0.0335866633978916,0.0415216310293386,798,909,0.195636185339544,0.2260069617105917,398,392,0.0975729345427801,0.0974639482844356,1099,1020,0.269,0.254,4079,4022,0.339,0.322,0.428,0.438,0.767,0.76,56,124,1746,1761,559,583,0.1370433929884775,0.1449527598209845
2025-08-12,MIL,PIT,PIT,MIL,1,-1.5,175,-198,,,,,,-198,175,,,,Freddy Peralta,Dustin May,3.03,4.93,1.14,1.37,130.2,107.2,3.70199692780338,3.852611940298508,141.0,101.0,0.2925311203319502,0.2445520581113801,0.207,0.249,482.0,413.0,3.69,3.63,1.24,1.29,919.9,966.8,3.7362756821393632,3.777410012412081,880.0,886.0,0.2560372417806226,0.2426067907995618,3437.0,3652.0,456,491,0.1163562133197244,0.122842131598699,167,225,0.0426129114570043,0.0562922191643732,12,20,0.0030620056136769,0.0050037528146109,129,117,0.0329165603470273,0.0292719539654741,1021,929,0.2605256442970145,0.232424318238679,392,347,0.1000255167134473,0.0868151113335001,902,952,0.23,0.238,3919,3997,0.305,0.305,0.378,0.392,0.683,0.697,3.61,3.93,1050.1,1061.0,421,463,0.1074253636131666,0.1158368776582436,1.23,1.22,4399,4443,1480,1568,16.41,16.24,118,119,2.6,2.68,8.75,7.88,3.36,2.94,7.73,8.08,3.91,4.16,1.11,0.99,594,427,0.1489841986455982,0.1071787148594377,181,166,0.0453975420115375,0.0416666666666666,13,17,0.0032605969400551,0.0042670682730923,122,84,0.0305994482066716,0.0210843373493975,928,1039,0.2327564584900928,0.2607931726907631,399,383,0.1000752445447705,0.0961345381526104,1026,926,0.257,0.232,3987,3984,0.33,0.304,0.401,0.346,0.731,0.65,130,90,1599,1378,553,413,0.1387007775269626,0.1036646586345381
