game_time_est,fav_team,fav_score,dog_team,dog_score,home_team,home_score,away_team,away_score,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,market,fav_pitcher,dog_pitcher,fav_pitcher_era,dog_pitcher_era,fav_pitcher_fip,dog_pitcher_fip,fav_pitcher_whip,dog_pitcher_whip,fav_pitcher_so9,dog_pitcher_so9,fav_pitcher_bb9,dog_pitcher_bb9,fav_pitcher_era+,dog_pitcher_era+,fav_win_pct,dog_win_pct,fav_ba,dog_ba,fav_era,dog_era
2025-05-30T19:10:00-04:00,NYM,,COL,,COL,,NYM,,-1.5,1.5,0.581,0.424,-139,136,0,NYM -1.5,David Peterson,Kyle Freeland,2.79,5.86,3.4,3.42,1.276,1.681,8.4,7.2,3.4,2.1,137.0,79.0,0.607,0.161,.245,.218,2.87,5.55
2025-05-30T21:40:00-04:00,ARI,,WAS,,ARI,,WAS,,-1.5,1.5,0.514,0.512,-106,-105,1,ARI -1.5,Unknown,Jake Irvin,,3.42,,4.48,,1.098,,6.2,,2.5,,116.0,,0.464,.244,.242,4.00,4.98
2025-05-30T21:40:00-04:00,SD,,PIT,,PIT,,SD,,-1.5,1.5,0.459,0.567,118,-131,0,SD -1.5,Nick Pivetta,Mitch Keller,2.72,3.66,3.24,3.16,1.012,1.297,10.1,7.7,2.9,2.4,148.0,115.0,0.574,0.368,.253,.226,3.61,3.99
2025-05-30T22:10:00-04:00,NYY,,LAD,,LAD,,NYY,,-1.5,1.5,0.419,0.596,139,-148,0,LAD +1.5,Max Fried,Tony Gonsolin,1.29,4.68,2.58,4.48,0.929,1.44,8.6,10.1,2.1,4.3,305.0,84.0,0.636,0.607,.259,.263,3.25,4.09
2025-05-30T20:10:00-04:00,DET,,KAN,,KAN,,DET,,-1.5,1.5,0.415,0.618,141,-162,0,KAN +1.5,Casey Mize,Unknown,2.45,,3.9,,1.007,,7.7,,1.9,,160.0,,0.649,,.252,.244,3.22,4.00
2025-05-30T19:10:00-04:00,SF,,MIA,,MIA,,SF,,-1.5,1.5,0.5,0.513,100,-105,0,MIA +1.5,Kyle Harrison,Cal Quantrill,3.86,6.09,4.47,4.52,1.071,1.489,10.6,6.3,2.9,3.0,104.0,72.0,0.554,0.407,.231,.251,3.22,5.29
2025-05-30T20:05:00-04:00,STL,,TEX,,TEX,,STL,,-1.5,1.5,0.439,0.588,128,-143,0,TEX +1.5,Matthew Liberatore,Jack Leiter,2.73,4.17,2.52,4.49,1.011,1.244,7.7,6.6,1.2,4.6,151.0,91.0,0.571,0.474,.262,.220,3.71,3.19
2025-05-30T19:10:00-04:00,CLE,,LAA,,CLE,,LAA,,-1.5,1.5,0.403,0.615,148,-160,1,CLE -1.5,Luis L. Ortiz,José Soriano,4.73,3.73,4.15,3.68,1.425,1.532,10.0,6.8,4.7,4.3,84.0,109.0,0.545,0.455,.233,.224,4.12,4.84
2025-05-30T19:07:00-04:00,TOR,,OAK,,TOR,,OAK,,-1.5,1.5,0.455,0.566,120,-130,1,TOR -1.5,Chris Bassitt,Jeffrey Springs,3.38,3.97,3.24,4.64,1.321,1.22,9.2,7.2,1.9,3.5,121.0,104.0,0.5,0.404,.248,.253,3.93,5.52
2025-05-30T20:10:00-04:00,HOU,,TB,,HOU,,TB,,-1.5,1.5,0.415,0.605,141,-153,1,HOU -1.5,Framber Valdez,Ryan Pepiot,3.39,3.55,3.29,4.43,1.145,1.232,8.3,7.4,3.0,2.7,118.0,108.0,0.536,0.518,.255,.247,3.55,3.57
2025-05-30T16:30:00-04:00,BAL,,CWS,,BAL,,CWS,,-1.5,1.5,0.488,0.522,105,-109,1,BAL -1.5,Zach Eflin,Jared Shuster,5.4,6.59,6.14,2.56,1.17,1.829,4.9,7.2,1.4,2.6,70.0,63.0,0.345,0.321,.237,.221,5.49,4.13
2025-05-30T18:45:00-04:00,PHI,,MIL,,PHI,,MIL,,-1.5,1.5,0.375,0.639,167,-177,1,PHI -1.5,Taijuan Walker,DL Hall,2.97,3.86,3.76,4.79,1.297,1.714,7.6,3.9,3.7,7.7,139.0,122.0,0.643,0.509,.260,.232,3.77,4.00
2025-05-30T19:15:00-04:00,ATL,,BOS,,ATL,,BOS,,-1.5,1.5,0.445,0.571,125,-133,1,ATL -1.5,Grant Holmes,Lucas Giolito,3.68,5.27,4.85,4.65,1.159,1.427,8.4,7.6,4.0,2.6,111.0,79.0,0.473,0.466,.248,.252,3.71,3.99
2025-05-30T22:10:00-04:00,SEA,,MIN,,SEA,,MIN,,-1.5,1.5,0.38,0.636,163,-175,1,SEA -1.5,Bryan Woo,Zebby Matthews,2.69,7.71,2.68,0.79,0.942,2.0,8.5,18.0,1.1,5.1,136.0,56.0,0.545,0.545,.237,.236,3.83,3.29
