game_time_est,fav_team,fav_score,dog_team,dog_score,home_team,home_score,away_team,away_score,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,market,fav_pitcher,dog_pitcher,fav_pitcher_era,dog_pitcher_era,fav_pitcher_whip,dog_pitcher_whip,fav_pitcher_so,dog_pitcher_so,fav_pitcher_ip,dog_pitcher_ip,fav_pitcher_avg,dog_pitcher_avg,fav_win_pct,dog_win_pct,fav_ba,dog_ba,fav_era_p,dog_era_p,fav_W,dog_W,fav_L,dog_L,fav_Strk,dog_Strk,fav_R,dog_R,fav_RA,dog_RA,fav_SOS,dog_SOS,fav_SRS,dog_SRS,fav_pythWL,dog_pythWL,fav_Luck,dog_Luck,fav_last10,dog_last10,fav_last20,dog_last20,fav_last30,dog_last30,fav_R/G,dog_R/G,fav_PA,dog_PA,fav_AB,dog_AB,fav_R_b,dog_R_b,fav_H_b,dog_H_b,fav_2B,dog_2B,fav_3B,dog_3B,fav_HR,dog_HR,fav_RBI,dog_RBI,fav_SB,dog_SB,fav_BB_b,dog_BB_b,fav_SO_b,dog_SO_b,fav_BA,dog_BA,fav_OBP,dog_OBP,fav_SLG,dog_SLG,fav_OPS,dog_OPS,fav_OPS+,dog_OPS+,fav_RA/G,dog_RA/G,fav_ERA,dog_ERA,fav_SV,dog_SV,fav_H_p,dog_H_p,fav_R_p,dog_R_p,fav_ER,dog_ER,fav_BB_p,dog_BB_p,fav_SO_p,dog_SO_p,fav_ERA+,dog_ERA+,fav_FIP,dog_FIP,fav_WHIP,dog_WHIP,fav_H9,dog_H9
2025-06-04T19:07:00-04:00,TOR,,PHI,,TOR,,PHI,,-1.5,1.5,0.342,0.679,192,-212,1,TOR -1.5,José Berríos,Mick Abel,3.86,0.0,1.3,0.83,65.0,9.0,70.0,6.0,0.242,0.227,0.517,0.617,.253,.257,4.08,3.99,31,37,29,23,L 1,W 1,4.2,4.8,4.4,4.4,-0.1,-0.2,-0.2,0.2,29-31,33-27,2.0,4.0,6-4,5-5,11-9,13-7,17-13,20-10,4.18,4.82,2281,2317,2014,2054,251,289,509,528,102,92,2,9,84,62,241,274,35,56,211,221,420,473,.253,.257,.327,.333,.395,.407,.722,.740,103,105,4.35,4.37,4.08,3.99,18,20,477,520,261,262,243,239,175,187,547,578,103,104,4.20,3.56,1.217,1.310,8.0,8.7
2025-06-04T19:15:00-04:00,ATL,,ARI,,ATL,,ARI,,-1.5,1.5,0.435,0.582,130,-139,1,ATL -1.5,Chris Sale,Merrill Kelly,3.06,3.78,1.24,1.06,86.0,64.0,67.2,69.0,0.252,0.212,0.458,0.483,.245,.255,3.73,4.75,27,29,32,31,L 2,W 2,4.1,5.1,3.9,5.2,0.0,0.3,0.1,0.2,30-29,30-30,-3.0,-1.0,3-7,3-7,8-12,8-12,13-17,13-17,4.05,5.07,2236,2315,2002,2038,239,304,491,520,82,117,6,12,67,75,229,297,35,51,200,216,501,446,.245,.255,.317,.332,.387,.448,.704,.780,97,115,3.92,5.15,3.73,4.75,10,18,456,511,231,309,216,282,192,199,514,507,110,88,4.01,4.27,1.244,1.328,7.9,8.6
2025-06-04T18:40:00-04:00,HOU,,PIT,,PIT,,HOU,,-1.5,1.5,0.433,0.597,131,-148,0,PIT +1.5,Ryan Gusto,Mike Burrows,4.62,8.64,1.56,1.56,42.0,5.0,39.0,8.1,0.268,0.265,0.55,0.361,.252,.226,3.59,3.94,33,22,27,39,W 2,L 2,4.0,3.2,3.7,4.2,0.1,0.3,0.4,-0.7,32-28,23-38,1.0,-1.0,7-3,5-5,13-7,8-12,17-13,10-20,4.03,3.18,2215,2275,1991,2026,242,194,502,458,81,75,6,10,59,50,231,188,30,59,173,209,457,533,.252,.226,.319,.304,.391,.337,.709,.641,100,79,3.73,4.18,3.59,3.94,17,12,427,478,224,255,211,237,186,191,569,444,113,107,3.54,3.83,1.160,1.237,7.3,8.0
2025-06-04T19:35:00-04:00,TB,,TEX,,TEX,,TB,,-1.5,1.5,0.376,0.656,166,-191,0,TB -1.5,Shane Baz,Kumar Rocker,4.92,8.1,1.38,1.75,55.0,16.0,60.1,20.0,0.265,0.341,0.517,0.475,.246,.222,3.44,3.13,31,29,29,32,W 1,L 1,4.4,3.4,3.6,3.4,0.0,0.0,0.8,0.0,35-25,30-31,-4.0,-1.0,7-3,4-6,13-7,9-11,17-13,13-17,4.35,3.36,2221,2159,2003,1963,261,205,493,435,93,71,3,6,78,52,249,200,84,55,182,156,502,496,.246,.222,.312,.284,.388,.356,.700,.639,100,85,3.60,3.38,3.44,3.13,14,17,461,436,216,206,205,185,159,174,464,471,113,120,4.25,3.65,1.156,1.148,7.7,7.4
2025-06-04T21:45:00-04:00,SD,,SF,,SF,,SD,,-1.5,1.5,0.388,0.634,158,-173,0,SF +1.5,Nick Pivetta,Kyle Harrison,2.74,2.51,1.01,0.98,71.0,16.0,62.1,14.1,0.199,0.16,0.593,0.541,.248,.231,3.51,3.03,35,33,24,28,W 3,L 2,4.2,4.1,3.9,3.4,-0.2,-0.1,0.2,0.6,32-27,35-26,3.0,-2.0,7-3,3-7,10-10,9-11,17-13,14-16,4.17,4.10,2191,2271,1958,2014,246,250,486,465,86,88,7,9,61,41,226,239,43,36,184,213,409,515,.248,.231,.315,.309,.380,.370,.695,.679,95,95,3.86,3.44,3.51,3.03,22,17,441,460,228,210,205,181,190,184,517,529,115,126,3.83,3.24,1.200,1.197,7.5,7.7
2025-06-04T19:45:00-04:00,STL,,KAN,,KAN,,STL,,-1.5,1.5,0.377,0.659,165,-193,0,STL -1.5,Miles Mikolas,Noah Cameron,3.9,1.05,1.25,0.82,34.0,16.0,55.1,25.2,0.248,0.144,0.55,0.525,.259,.248,3.88,3.19,33,32,27,29,L 2,W 1,4.7,3.3,4.2,3.4,0.1,0.1,0.5,0.1,33-27,30-31,0.0,2.0,6-4,4-6,12-8,8-12,20-10,16-14,4.67,3.34,2286,2243,2038,2042,280,204,527,507,112,101,4,12,47,58,265,201,35,48,197,144,465,424,.259,.248,.329,.302,.397,.362,.726,.664,103,87,4.22,3.41,3.88,3.19,17,20,495,477,253,208,229,193,167,171,431,496,105,130,3.65,3.66,1.247,1.190,8.4,7.9
2025-06-04T22:10:00-04:00,LAD,,NYM,,NYM,,LAD,,-1.5,1.5,0.422,0.608,137,-155,0,LAD -1.5,Tony Gonsolin,Griffin Canning,5.23,3.23,1.45,1.4,32.0,50.0,31.0,53.0,0.256,0.241,0.607,0.623,.267,.245,4.10,2.86,37,38,24,23,W 1,L 1,5.8,4.4,4.5,3.3,0.0,-0.1,1.3,1.0,38-23,38-23,-1.0,0.0,5-5,8-2,10-10,12-8,16-14,17-13,5.77,4.41,2370,2307,2092,2023,352,269,558,496,105,104,9,13,78,43,339,260,40,46,233,219,505,469,.267,.245,.343,.327,.469,.412,.812,.739,130,112,4.46,3.31,4.10,2.86,18,19,495,450,272,202,249,173,214,221,556,548,96,133,4.19,3.43,1.299,1.233,8.2,7.4
2025-06-04T18:45:00-04:00,CHC,,WAS,,WAS,,CHC,,-1.5,1.5,0.45,0.565,122,-130,0,WAS +1.5,Matthew Boyd,MacKenzie Gore,3.08,3.16,1.26,1.2,64.0,101.0,61.1,68.1,0.266,0.241,0.633,0.467,.262,.244,3.83,5.07,38,28,22,32,W 3,L 2,5.8,4.5,4.1,5.2,-0.1,-0.1,1.6,-0.8,39-21,26-34,-1.0,2.0,8-2,5-5,15-5,11-9,20-10,15-15,5.82,4.47,2355,2231,2084,2001,349,268,545,488,115,103,15,10,67,59,341,255,79,56,227,175,473,467,.262,.244,.335,.312,.448,.395,.783,.708,124,101,4.12,5.17,3.83,5.07,15,17,495,527,247,310,229,297,177,208,477,477,100,79,4.01,4.13,1.248,1.395,8.3,9.0
2025-06-04T19:40:00-04:00,DET,,CWS,,CWS,,DET,,-1.5,1.5,0.531,0.489,-113,104,0,CWS +1.5,Sawyer Gipson-Long,TBD,,,,,,,,,,,0.645,0.311,.251,.221,3.20,4.19,40,19,22,42,L 1,W 1,5.0,3.4,3.5,4.4,-0.1,0.0,1.4,-1.0,41-21,24-37,-1.0,-5.0,7-3,3-7,13-7,7-13,20-10,11-19,5.00,3.44,2352,2224,2098,1988,310,210,526,440,95,90,10,3,58,66,296,203,21,47,206,198,557,513,.251,.221,.323,.294,.410,.342,.733,.636,108,81,3.53,4.38,3.20,4.19,19,5,464,494,219,267,196,244,177,226,530,442,124,98,3.63,4.54,1.163,1.375,7.6,8.5
2025-06-04T21:40:00-04:00,SEA,,BAL,,SEA,,BAL,,-1.5,1.5,0.357,0.681,180,-213,1,SEA -1.5,Emerson Hancock,Cade Povich,5.64,5.29,1.57,1.53,32.0,53.0,44.2,51.0,0.307,0.283,0.542,0.39,.236,.239,3.88,5.19,32,23,27,36,L 1,W 4,4.5,3.8,4.4,5.4,-0.2,0.1,-0.1,-1.4,30-29,21-38,2.0,2.0,4-6,7-3,10-10,8-12,15-15,12-18,4.47,3.85,2275,2177,2005,1967,264,227,474,470,71,86,3,8,63,89,255,213,54,43,219,164,528,517,.236,.239,.320,.303,.395,.387,.714,.690,110,100,4.41,5.36,3.88,5.19,18,12,536,548,260,316,232,298,181,201,470,464,96,73,3.98,4.79,1.334,1.451,9.0,9.6
