game_time_est,fav_team,fav_score,dog_team,dog_score,home_team,home_score,away_team,away_score,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,market,fav_pitcher,dog_pitcher,fav_pitcher_era,dog_pitcher_era,fav_pitcher_whip,dog_pitcher_whip,fav_pitcher_so,dog_pitcher_so,fav_pitcher_ip,dog_pitcher_ip,fav_pitcher_avg,dog_pitcher_avg,fav_win_pct,dog_win_pct,fav_ba,dog_ba,fav_era_p,dog_era_p,fav_pitcher_so_in,dog_pitcher_so_in,fav_W,dog_W,fav_L,dog_L,fav_Strk,dog_Strk,fav_R,dog_R,fav_RA,dog_RA,fav_SOS,dog_SOS,fav_SRS,dog_SRS,fav_Luck,dog_Luck,fav_pythWL_pct,dog_pythWL_pct,fav_last10_pct,dog_last10_pct,fav_last20_pct,dog_last20_pct,fav_last30_pct,dog_last30_pct,fav_R/G,dog_R/G,fav_PA,dog_PA,fav_AB,dog_AB,fav_R_b,dog_R_b,fav_H_b,dog_H_b,fav_2B,dog_2B,fav_3B,dog_3B,fav_HR,dog_HR,fav_RBI,dog_RBI,fav_SB,dog_SB,fav_BB_b,dog_BB_b,fav_SO_b,dog_SO_b,fav_BA,dog_BA,fav_OBP,dog_OBP,fav_SLG,dog_SLG,fav_OPS,dog_OPS,fav_OPS+,dog_OPS+,fav_2B_pct,dog_2B_pct,fav_3B_pct,dog_3B_pct,fav_HR_pct,dog_HR_pct,fav_RBI_pct,dog_RBI_pct,fav_RA/G,dog_RA/G,fav_ERA,dog_ERA,fav_SV,dog_SV,fav_H_p,dog_H_p,fav_R_p,dog_R_p,fav_ER,dog_ER,fav_BB_p,dog_BB_p,fav_SO_p,dog_SO_p,fav_ERA+,dog_ERA+,fav_FIP,dog_FIP,fav_WHIP,dog_WHIP,fav_H9,dog_H9
2025-06-11T13:05:00-04:00,PHI,,CHC,,PHI,,CHC,,-1.5,1.5,0.35,0.667,186,-200,1,PHI -1.5,Jesús Luzardo,Ben Brown,4.46,5.37,1.44,1.43,83,78,72.2,63.2,0.282,0.275,0.567,0.612,0.253,0.258,4.03,3.65,1.149584487534626,1.2341772151898733,38,41,29,26,,,4.6,5.6,4.4,4.0,-0.2,-0.1,0.0,1.5,3.0,-3.0,0.5223880597014925,0.6567164179104478,0.2,0.6,0.45,0.65,0.5333333333333333,0.6333333333333333,4.55,5.58,2564,2625,2283,2335,305,374,578,603,102,123,9,15,72,71,289,366,60,84,235,245,526,530,0.253,0.258,0.327,0.33,0.396,0.445,0.724,0.775,101,122,0.04467805519053877,0.052676659528907925,0.003942181340341655,0.006423982869379015,0.03153745072273324,0.030406852248394005,0.12658782303985983,0.15674518201284796,4.37,3.97,4.03,3.65,20,15,580,557,293,266,269,243,207,188,627,518,104,104,3.67,3.94,1.309,1.242,8.7,8.4
2025-06-11T14:10:00-04:00,ATL,,MIL,,MIL,,ATL,,-1.5,1.5,0.481,0.537,108,-116,0,MIL +1.5,Spencer Schwellenbach,Chad Patrick,3.24,2.84,1.05,1.21,75,63,80.2,69.2,0.231,0.241,0.424,0.529,0.243,0.235,3.76,3.83,0.9351620947630922,0.9104046242774566,28,36,38,32,,,4.0,4.4,4.0,4.1,0.0,0.1,0.1,0.3,-6.0,0.0,0.5151515151515151,0.5294117647058824,0.2,0.6,0.25,0.65,0.3666666666666666,0.5666666666666667,4.05,4.37,2508,2563,2241,2261,267,297,545,532,94,91,6,5,74,71,257,274,36,86,226,240,568,558,0.243,0.235,0.317,0.314,0.386,0.361,0.703,0.675,97,92,0.04194556001784917,0.04024767801857585,0.002677376171352075,0.0022114108801415304,0.03302097278000892,0.03140203449800973,0.11468094600624722,0.12118531623175587,3.95,4.07,3.76,3.83,10,16,500,542,261,277,243,256,218,245,586,557,109,104,3.98,4.09,1.233,1.307,7.7,8.1
2025-06-11T14:15:00-04:00,STL,,TOR,,TOR,,STL,,-1.5,1.5,0.377,0.635,165,-174,0,STL -1.5,Matthew Liberatore,Eric Lauer,3.82,2.08,1.13,0.88,58,24,68.1,26.0,0.249,0.157,0.537,0.552,0.258,0.256,3.96,4.09,0.8516886930983848,0.9230769230769231,36,37,31,30,,,4.7,4.3,4.3,4.3,0.1,0.0,0.5,0.0,0.0,3.0,0.5373134328358209,0.5074626865671642,0.4,0.8,0.5,0.7,0.6,0.6666666666666666,4.69,4.34,2553,2547,2278,2265,314,291,588,579,120,118,4,3,55,94,299,280,37,37,215,222,517,456,0.258,0.256,0.328,0.325,0.396,0.402,0.724,0.727,104,103,0.05267778753292362,0.052097130242825605,0.001755926251097454,0.0013245033112582781,0.024143985952589993,0.04150110375275938,0.13125548726953468,0.12362030905077263,4.3,4.33,3.96,4.09,17,22,577,532,288,290,262,272,183,200,474,599,103,103,3.71,4.26,1.276,1.223,8.7,8.0
2025-06-11T13:10:00-04:00,CIN,,CLE,,CLE,,CIN,,-1.5,1.5,0.41,0.605,144,-153,0,CLE +1.5,Nick Lodolo,Logan Allen,3.21,4.42,1.08,1.58,64,40,75.2,55.0,0.239,0.28,0.515,0.515,0.246,0.232,3.66,3.92,0.851063829787234,0.7272727272727273,35,34,33,32,,,4.5,3.8,3.9,4.2,-0.1,0.1,0.5,-0.2,-4.0,4.0,0.5735294117647058,0.4545454545454545,0.6,0.4,0.55,0.45,0.5333333333333333,0.4333333333333333,4.54,3.85,2560,2419,2280,2150,309,254,561,499,114,90,7,6,76,71,297,240,59,53,238,211,601,535,0.246,0.232,0.321,0.305,0.398,0.373,0.719,0.678,95,91,0.05,0.04186046511627907,0.0030701754385964912,0.0027906976744186047,0.03333333333333333,0.03302325581395349,0.13026315789473683,0.11162790697674418,3.93,4.2,3.66,3.92,19,19,509,559,267,277,245,254,204,240,541,562,121,104,4.06,4.06,1.182,1.371,7.6,8.6
2025-06-11T19:40:00-04:00,NYY,,KAN,,KAN,,NYY,,-1.5,1.5,0.421,0.608,138,-155,0,KAN +1.5,Clarke Schmidt,Kris Bubic,4.04,1.43,1.29,1.0,50,79,49.0,75.1,0.233,0.196,0.615,0.507,0.261,0.253,3.76,3.41,1.0204081632653061,1.051930758988016,40,34,25,33,,,5.5,3.4,3.9,3.7,-0.1,0.1,1.5,-0.1,-2.0,3.0,0.6461538461538462,0.4626865671641791,0.5,0.4,0.7,0.45,0.7,0.4333333333333333,5.52,3.4,2538,2477,2212,2259,359,228,578,571,117,110,10,12,67,66,346,225,49,53,265,158,573,461,0.261,0.253,0.345,0.305,0.468,0.372,0.813,0.677,127,90,0.05289330922242315,0.04869411243913236,0.0045207956600361665,0.005312084993359893,0.030289330922242313,0.029216467463479414,0.15641952983725135,0.099601593625498,3.94,3.66,3.76,3.41,19,22,473,528,256,245,240,226,218,194,612,547,108,122,3.68,3.75,1.202,1.21,7.4,8.0
2025-06-11T19:10:00-04:00,NYM,,WAS,,WAS,,NYM,,-1.5,1.5,0.554,0.477,-124,110,0,NYM -1.5,David Peterson,Jake Irvin,2.8,4.02,1.26,1.23,65,50,70.2,78.1,0.24,0.243,0.642,0.455,0.249,0.239,2.86,4.88,0.9259259259259259,0.6402048655569783,43,30,24,36,,,4.6,4.2,3.3,5.0,-0.2,-0.1,1.1,-0.9,-1.0,2.0,0.6567164179104478,0.4242424242424242,0.8,0.4,0.7,0.55,0.6666666666666666,0.4333333333333333,4.63,4.23,2558,2427,2242,2184,310,279,558,522,113,110,13,10,48,64,301,266,55,57,244,184,517,507,0.249,0.239,0.331,0.306,0.423,0.388,0.754,0.694,117,98,0.0504014272970562,0.05036630036630037,0.005798394290811775,0.004578754578754579,0.021409455842997322,0.029304029304029304,0.13425512934879572,0.12179487179487179,3.3,5.02,2.86,4.88,21,19,502,576,221,331,190,315,237,222,601,524,132,81,3.43,4.07,1.235,1.373,7.6,8.9
2025-06-11T16:10:00-04:00,LAD,,SD,,SD,,LAD,,-1.5,1.5,0.465,0.545,115,-120,0,SD +1.5,Ben Casparius,Randy Vásquez,2.93,3.69,1.0,1.45,44,37,40.0,63.1,0.217,0.244,0.588,0.576,0.265,0.249,4.21,3.42,1.1,0.5863708399366085,40,38,28,28,,,5.5,4.2,4.6,3.8,0.0,-0.1,1.0,0.3,0.0,2.0,0.5882352941176471,0.5454545454545454,0.4,0.6,0.55,0.55,0.5,0.5,5.53,4.2,2645,2461,2338,2201,376,277,620,547,117,95,11,10,86,64,360,255,42,52,256,206,565,467,0.265,0.249,0.34,0.315,0.457,0.378,0.797,0.694,126,93,0.05004277159965783,0.043162199000454336,0.004704875962360992,0.004543389368468878,0.036783575705731396,0.029077691958200817,0.15397775876817793,0.11585642889595639,4.57,3.79,4.21,3.42,20,24,560,490,311,250,284,223,241,223,607,573,93,120,4.25,3.81,1.32,1.215,8.3,7.5
2025-06-11T20:10:00-04:00,HOU,,CWS,,HOU,,CWS,,-1.5,1.5,0.433,0.576,131,-136,1,HOU -1.5,Ryan Gusto,Sean Burke,4.78,4.03,1.64,1.39,45,50,43.1,67.0,0.284,0.241,0.545,0.343,0.251,0.222,3.53,4.09,1.0440835266821344,0.746268656716418,36,23,30,44,,,4.0,3.5,3.7,4.3,0.1,0.0,0.4,-0.7,0.0,-5.0,0.5454545454545454,0.417910447761194,0.6,0.5,0.6,0.45,0.6,0.4333333333333333,3.98,3.54,2438,2447,2195,2175,263,237,551,482,88,101,6,3,63,72,251,227,39,48,188,227,502,564,0.251,0.222,0.316,0.297,0.385,0.344,0.701,0.641,97,82,0.04009111617312073,0.0464367816091954,0.002733485193621868,0.001379310344827586,0.028701594533029614,0.03310344827586207,0.1143507972665148,0.10436781609195403,3.67,4.27,3.53,4.09,19,7,468,552,242,286,228,263,210,243,636,486,116,102,3.49,4.48,1.166,1.374,7.2,8.6
2025-06-11T16:07:00-04:00,LAA,,OAK,,OAK,,LAA,,-1.5,1.5,0.405,0.621,147,-164,0,LAA -1.5,Kyle Hendricks,JP Sears,5.4,5.21,1.32,1.29,41,49,65.0,67.1,0.263,0.269,0.485,0.377,0.226,0.254,4.77,5.62,0.6307692307692307,0.730253353204173,32,26,34,43,,,4.2,4.3,5.0,6.0,0.0,-0.1,-0.8,-1.8,4.0,2.0,0.4242424242424242,0.3478260869565217,0.6,0.3,0.55,0.2,0.5666666666666667,0.2,4.23,4.26,2413,2624,2192,2365,279,294,495,600,92,117,7,8,84,103,269,285,31,38,167,224,637,570,0.226,0.254,0.288,0.321,0.404,0.414,0.692,0.735,94,106,0.041970802919708027,0.04947145877378435,0.0031934306569343066,0.0033826638477801266,0.03832116788321168,0.043551797040169135,0.12271897810218978,0.12050739957716702,5.0,5.99,4.77,5.62,17,15,601,661,330,413,308,382,267,271,494,547,87,75,4.74,4.98,1.493,1.523,9.3,9.7
2025-06-11T20:40:00-04:00,SF,,COL,,COL,,SF,,-1.5,1.5,0.554,0.459,-124,118,0,COL +1.5,Robbie Ray,Kyle Freeland,2.44,5.19,1.07,1.54,87,52,77.1,67.2,0.191,0.32,0.582,0.182,0.229,0.22,3.07,5.54,1.1284046692607004,0.7738095238095237,39,12,28,54,,,4.1,3.2,3.4,6.2,-0.1,0.3,0.6,-2.7,0.0,-3.0,0.582089552238806,0.2272727272727272,0.7,0.3,0.55,0.2,0.5333333333333333,0.2,4.13,3.17,2481,2402,2196,2184,277,209,503,480,98,104,10,21,46,86,263,207,42,31,231,177,568,634,0.229,0.22,0.307,0.283,0.369,0.365,0.675,0.648,95,75,0.044626593806921674,0.047619047619047616,0.004553734061930784,0.009615384615384616,0.020947176684881604,0.039377289377289376,0.1197632058287796,0.09478021978021978,3.45,6.18,3.07,5.54,21,10,506,671,231,408,202,353,205,229,585,441,124,83,3.27,4.8,1.199,1.57,7.7,10.5
